concept,label,2025-08-31,2024-08-31,2023-08-31,2022-08-31,2021-08-31
us-gaap_NetCashProvidedByUsedInOperatingActivities,Net Cash Provided by Operating Activities,580618000000.0,651521000000.0,463216000000.0,430817000000.0,
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,Capital Expenditures,-178788000000.0,-106003000000.0,-97157000000.0,-80402000000.0,
us-gaap_DepreciationDepletionAndAmortization,Depreciation and Amortization,216492000000.0,204388000000.0,186872000000.0,180275000000.0,
yahoo_freecashflow,Free Cash Flow,401830000000.0,545518000000.0,366059000000.0,350415000000.0,
yahoo_repaymentofdebt,Repayment Of Debt,-30226000000.0,-4887000000.0,-137314000000.0,-26210000000.0,
yahoo_issuanceofdebt,Issuance Of Debt,566000000.0,4835000000.0,6511000000.0,14059000000.0,
yahoo_endcashposition,End Cash Position,893239000000.0,1193560000000.0,903280000000.0,1358292000000.0,
yahoo_othercashadjustmentoutsidechangeincash,Other Cash Adjustment Outside Changein Cash,,,1000000.0,,1000000.0
yahoo_beginningcashposition,Beginning Cash Position,1193560000000.0,903280000000.0,1358292000000.0,1177736000000.0,
yahoo_effectofexchangeratechanges,Effect Of Exchange Rate Changes,37122000000.0,-10007000000.0,20735000000.0,175015000000.0,
yahoo_changesincash,Changes In Cash,-337443000000.0,300287000000.0,-475748000000.0,5541000000.0,
yahoo_financingcashflow,Financing Cash Flow,-339139000000.0,-269003000000.0,-364562000000.0,-213050000000.0,
yahoo_netotherfinancingcharges,Net Other Financing Charges,62000000.0,84000000.0,411000000.0,704000000.0,
yahoo_cashdividendspaid,Cash Dividends Paid,-142630000000.0,-104263000000.0,-73064000000.0,-53091000000.0,
yahoo_commonstockdividendpaid,Common Stock Dividend Paid,-142630000000.0,-104263000000.0,-73064000000.0,-53091000000.0,
yahoo_netissuancepaymentsofdebt,Net Issuance Payments Of Debt,-29660000000.0,-52000000.0,-130803000000.0,-12151000000.0,
yahoo_netshorttermdebtissuance,Net Short Term Debt Issuance,340000000.0,-52000000.0,-803000000.0,-12151000000.0,
yahoo_shorttermdebtpayments,Short Term Debt Payments,-226000000.0,-4887000000.0,-7314000000.0,-26210000000.0,
yahoo_shorttermdebtissuance,Short Term Debt Issuance,566000000.0,4835000000.0,6511000000.0,14059000000.0,
yahoo_netlongtermdebtissuance,Net Long Term Debt Issuance,-30000000000.0,0.0,-130000000000.0,0.0,
yahoo_longtermdebtpayments,Long Term Debt Payments,-30000000000.0,0.0,-130000000000.0,0.0,
yahoo_investingcashflow,Investing Cash Flow,-578922000000.0,-82231000000.0,-574402000000.0,-212226000000.0,
yahoo_netotherinvestingchanges,Net Other Investing Changes,7649000000.0,365000000.0,-670000000.0,2440000000.0,
yahoo_netinvestmentpurchaseandsale,Net Investment Purchase And Sale,-394696000000.0,23407000000.0,-476575000000.0,-134264000000.0,
yahoo_saleofinvestment,Sale Of Investment,1087639000000.0,864086000000.0,392544000000.0,126774000000.0,
yahoo_purchaseofinvestment,Purchase Of Investment,-1482335000000.0,-840679000000.0,-869119000000.0,-261038000000.0,
yahoo_netbusinesspurchaseandsale,Net Business Purchase And Sale,-13087000000.0,0.0,,0.0,-4232000000.0
yahoo_purchaseofbusiness,Purchase Of Business,-13087000000.0,0.0,,0.0,-4232000000.0
yahoo_netintangiblespurchaseandsale,Net Intangibles Purchase And Sale,-27329000000.0,-30260000000.0,-33542000000.0,-28335000000.0,
yahoo_purchaseofintangibles,Purchase Of Intangibles,-27329000000.0,-30260000000.0,-33542000000.0,-28335000000.0,
yahoo_netppepurchaseandsale,Net PPE Purchase And Sale,-151459000000.0,-75743000000.0,-63615000000.0,-52067000000.0,
yahoo_purchaseofppe,Purchase Of PPE,-151459000000.0,-75743000000.0,-63615000000.0,-52067000000.0,
yahoo_taxesrefundpaid,Taxes Refund Paid,-200017000000.0,-133561000000.0,-159875000000.0,-88156000000.0,
yahoo_interestreceivedcfo,Interest Received Cfo,64625000000.0,56454000000.0,22613000000.0,8520000000.0,
yahoo_interestpaidcfo,Interest Paid Cfo,-12869000000.0,-11099000000.0,-9861000000.0,-7557000000.0,
yahoo_changeinworkingcapital,Change In Working Capital,-40724000000.0,37030000000.0,28118000000.0,44397000000.0,
yahoo_changeinothercurrentliabilities,Change In Other Current Liabilities,3852000000.0,31520000000.0,-3700000000.0,-9531000000.0,
yahoo_changeinothercurrentassets,Change In Other Current Assets,-2479000000.0,-876000000.0,8354000000.0,-7125000000.0,
yahoo_changeinpayable,Change In Payable,476000000.0,47320000000.0,-15909000000.0,114600000000.0,
yahoo_changeininventory,Change In Inventory,-29855000000.0,-23540000000.0,46908000000.0,-50896000000.0,
yahoo_changeinreceivables,Change In Receivables,-12718000000.0,-17394000000.0,-7535000000.0,-2651000000.0,
yahoo_othernoncashitems,Other Non Cash Items,-63874000000.0,-56551000000.0,-20922000000.0,-29146000000.0,
yahoo_depreciation,Depreciation,216492000000.0,204388000000.0,186872000000.0,180275000000.0,
yahoo_netforeigncurrencyexchangegainloss,Net Foreign Currency Exchange Gain Loss,-33826000000.0,-621000000.0,-25385000000.0,-114324000000.0,
yahoo_gainlossonsaleofppe,Gain Loss On Sale Of PPE,1342000000.0,1397000000.0,917000000.0,1136000000.0,
yahoo_netincomefromcontinuingoperations,Net Income From Continuing Operations,650574000000.0,557201000000.0,437918000000.0,413584000000.0,
