label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Profit or Loss,us-gaap_ProfitLoss,4599000000.0,-213000000.0,-1364000000.0,1566000000.0,,
"Depreciation, amortization and other non-cash items",us-gaap_DepreciationAmortizationAndAccretionNet,555000000.0,704000000.0,847000000.0,1086000000.0,686000000.0,647000000.0
Net (gains) losses on investments and derivatives,us-gaap_RealizedInvestmentGainsLosses,225000000.0,300000000.0,1072000000.0,-1279000000.0,,
Pension and other postretirement remeasurement (gains) losses,all_DefinedBenefitPlanRemeasurementGainLoss,-37000000.0,9000000.0,116000000.0,-644000000.0,-51000000.0,
Policy benefits and other insurance reserves,us-gaap_IncreaseDecreaseInFuturePolicyBenefitReservesAndOtherInsuranceLiabilities,2171000000.0,2202000000.0,,1984000000.0,-682000000.0,-508000000.0
Unearned premiums,us-gaap_IncreaseDecreaseInUnearnedPremiums,2294000000.0,2385000000.0,2541000000.0,1618000000.0,598000000.0,801000000.0
Deferred policy acquisition costs,us-gaap_IncreaseDecreaseInDeferredPolicyAcquisitionCosts,-347000000.0,-489000000.0,-702000000.0,-608000000.0,-125000000.0,-85000000.0
"Premium installment receivables, net",us-gaap_IncreaseDecreaseInPremiumsReceivable,-705000000.0,-861000000.0,-1038000000.0,-498000000.0,-3000000.0,-299000000.0
"Reinsurance recoverables, net",us-gaap_IncreaseDecreaseInReinsuranceRecoverable,-226000000.0,807000000.0,408000000.0,-1565000000.0,-11000000.0,320000000.0
Income taxes,us-gaap_IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,753000000.0,-229000000.0,-721000000.0,349000000.0,-232000000.0,487000000.0
Other operating assets and liabilities,us-gaap_IncreaseDecreaseInOtherOperatingCapitalNet,-351000000.0,-387000000.0,-541000000.0,-1368000000.0,457000000.0,-50000000.0
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,8931000000.0,4228000000.0,5121000000.0,5116000000.0,5491000000.0,5129000000.0
,,,,,,,
"Proceeds from Sale of Debt Securities, ",us-gaap_ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,38751000000.0,22973000000.0,31494000000.0,31774000000.0,31950000000.0,29849000000.0
Equity securities,us-gaap_ProceedsFromSaleOfEquitySecuritiesFvNi,-4980000000.0,-2935000000.0,-9294000000.0,-6409000000.0,-4648000000.0,-7176000000.0
Limited partnership interests,all_ProceedsFromDivestitureOfInterestInLimitedPartnershipInterest,-1434000000.0,-890000000.0,-1258000000.0,-1766000000.0,-1265000000.0,-1332000000.0
Other investments,us-gaap_ProceedsFromSaleOfOtherInvestments,-172000000.0,-292000000.0,-295000000.0,-1647000000.0,-371000000.0,-666000000.0
,,,,,,,
"Proceeds from Maturities, Prepayments and Calls of Securities",us-gaap_ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,1509000000.0,1641000000.0,728000000.0,2284000000.0,2235000000.0,2570000000.0
Mortgage loans,all_ProceedsFromCollectionOfMortgageLoans,-113000000.0,-145000000.0,-104000000.0,-221000000.0,-203000000.0,-844000000.0
Fixed income securities,us-gaap_PaymentsToAcquireAvailableForSaleSecuritiesDebt,-46590000000.0,-29431000000.0,-36920000000.0,-33857000000.0,-38121000000.0,-31317000000.0
"Change in short-term and other investments, net",us-gaap_PaymentsForProceedsFromShortTermInvestments,724000000.0,-617000000.0,792000000.0,4017000000.0,-3871000000.0,
"Payments for Property, Plant and Equipment",us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,-210000000.0,-267000000.0,-420000000.0,-345000000.0,-308000000.0,-433000000.0
Proceeds from sale of property and equipment,us-gaap_ProceedsFromSaleOfPropertyPlantAndEquipment,18000000.0,27000000.0,209000000.0,,,
"Acquisition of operations, net of cash acquired",all_PaymentsToAcquireOperations,-13000000.0,-0.0,-0.0,-3593000000.0,,
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,-8252000000.0,-2999000000.0,-1728000000.0,510000000.0,-3441000000.0,-2807000000.0
Proceeds from Issuance of Long-Term Debt,us-gaap_ProceedsFromIssuanceOfLongTermDebt,495000000.0,743000000.0,0.0,0.0,1189000000.0,491000000.0
