label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
"Property and casualty insurance premiums (net of reinsurance ceded and indemnification programs of $1,869, $1,904 and $1,141)",us-gaap_PremiumsEarnedNet,,,47737000000.0,,,
"Property and casualty insurance premiums (net of reinsurance ceded and indemnification programs of $1,141, $1,122 and $1,016)",us-gaap_PremiumsEarnedNet,,,,,39517000000.0,
Accident and health insurance premiums and contract charges,us-gaap_PremiumsEarnedNet,,52516000000.0,,,,
Insurance premiums,us-gaap_PremiumsEarnedNet,,,,44039000000.0,,
Revenue,us-gaap_Revenues,64106000000.0,57094000000.0,51412000000.0,50588000000.0,44791000000.0,44675000000.0
Insurance premiums and contract charges,us-gaap_PremiumsEarnedNet,58309000000.0,,,,,
Other revenue,us-gaap_OtherIncome,2930000000.0,2400000000.0,2344000000.0,2172000000.0,,
Net investment income,us-gaap_NetInvestmentIncome,3092000000.0,2478000000.0,2403000000.0,3293000000.0,2853000000.0,3159000000.0
Net gains (losses) on investments and derivatives,all_RealizedInvestmentGainsLossesContinuingOperations,-225000000.0,-300000000.0,-1072000000.0,1084000000.0,,
Property and casualty insurance claims and claims expense,us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,39735000000.0,41070000000.0,,,,
"Accident, health and other policy benefits (including remeasurement (gains) losses of $1, $0, and $(4))",all_AccidentAndHealthInsuranceContractBenefitsNetOfReinsuranceRecoveries,1241000000.0,,,,,
Amortization of deferred policy acquisition costs,us-gaap_DeferredPolicyAcquisitionCostAmortizationExpense,8039000000.0,7278000000.0,6644000000.0,6252000000.0,5630000000.0,5533000000.0
Operating costs and expenses,us-gaap_OtherCostAndExpenseOperating,8626000000.0,7137000000.0,7446000000.0,7260000000.0,5732000000.0,5690000000.0
Pension and other postretirement remeasurement (gains) losses,us-gaap_DefinedBenefitPlanActuarialGainLossImmediateRecognitionAsComponentInNetPeriodicBenefitCostCredit,-37000000.0,9000000.0,116000000.0,-644000000.0,-51000000.0,
Restructuring and related charges,us-gaap_RestructuringCharges,61000000.0,169000000.0,51000000.0,170000000.0,259000000.0,41000000.0
