label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,28262900000.0,27558500000.0,21173400000.0,18611000000.0,13978500000.0,11820000000.0
"Interest and other, net",asml_InterestAndOtherNet,19800000.0,41200000.0,-44600000.0,-44600000.0,-34900000.0,-25000000.0
Income before income taxes,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,9042400000.0,9083500000.0,6456100000.0,6705500000.0,4016600000.0,2765800000.0
Income after income taxes,asml_IncomeLossfromContinuingOperationsAfterTaxbeforeEquityMethodInvestmentsNoncontrollingInterest,7361800000.0,7647700000.0,5486200000.0,5684100000.0,3465100000.0,
Other income,us-gaap_OtherOperatingIncomeExpenseNet,,0.0,0.0,213700000.0,,0.0
"Income (Loss) from Continuing Operations After Tax before Equity Method Investments, Noncontrolling Interest",asml_IncomeLossfromContinuingOperationsAfterTaxbeforeEquityMethodInvestmentsNoncontrollingInterest,,,,,,2574100000.0
Profit from equity method investments,us-gaap_IncomeLossFromEquityMethodInvestments,209800000.0,191300000.0,138000000.0,199100000.0,88600000.0,
Profit (loss) related to equity method investments,us-gaap_IncomeLossFromEquityMethodInvestments,,,,,,18200000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-13770900000.0,-13422400000.0,-10473300000.0,-8802000000.0,-7181300000.0,-6540200000.0
Gross Profit,us-gaap_GrossProfit,14492000000.0,14136100000.0,10700100000.0,9809000000.0,6797200000.0,5279800000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,-4303700000.0,-3980600000.0,-3253500000.0,-2547000000.0,-2200800000.0,-1968500000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-1165700000.0,-1113200000.0,-945900000.0,-725600000.0,-544900000.0,-520500000.0
Operating Income,us-gaap_OperatingIncomeLoss,9022600000.0,9042300000.0,6500700000.0,6750100000.0,4051500000.0,2790800000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,1680600000.0,1435800000.0,969900000.0,1021400000.0,551500000.0,191700000.0
Net Income,us-gaap_NetIncomeLoss,7571600000.0,7839000000.0,5624200000.0,5883200000.0,3553700000.0,2592300000.0
Related Party Costs,us-gaap_RelatedPartyCosts,,,,,,1321800000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,19.25,19.91,14.14,14.36,8.49,6.16
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,19.24,19.89,14.13,14.34,8.48,6.15
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,393300000.0,393800000.0,397700000.0,409800000.0,418300000.0,420800000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,393600000.0,394100000.0,398000000.0,410400000.0,419100000.0,421600000.0
