date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2025-10-31,BBCP,USD,0001703956,2026-01-13,2026-01-13 17:06:23,2025,FY,44394000,0,44394000,53132000,53132000,0,7419000,0,8408000,113353000,435459000,223581000,93933000,317514000,0,0,13216000,766189000,0,879542000,6267000,6267000,0,11973000,0,4851000,463000,0,29193000,52284000,417891000,18659000,0,89431000,11488000,537469000,0,23510000,589753000,-41687000,25000000,6000,-84999000,389880000,1589000,0,289789000,289789000,0,879542000,0,441401000,397007000
2024-10-31,BBCP,USD,0001703956,2025-01-10,2025-01-10 08:30:35,2024,FY,43041000,0,43041000,56441000,56441000,0,5922000,2346000,4610000,112360000,441905000,222996000,105612000,328608000,0,0,15117000,785630000,0,897990000,13995000,7668000,6327000,26635000,20000,4817000,850000,0,10864000,56331000,373260000,21716000,0,86647000,38321000,519944000,0,26533000,576275000,-25881000,0,6000,-38240000,386313000,-483000,0,321715000,321715000,0,897990000,0,399813000,356772000
2023-10-31,BBCP,USD,0001703956,2024-01-16,2024-01-16 17:07:20,2023,FY,15861000,0,15861000,62976000,62976000,0,6732000,3050000,5651000,94270000,452463000,221517000,120244000,341761000,0,0,16031000,810255000,0,904525000,14437000,8906000,5531000,33387000,18954000,4864000,5531000,0,12334000,83976000,371868000,20508000,25000000,80791000,14142000,512309000,0,25372000,596285000,-15114000,0,6000,-54447000,383286000,-5491000,0,308240000,308240000,0,904525000,0,416194000,400333000
2022-10-31,BBCP,USD,0001703956,2023-01-31,2023-01-31 17:06:10,2022,FY,7482000,0,7482000,63367000,62882000,485000,5532000,2703000,2472000,81556000,444210000,220245000,137754000,357999000,-40744000,40744000,3724000,805933000,0,887489000,12971000,8362000,4609000,29645000,52133000,4110000,4609000,0,11421000,110280000,370476000,21153000,0,74223000,32030000,497882000,0,25263000,608162000,-4609000,0,6000,-86237000,379395000,-9228000,0,279327000,279327000,0,887489000,-40744000,447872000,440390000
2021-10-31,BBCP,USD,0001703956,2022-01-12,2022-01-12 17:06:18,2021,FY,9298000,0,9298000,49309000,49034000,275000,4902000,1640000,2470000,67619000,337771000,224700000,158539000,383239000,0,0,4036000,725046000,0,792665000,17193000,10706000,6487000,21249000,990000,103000,6487000,0,8704000,48239000,369084000,278000,0,70566000,41923000,481851000,0,381000,530090000,-461000,0,6000,-114913000,374272000,3671000,0,262575000,262575000,0,792665000,0,370455000,361157000
2020-10-31,BBCP,USD,0001703956,2021-01-12,2021-01-12 17:05:53,2020,FY,6736000,0,6736000,45945000,44343000,1602000,4630000,1977000,717000,60005000,304254000,223154000,183839000,406993000,0,0,2506000,713753000,0,773758000,15419000,6587000,8832000,15141000,22629000,97000,7067000,0,9026000,62312000,343906000,380000,0,68019000,32031000,444336000,0,477000,506648000,-131000,0,6000,-99840000,367681000,-606000,0,267110000,267110000,0,773758000,0,367012000,360276000
2019-10-31,BBCP,USD,0001703956,2020-01-14,2020-01-14 17:01:54,2019,FY,7473000,0,7473000,46654000,45957000,697000,5254000,3378000,0,62759000,307415000,276088000,222293000,498381000,0,0,2810000,808606000,0,871365000,9787000,7408000,2379000,35403000,44443000,91000,2379000,0,2362000,92086000,360938000,477000,0,69049000,31770000,462234000,0,568000,554320000,-25000000,25000000,6000,-38589000,356227000,-599000,0,317045000,317045000,0,871365000,0,405949000,398476000
2018-10-31,BBCP,USD,0001703956,2018-10-31,2018-10-30 20:00:00,2018,FY,3612,0,3612,40118000,40118000,0,3810000,807171,4594000,810783,201915000,74656000,36429000,111085000,238473957,-313648000,648000,238473957,0,239284740,10376046,10112686,263360,113661,338700,0,263360,0,0,10828407,0,0,0,0,223456323,223456323,0,0,234284730,0,14672000,763,-7434157,12433404,584000,0,5000010,5000010,0,239284740,238473957,338700,335088
2017-12-31,BBCP,USD,0001703956,2018-03-29,2018-03-29 17:22:25,2017,FY,828555,0,828555,0,33101052,0,3009651,272165,0,1100720,175542135,73509208,42034188,115543396,235195034,-292142047,1056516,235195034,0,236295754,205249,205249,0,517681,0,0,0,0,0,722930,157637581,0,0,0,72935242,230572823,0,0,231295753,0,222522823,693,-317666,5316974,2381189,0,5000000,5000000,0,236295754,235195034,223526451,222697896
2016-10-31,BBCP,USD,0001703956,2016-10-31,2016-10-30 20:00:00,2016,FY,3248520,0,3248520,24873490,24873490,0,1754295,2422097,0,32298402,138686332,54400319,28940816,83341135,0,0,603600,222631067,0,254929469,2853184,2853184,0,14078585,3607239,72702,0,0,10971219,31582929,142253608,731829,0,0,43263784,186249221,0,804531,217832150,0,15182053,7576,3139315,18768375,0,0,37097319,37097319,0,254929469,0,146592676,143344156
