date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2025-10-31,BBCP,USD,0001703956,2026-01-13,2026-01-13 17:06:23,2025,FY,392867000,241751000,151116000,0,109585000,0,109585000,0,109585000,351336000,-30422000,1148000,31570000,0,41531000,41531000,0,41531000,-31479000,10052000,3679000,6373000,0,0,6373000,0,6373000,0.12,0.09,53430000,53314654
2024-10-31,BBCP,USD,0001703956,2025-01-10,2025-01-10 08:30:35,2024,FY,425872000,260038000,165834000,0,116487000,0,116487000,0,116487000,376525000,-25572000,308000,25880000,57110000,107301000,50191000,-844000,49347000,-25036000,24311000,8104000,16207000,0,0,16207000,-1000,14316000,0.27,0.26,61402478,54238000
2023-10-31,BBCP,USD,0001703956,2024-01-16,2024-01-16 17:07:20,2023,FY,442241000,263937000,178304000,0,116852000,0,116852000,0,116852000,380789000,-28119000,0,28119000,64172000,132853000,68681000,-7229000,61452000,-20890000,40562000,8772000,31790000,0,0,31790000,-1767000,29040000,0.55,0.54,53276450,54173731
2022-10-31,BBCP,USD,0001703956,2023-01-31,2023-01-31 17:06:10,2022,FY,401292000,237682000,163610000,0,113499000,0,113499000,88000,113499000,351181000,-25891000,0,25891000,61353000,121446000,60093000,-9982000,50111000,-15909000,34202000,5526000,28676000,0,0,28676000,-1770000,25672000,0.48,0.47,53914311,54851308
2021-10-31,BBCP,USD,0001703956,2022-01-12,2022-01-12 17:06:18,2021,FY,315808000,178081000,137727000,0,99369000,0,99369000,117000,99369000,277762000,-25190000,0,25190000,55906000,94264000,38358000,-312000,38046000,-50477000,-12431000,2642000,-15073000,0,0,-15073000,0,-16823000,-0.28,-0.28,53413594,53413594
2020-10-31,BBCP,USD,0001703956,2021-01-12,2021-01-12 17:05:53,2020,FY,304301000,166998000,137303000,0,111087000,0,111087000,57944000,169031000,336029000,-34408000,0,34408000,61656000,29836000,-31820000,92000,-31728000,-34500000,-66228000,-4977000,-61251000,0,0,-61251000,0,-63181000,-1.16,-1.16,52752884,52752884
2019-10-31,BBCP,USD,0001703956,2020-01-14,2020-01-14 17:01:54,2019,FY,282961000,157539000,125422000,0,96643000,0,96643000,0,96643000,254182000,0,0,36524000,55379000,84137000,28779000,0,28779000,-68761000,-39982000,-7495000,-32487000,0,0,-32487000,8240000,-34236000,-0.56,-0.56,58253220,58253220
2018-10-31,BBCP,USD,0001703956,2018-10-31,2018-10-30 20:00:00,2018,FY,243223000,136876000,106347000,0,58789000,0,58789000,55000,58789000,195665000,-21425000,0,21425000,25623000,73708000,40023000,-55000,39968000,-21370000,18598000,-9784000,28382000,0,0,28382000,0,20589000,0.98,0.98,28847707,28847707
2017-12-31,BBCP,USD,0001703956,2018-03-29,2018-03-29 17:22:25,2017,FY,211210599,121451499,89759100,0,42802463,-41964990,837473,147450,984923,984920,0,22747848,0,27154025,-984920,-49886,-935034,-984920,935034,-49886,267780,-317666,0,1230945,-317666,1230945,-317666,-0.011,-0.011,28750000,28750000
2016-10-31,BBCP,USD,0001703956,2016-10-31,2016-10-30 20:00:00,2016,FY,172425547,97241773,75183774,0,32992756,1600000,34592757,0,44980565,142222338,0,19516077,0,22309543,56902557,34593014,-3691466,34593014,-20214416,10687132,4453541,6233591,0,-2803929,3466026,0,3466026,0.42,0.42,14928464,8279320
