symbol,date,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue
BBCP,2025-10-31,2025,FY,USD,341417700,738424700,1.88,11.481,42.128,17.78,9.559,2.168,10.092,3.815,-9.392,0.634,0.242,61069000,814042000,0.007,0.047,0.011,0.022,0.032,0.05,0.019,0.051,0.727,0.874,0.119,0.279,0,0.005,0.361,54786500,6967500,6670500,49.363,9.462,11.201,60.565,51.103,-379479000,-25496213.788,-27725000,-476400000
BBCP,2024-10-31,2024,FY,USD,340783752.9,697555752.9,1.638,8.027,16.188,6.501,3.325,1.995,5.362,5.578,-7.947,0.667,0.484,56029000,826542000,0.018,0.055,0.028,0.05,0.039,0.059,0.048,0.126,0.504,0.767,0.103,0.274,0,0.006,0.366,59708500,8287000,6327000,48.374,10.763,8.312,56.686,45.923,-313682000,1024978.487,-6893000,-463915000
BBCP,2023-10-31,2023,FY,USD,374533443.5,774866443.5,1.752,7.999,18.64,5.833,3.013,1.123,3.047,8.813,-9.945,0.784,0.591,10294000,804518000,0.035,0.069,0.056,0.103,0.057,0.075,0.085,0.111,0.571,0.943,0.125,0.264,0,0.009,0.378,63171500,8634000,6132000,51.977,12.316,9.31,61.286,48.97,-357963000,24476942.163,-33521000,-502015000
BBCP,2022-10-31,2022,FY,USD,345590733.51,785980733.51,1.959,10.248,-29.452,6.472,3.626,0.74,2.675,7.874,-10.209,0.838,0.569,-28724000,773485000,0.032,0.06,0.054,0.103,0.05,0.064,0.083,-0.077,1.348,1.799,0.258,0.283,0,0.013,0.403,56338000,9534000,5217000,57.636,12.841,8.495,66.132,53.29,-465627000,57908804.105,-78672000,-526606000
BBCP,2021-10-31,2021,FY,USD,471642035.02,832799035.02,2.637,10.982,67.746,8.835,3.831,1.402,-5.031,,-9.012,1.213,-0.324,19380000,740390000,-0.019,0.049,-0.037,-0.057,0.051,0.051,-0.032,0.026,0.838,1.137,0.201,0.315,0,0.021,0.483,47627000,8646500,4766000,56.99,21.943,10.047,67.037,45.094,-348114000,17937347.84,-120664000,-462471000
BBCP,2020-10-31,2020,FY,USD,170391815.32,530667815.32,1.744,6.72,13.39,17.786,12.075,0.963,-1.289,,-8.779,0.925,2.081,-2307000,708940000,-0.079,-0.039,-0.167,-0.229,-0.04,-0.045,-0.359,0.233,0.498,0.638,0.129,0.365,0,0.038,0.526,46299500,6997500,4942000,55.11,14.397,10.12,65.229,50.832,-320645000,-34131743.432,-139883000,-446643000
BBCP,2019-10-31,2019,FY,USD,200391076.8,598867076.8,2.116,19.512,-107.982,7.118,4.736,0.682,-0.945,,-8.742,0.813,-1.389,-29327000,776469000,-0.037,0.052,-0.087,-0.102,0.028,0.037,-0.162,-0.028,1.181,0.654,0.128,0.342,0,0.013,0.572,43386000,8760343,4532000,60.18,17.163,12.173,72.353,55.19,-404022000,61833483.173,-181336000,-491561000
BBCP,2018-10-31,2018,FY,USD,294823565.54,295158653.54,1.214,7.45,37.452,4.004,0.005,0.075,1.396,1.959,-7.012,1.526,0.465,-10017624,302982376,0.119,0.168,0.221,5.676,0.175,0.175,0.096,0.027,0.801,1.239,0.13,0.242,0,0.001,0.464,20059000,5158967.5,3409825.5,60.204,26.967,10.16,70.364,43.397,7545912,65358636.712,-106084990,-233473947
BBCP,2017-12-31,2017,FY,USD,280312500,503010396,2.382,-1088.92,-20.843,-510.712,-226.108,1.523,1.454,,-7.964,6.368,1,377790,291463321,-0.001,-0.004,-0.003,-0.064,-0.004,-0.004,-0.001,-0.086,-51.243,0.872,0.112,0.203,0,0.002,0.489,12436745,1529216.5,2381973,0,0.617,9.045,9.045,8.428,-246830866,3503007,-110543395,-230195033
BBCP,2016-10-31,2016,FY,USD,144806100.8,288150256.8,1.671,8.058,21.852,5.064,2.519,1.023,5.703,3.603,-13.066,0.324,0.309,715473,222742940,0.014,0,0.02,0.093,0.089,0.155,0.024,0.091,0.631,1.012,0.131,0.191,0,0.001,0.327,0,0,0,52.654,10.71,6.585,59.238,48.529,-130157428,0,-46243816,-185533748
