symbol,date,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare
BBCP,2025-10-31,2025,FY,USD,0.385,0.106,0.106,0.106,0.026,0.016,0.016,0.016,7.394,38.575,32.585,0.902,0.447,2.168,2.026,0.011,0.849,53.573,-0.964,-0.964,1.178,0.869,19.478,5.309,0.502,1.523,0.604,0.591,3.035,6.71,1.23,0.164,0.273,1.199,1.316,0,0.146,1.375,0.644,8.337,0.156,15.562,7.353,0.119,8.852,0.831,5.424,-0.519,5.424,1.204,0.876,0.328,0.634,0.242,1.178,1.224,0.366,17.78,0.994
BBCP,2024-10-31,2024,FY,USD,0.389,0.118,0.252,0.116,0.057,0.038,0.038,0.034,7.545,33.912,43.911,0.964,0.474,1.995,1.89,0.127,0.764,21.027,-0.413,-0.413,1.059,0.8,7.909,3.922,0.445,1.243,0.554,0.537,2.791,12.842,1.543,0.204,0.496,3.83,1.907,4345,0.217,1.984,1.984,0,0,0,6.936,0.264,6.933,0.701,5.239,-0.112,5.239,1.415,0.713,0.702,0.667,0.493,1.059,1.095,0.333,6.501,0
BBCP,2023-10-31,2023,FY,USD,0.403,0.155,0.3,0.139,0.092,0.072,0.072,0.066,7.022,29.636,39.206,0.977,0.489,1.123,1.042,0.161,0.189,11.781,0.808,0.808,1.215,0.847,9.01,3.866,0.46,1.35,0.575,0.547,2.934,-47.991,1.154,0.219,0.429,2.636,2.185,5.111,0.233,1.752,1.752,0,0,0,8.301,0.597,8.34,0.298,5.786,-0.629,5.786,1.818,1.038,0.78,0.784,0.66,1.215,1.043,0.216,5.833,0
BBCP,2022-10-31,2022,FY,USD,0.408,0.15,0.303,0.125,0.085,0.071,0.071,0.064,6.333,28.424,42.965,0.903,0.452,0.74,0.689,0.148,0.068,12.052,-0.044,-0.044,1.237,0.861,-12.95,4.506,0.505,1.603,0.616,0.57,3.177,-85.893,0.695,0.191,-0.348,1.486,1.935,1.471,0.171,0.742,0.742,0,0,0,7.443,0.532,8.787,0.139,5.181,-1.459,5.181,1.423,1.918,-0.495,0.838,0.683,1.237,1.223,0.162,6.472,0
BBCP,2021-10-31,2021,FY,USD,0.436,0.121,0.298,0.12,-0.039,-0.048,-0.048,-0.053,6.405,16.634,36.328,0.935,0.398,1.402,1.3,0.077,0.193,-31.291,0.412,0.412,1.796,1.493,38.367,6.219,0.467,1.411,0.585,0.584,3.019,36.995,1.572,0.24,0.162,3.5,1.51,76.601,0.205,1.193,1.193,0,0,0,5.913,-0.282,7.407,0.174,4.916,-2.259,4.916,1.42,1.19,0.23,1.213,-0.327,1.796,0.785,-0.213,8.835,0
BBCP,2020-10-31,2020,FY,USD,0.451,-0.105,0.098,-0.104,-0.218,-0.201,-0.201,-0.208,6.623,25.353,36.069,1,0.393,0.963,0.889,0.001,0.108,-2.782,-0.026,-0.026,0.638,0.56,4.299,2.158,0.474,1.374,0.579,0.563,2.897,-19.239,1.267,0.26,0.502,0.61,-0.922,3.49,0.215,2.007,2.007,0,0,0,5.768,-1.161,7.609,0.128,5.063,-2.652,5.063,1.497,0.746,0.751,0.925,2.087,0.638,2.151,0.075,17.786,0
BBCP,2019-10-31,2019,FY,USD,0.443,0.102,0.297,0.102,-0.141,-0.115,-0.115,-0.121,6.065,21.266,29.985,0.92,0.325,0.682,0.624,0.041,0.081,-6.168,0.039,0.039,0.632,0.708,-36.133,6.529,0.466,1.28,0.561,0.532,2.748,-14.384,0.333,0.108,-0.181,1.132,0.788,0.691,0.076,0.847,0.847,0,0,0,4.857,-0.558,7.596,0.128,5.443,-3.113,5.443,0.527,0.622,-0.095,0.813,-1.389,0.632,2.023,0.187,7.118,0
BBCP,2018-10-31,2018,FY,USD,0.437,0.165,0.303,0.164,0.076,0.117,0.117,0.085,6.063,13.535,35.925,1.205,1.016,0.075,-0.277,0.231,0,10.388,-0.001,-0.001,58.965,1.212,37.409,7.441,0.001,0.068,0.063,0,47.857,-50.462,3.659,0.163,0.199,3.836,1.865,116.974,116.974,1.248,1.248,0,0,0,8.431,0.984,0.754,0,0.173,-3.677,0.173,1.373,1.1,0.273,1.526,0.465,58.965,0.001,-0.526,4.004,0
BBCP,2017-12-31,2017,FY,USD,0.425,0,-0.005,-0.005,0,-0.002,-0.002,-0.002,0,591.728,40.354,1.203,0.894,1.523,-2.641,0.116,1.146,-882.413,8.599,8.599,56.063,1.327,-11.615,-606.822,0.946,44.705,0.978,0.969,47.259,386.386,-0.639,-0.002,52.243,0,0,0,-0.002,-0.02,-0.016,-15.236,0.017,1.727,7.346,-0.011,7.775,0.029,0.174,-3.845,0.174,-0.016,0.823,-0.839,6.368,0.051,56.063,0.562,-5.368,-510.712,0.168
BBCP,2016-10-31,2016,FY,USD,0.436,0.201,0.33,0.201,0.062,0.036,0.02,0.02,6.932,34.082,55.431,1.243,0.676,1.023,0.967,0.118,0.103,41.779,0.557,0.557,3.903,0.84,10.981,4.05,0.575,3.952,0.798,0.793,6.872,0,1.132,0.207,0.369,14.54,0,9.913,0.244,1.584,1.584,0,0,0,11.55,0.232,9.82,0.218,2.485,-3.098,2.485,2.395,1.512,0.883,0.324,0.309,3.903,1.007,0.417,5.064,0
