label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Net Income,us-gaap_NetIncomeLoss,577952000.0,620023000.0,639377000.0,463846000.0,-134700000.0,157636000.0
"Comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,123000.0,-1258000.0,-330000.0,680000.0,535000.0
Fair value adjustments to available-for-sale securities,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,-165000.0,,,,,
Foreign currency translation adjustments,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-1139000.0,161000.0,56000.0,,,
Stock options exercised (in shares),us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,44980.0,32000.0,165951.0,371016.0,240380.0,242357.0
Stock options exercised,us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,701000.0,315000.0,3089000.0,4409000.0,1979000.0,2377000.0
"Release of restricted stock units, net of tax (in shares)",us-gaap_RestrictedStockSharesIssuedNetOfSharesForTaxWithholdings,242606.0,202516.0,476292.0,349231.0,469765.0,358361.0
"Release of restricted stock units, net of tax",us-gaap_StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,-9311000.0,-6853000.0,-10053000.0,-8206000.0,-3970000.0,-4387000.0
"Release of performance stock units, net of tax (in shares)",byd_PerformanceStockSharesIssuedNetOfSharesForTaxWithholdings,150063.0,318878.0,294651.0,61983.0,261200.0,270960.0
"Release of performance stock units, net of tax",byd_StockIssuedDuringPeriodValuePerformanceStockAwardNetOfForfeitures,-6208000.0,-12774000.0,-8118000.0,-1907000.0,-3369000.0,-3766000.0
Shares repurchased and retired (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,11100000.0,6500000.0,9400000.0,1300000.0,700000.0,1100000.0
Shares repurchased and retired,us-gaap_StockRepurchasedAndRetiredDuringPeriodValue,692269000.0,416255000.0,541642000.0,80782000.0,11121000.0,28045000.0
Dividends declared,us-gaap_DividendsCash,61816000.0,63642000.0,63638000.0,,,30051000.0
Share-based compensation costs,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,29666000.0,32379000.0,34066000.0,37773000.0,9202000.0,25202000.0
