label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,1004361000.0,1033998000.0,991565000.0,961246000.0,967512000.0,960521000.0,903164000.0,916950000.0,963966000.0,877263000.0,894450000.0,860743000.0
Master lease rent expense,byd_MasterLeaseRentExpense,28584000.0,28442000.0,28160000.0,28160000.0,27852000.0,27235000.0,27236000.0,27099000.0,26828000.0,26828000.0,26654000.0,26306000.0
Maintenance and utilities,byd_MaintenanceAndUtilitiesExpense,40472000.0,37322000.0,36725000.0,40421000.0,36946000.0,34744000.0,41720000.0,37591000.0,36026000.0,40789000.0,34517000.0,32890000.0
Depreciation and amortization,us-gaap_DepreciationDepletionAndAmortization,73749000.0,69985000.0,68223000.0,70344000.0,65677000.0,62913000.0,64797000.0,62220000.0,61560000.0,64956000.0,66757000.0,62478000.0
Corporate expense,byd_CorporateExpense,-30622000.0,-35365000.0,-29951000.0,27614000.0,31255000.0,29385000.0,27872000.0,31705000.0,28655000.0,26375000.0,34872000.0,29004000.0
"Project development, preopening and writedowns",byd_ProjectDevelopmentPreopeningAndWritedownsExpense,3972000.0,2764000.0,-1522000.0,11347000.0,7586000.0,3021000.0,2405000.0,5201000.0,-18874000.0,9645000.0,912000.0,-10029000.0
Impairment of assets,us-gaap_AssetImpairmentCharges,65123000.0,0.0,32272000.0,0.0,0.0,,,,4537000.0,5575000.0,,
"Other operating items, net",us-gaap_OtherOperatingIncomeExpenseNet,1892000.0,762000.0,2745000.0,-906000.0,5442000.0,411000.0,301000.0,438000.0,220000.0,-12610000.0,188000.0,98000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,259660000.0,259554000.0,246123000.0,252213000.0,252067000.0,245686000.0,251536000.0,249999000.0,249795000.0,251814000.0,254500000.0,250042000.0
Costs and Expenses,us-gaap_CostsAndExpenses,-864597000.0,-791628000.0,-791678000.0,-741261000.0,-740406000.0,-741136000.0,-685292000.0,-672921000.0,-679087000.0,-639804000.0,-649380000.0,-609685000.0
Non-cash impairment of assets,us-gaap_AssetImpairmentCharges,,,,,,10500000.0,0.0,0.0,,,,
Loss on early extinguishments and modifications of debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,-1446000.0,,,,,,-0.0,-0.0,0.0,0.0,16509000.0,3300000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,104005000.0,110065000.0,107846000.0,102391000.0,105134000.0,108184000.0,99944000.0,99070000.0,100319000.0,92950000.0,95662000.0,92047000.0
Operating Income,us-gaap_OperatingIncomeLoss,139764000.0,242370000.0,199887000.0,219985000.0,227106000.0,219385000.0,217872000.0,244029000.0,284879000.0,237459000.0,245070000.0,251058000.0
Interest Expense,us-gaap_InterestExpense,,,,,,-42309000.0,-42352000.0,-42715000.0,-43866000.0,-36001000.0,-36466000.0,-37658000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-33262000.0,-50569000.0,-48437000.0,-46208000.0,-42949000.0,,,,,,,
Interest income,us-gaap_InvestmentIncomeInterest,1501000.0,1263000.0,808000.0,392000.0,403000.0,446000.0,1585000.0,2715000.0,18145000.0,2073000.0,483000.0,420000.0
"Other, net",us-gaap_OtherNonoperatingIncomeExpense,1735479000.0,48000.0,-107000.0,-189000.0,-50000.0,-50000.0,30000.0,-522000.0,-104000.0,-170000.0,-3750000.0,253000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,1702272000.0,-49258000.0,-47736000.0,-46005000.0,-42596000.0,-41913000.0,-40737000.0,-40522000.0,-25825000.0,-34098000.0,-56242000.0,-40285000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1842036000.0,193112000.0,152151000.0,173980000.0,184510000.0,177472000.0,177135000.0,203507000.0,259054000.0,203361000.0,188828000.0,210773000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-403200000.0,-42758000.0,-41269000.0,-42852000.0,-44665000.0,-40999000.0,-41902000.0,-11053000.0,-59323000.0,-46359000.0,-42065000.0,-47845000.0
Net Income,us-gaap_NetIncomeLoss,1439993000.0,151458000.0,111419000.0,131128000.0,139845000.0,136473000.0,135233000.0,192454000.0,199731000.0,157002000.0,146763000.0,162928000.0
Profit or Loss,us-gaap_ProfitLoss,1438836000.0,150354000.0,110882000.0,,,,,,,,,
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,1157000.0,1104000.0,537000.0,,,,,,,,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,17.81,1.84,1.31,1.43,1.47,1.4,1.34,1.89,1.93,1.46,1.33,1.45
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,17.81,1.84,1.31,1.43,1.47,1.4,1.34,1.89,1.93,1.46,1.33,1.45
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,80860000.0,82289.0,85119000.0,91863.0,95042.0,97434000.0,100804000.0,102025000.0,103620000.0,107743000.0,110118000.0,112195.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,80875000.0,82303.0,85136000.0,91893.0,95080.0,97479000.0,100850000.0,102071000.0,103672000.0,107840000.0,110259000.0,112358.0
