label,concept,2025-11-29,2025-08-30,2025-03-01,2024-11-30,2024-08-31,2024-03-02,2023-12-02,2023-09-02,2023-02-25,2022-11-26,2022-08-27,2022-02-26
Profit or Loss,us-gaap_ProfitLoss,102927000.0,199107000.0,508153000.0,218359000.0,149590000.0,146363000.0,16578000.0,411000.0,322769000.0,198294000.0,125134000.0,39454000.0
"Unrealized holding gain (loss) on available-for-sale securities, net of reclassification adjustments",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,494000.0,,,-573000.0,,132000.0,895000.0,786000.0,26000.0,,,
Income tax benefit (expense) related to items of other comprehensive income,us-gaap_OtherComprehensiveIncomeLossTax,-122000.0,,,139000.0,,-32000.0,-218000.0,-191000.0,-6000.0,,,
"Other comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,372000.0,,,,,,,,,,,
"Other comprehensive loss, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,-737000.0,-754000.0,-417000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,103299000.0,201068000.0,508304000.0,217925000.0,150889000.0,146463000.0,17255000.0,1006000.0,322789000.0,,,39037000.0
"Other comprehensive Income, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,1961000.0,151000.0,,1299000.0,,,,,,,
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,197557000.0,124380000.0,
"Other comprehensive Income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,-434000.0,,100000.0,677000.0,595000.0,20000.0,,,
"Unrealized holding loss on available-for-sale securities, net of reclassification adjustments",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,,,,,,,,-974000.0,,-551000.0
Income tax benefit related to items of other comprehensive income,us-gaap_OtherComprehensiveIncomeLossTax,,,,,,,,,,237000.0,243000.0,134000.0
Less: Comprehensive income (loss) attributable to the noncontrolling interest,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-168000.0,,,,,,,,,,,
Less: Comprehensive loss attributable to the noncontrolling interest,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,233000.0,380000.0,705000.0,386000.0,349000.0,431000.0,515000.0,450000.0,293000.0,153000.0,63000.0
"Comprehensive income attributable to Cal-Maine Foods, Inc.",us-gaap_ComprehensiveIncomeNetOfTax,103131000.0,201301000.0,508684000.0,218630000.0,151275000.0,146812000.0,17686000.0,1521000.0,323239000.0,,,39100000.0
"Unrealized holding gain on available-for-sale securities, net of reclassification adjustments",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,2586000.0,200000.0,,1715000.0,,,,,,,
Income tax expense related to items of other comprehensive income,us-gaap_OtherComprehensiveIncomeLossTax,,-625000.0,-49000.0,,-416000.0,,,,,,,
"Comprehensive income (loss) attributable to Cal-Maine Foods, Inc.",us-gaap_ComprehensiveIncomeNetOfTax,,,,,,,,,,197850000.0,124533000.0,
"Unrealized holding loss available-for-sale securities, net of reclassification adjustments",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,,,,,,,,,-997000.0,
