label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,178834000.0,231233000.0,172862000.0,246748000.0,216169000.0,246342000.0,355330000.0,363060000.0,456696000.0,404429000.0,338238000.0,315005000.0
Inventory,us-gaap_InventoryNet,0.0,963000.0,810000.0,345000.0,459000.0,391000.0,323000.0,541000.0,1637000.0,28166000.0,21684000.0,20992000.0
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,132934000.0,130299000.0,132383000.0,126612000.0,130023000.0,108143000.0,54700000.0,48243000.0,42748000.0,36833000.0,35343000.0,33101000.0
Goodwill,us-gaap_Goodwill,28409000.0,28370000.0,46714000.0,47220000.0,46576000.0,157566000.0,157267000.0,157638000.0,157689000.0,156216000.0,157073000.0,157998000.0
Intangible Assets,us-gaap_FiniteLivedIntangibleAssetsNet,3493000.0,4303000.0,11318000.0,12389000.0,12824000.0,21131000.0,30481000.0,38037000.0,45552000.0,60535000.0,68338000.0,76161000.0
Short-term investments,us-gaap_ShortTermInvestments,,,,0.0,,,91824000.0,90490000.0,,,,
Accounts Payable,us-gaap_AccountsPayableCurrent,30350000.0,32738000.0,29891000.0,47238000.0,46107000.0,46471000.0,37481000.0,39260000.0,42701000.0,67149000.0,74171000.0,61873000.0
Other Non Current Liabilities,us-gaap_OtherLiabilitiesNoncurrent,7197000.0,7381000.0,7080000.0,5191000.0,5444000.0,5028000.0,4386000.0,5611000.0,4336000.0,30466000.0,51251000.0,37896000.0
Total Current Liabilities,us-gaap_LiabilitiesCurrent,93856000.0,97199000.0,94507000.0,110588000.0,112041000.0,116319000.0,108638000.0,110764000.0,123999000.0,148881000.0,175973000.0,148907000.0
Deferred revenue,us-gaap_ContractWithCustomerLiabilityCurrent,23643000.0,23395000.0,22407000.0,21882000.0,21785000.0,21432000.0,21043000.0,21267000.0,20808000.0,12737000.0,15071000.0,12776000.0
"Accrued expenses, accrued income taxes and other current liabilities",carg_AccruedLiabilitiesAccruedIncomeTaxesAndOtherLiabilitiesCurrent,30546000.0,31893000.0,32240000.0,31582000.0,33924000.0,38353000.0,36908000.0,36367000.0,45010000.0,56970000.0,74391000.0,61755000.0
Operating lease liabilities,us-gaap_OperatingLeaseLiabilityCurrent,183944000.0,186038000.0,185463000.0,178909000.0,183732000.0,181052000.0,192111000.0,193184000.0,194931000.0,52942000.0,56110000.0,54359000.0
Total Liabilities,us-gaap_Liabilities,285023000.0,290644000.0,287065000.0,294688000.0,301258000.0,302441000.0,305195000.0,309602000.0,323296000.0,232312000.0,283366000.0,241190000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,4035000.0,3689000.0,4003000.0,4262000.0,7704000.0,11029000.0,7546000.0,7828000.0,8132000.0,8950000.0,7138000.0,6074000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,39612000.0,41032000.0,40703000.0,44542000.0,39757000.0,44298000.0,46107000.0,37820000.0,42395000.0,120059000.0,193431000.0,144718000.0
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,36078000.0,19081000.0,21107000.0,19085000.0,18131000.0,18893000.0,19696000.0,21742000.0,18114000.0,29647000.0,24599000.0,17407000.0
Total Current Assets,us-gaap_AssetsCurrent,269388000.0,308972000.0,251970000.0,326637000.0,288326000.0,323816000.0,535369000.0,535292000.0,543214000.0,603846000.0,629514000.0,572719000.0
