label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Net Income,us-gaap_NetIncomeLoss,44717000.0,22343000.0,39045000.0,,,,,,,,,
Profit or Loss,us-gaap_ProfitLoss,,,,22511000.0,-68721000.0,21301000.0,18973000.0,13817000.0,11866000.0,18824000.0,18061000.0,18838000.0
Foreign currency translation adjustment,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,20000.0,2679000.0,1238000.0,1382000.0,-203000.0,-599000.0,-778000.0,-112000.0,415000.0,-1519000.0,-1586000.0,-489000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,,,40283000.0,,,,,,,,,
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTax,44737000.0,25022000.0,,,,,,,,,,
Consolidated comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,23893000.0,,,,,,,,
Comprehensive income (loss) attributable to common stockholders,us-gaap_ComprehensiveIncomeNetOfTax,,,,23893000.0,,,,,,,,
Consolidated comprehensive (loss) income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,-68924000.0,,,,,,,
Comprehensive (loss) income attributable to redeemable noncontrolling interests,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,1576000.0,,
Comprehensive loss attributable to redeemable noncontrolling interests,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,3329000.0,2596000.0,4266000.0,,1223000.0,1072000.0
Consolidated comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,20702000.0,18195000.0,13705000.0,12281000.0,17305000.0,16475000.0,18349000.0
Comprehensive income attributable to common stockholders,us-gaap_ComprehensiveIncomeNetOfTax,,,,,,20702000.0,,,,,,
"Comprehensive income attributable to CarGurus, Inc.",us-gaap_ComprehensiveIncomeNetOfTax,,,,,,,21524000.0,16301000.0,16547000.0,18881000.0,17698000.0,19421000.0
Comprehensive (loss) income attributable to common stockholders,us-gaap_ComprehensiveIncomeNetOfTax,,,,,-68924000.0,,,,,,,
