label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,238696000.0,234033000.0,225158000.0,231358000.0,218692000.0,215796000.0,219419000.0,239737000.0,231963000.0,426454000.0,511229000.0,430608000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,25164000.0,29651000.0,25451000.0,-48807000.0,-36248000.0,-40835000.0,-55121000.0,-75596000.0,-76983000.0,-275669000.0,-323378000.0,-248733000.0
Impairments,carg_ImpairmentInOperatingExpense,0.0,29633000.0,,,,,,,,,,
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,4711000.0,4136000.0,4206000.0,2329000.0,2233000.0,2792000.0,4037000.0,3907000.0,3818000.0,3842000.0,3836000.0,3861000.0
Gross Profit,us-gaap_GrossProfit,213532000.0,204382000.0,199707000.0,182551000.0,182444000.0,174961000.0,164298000.0,164141000.0,154980000.0,150785000.0,187851000.0,181875000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,36316000.0,34370000.0,36250000.0,36359000.0,36580000.0,35545000.0,35434000.0,37391000.0,36607000.0,30208000.0,31354000.0,30653000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,28463000.0,27062000.0,26780000.0,28187000.0,27429000.0,28066000.0,24904000.0,27267000.0,24919000.0,4760000.0,33514000.0,33121000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,89368000.0,84337000.0,86716000.0,81216000.0,82311000.0,82274000.0,76828000.0,77838000.0,75577000.0,83319000.0,95605000.0,87581000.0
Operating Expenses,us-gaap_OperatingExpenses,-158858000.0,-179538000.0,153952000.0,-155117000.0,-276028000.0,-148677000.0,-141203000.0,-146403000.0,-140921000.0,-122129000.0,-164309000.0,-155216000.0
Operating Income,us-gaap_OperatingIncomeLoss,54674000.0,24844000.0,45755000.0,27434000.0,-93584000.0,26284000.0,23095000.0,17738000.0,14059000.0,28656000.0,23542000.0,26659000.0
Interest income,us-gaap_InvestmentIncomeInterest,2292000.0,2134000.0,3098000.0,2717000.0,2440000.0,3906000.0,5261000.0,4333000.0,3743000.0,,,
"Other (expense) income, net",us-gaap_OtherNonoperatingIncomeExpense,-399000.0,,,-94000.0,,-505000.0,,,,,-156000.0,-119000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,1893000.0,2564000.0,2796000.0,2623000.0,3161000.0,3401000.0,4167000.0,4680000.0,4338000.0,,,
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,56567000.0,27408000.0,48551000.0,30057000.0,-90423000.0,29685000.0,27262000.0,22418000.0,18397000.0,28856000.0,23386000.0,26540000.0
Accretion of redeemable noncontrolling interest to redemption value,us-gaap_TemporaryEquityAccretionToRedemptionValueAdjustment,,,,,,,,,,86564000.0,-29620000.0,-82000000.0
"Other income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,,,,,,,,347000.0,595000.0,200000.0,,
Net income attributable to redeemable noncontrolling interest,us-gaap_NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,,,,,,,,,,,1072000.0
Net loss attributable to redeemable noncontrolling interest,us-gaap_NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,,,-0.0,-0.0,-0.0,3329000.0,2596000.0,4266000.0,,1223000.0,
Net (loss) income attributable to redeemable noncontrolling interest,us-gaap_NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,,,,,,,,,1576000.0,,
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-11850000.0,-5065000.0,-9506000.0,-7546000.0,21702000.0,-8384000.0,-8289000.0,-8601000.0,-6531000.0,-10032000.0,-5325000.0,-7702000.0
Net Income,us-gaap_NetIncomeLoss,44717000.0,22343000.0,39045000.0,,,,22302000.0,16413000.0,16132000.0,20400000.0,19284000.0,19910000.0
Profit or Loss,us-gaap_ProfitLoss,,,,22511000.0,-68721000.0,21301000.0,18973000.0,13817000.0,11866000.0,18824000.0,18061000.0,18838000.0
Basic Net Income Available to Common Shareholders,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,,,,22511000.0,-68721000.0,21301000.0,22302000.0,16413000.0,16132000.0,106964000.0,-10336000.0,-62090000.0
Goodwill and other long lived asset impairment,carg_GoodwillAndOtherLongLivedAssetImpairment,,,,,127475000.0,,,,,,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.46,0.23,0.38,0.22,-0.66,0.2,0.2,0.14,0.14,0.9,-0.09,-0.53
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.45,0.22,0.37,0.21,-0.66,0.2,0.17,0.12,0.1,0.14,-0.09,-0.53
"Other income, net",us-gaap_OtherNonoperatingIncomeExpense,,430000.0,,,721000.0,,,,,,,
"Other expense, net",us-gaap_OtherNonoperatingIncomeExpense,,,-302000.0,,,,-1094000.0,,,,,
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,98170081.0,98889893.0,103094690.0,103321988.0,103827661.0,107174812.0,113223711.0,113438057.0,115358475.0,118683642.0,118390641.0,118031325.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,99722575.0,100184067.0,105068046.0,105059283.0,103827661.0,108632159.0,114322279.0,114490651.0,115915737.0,132243636.0,118390641.0,118031325.0
Goodwill and other asset impairment,carg_GoodwillAndOtherAssetImpairment,,,,7026000.0,,,,,,,,
