date,symbol,reportedCurrency,fiscalYear,period,operatingCashFlow,capitalExpenditure,depreciationAndAmortization,freeCashFlow
2025-09-30,CB,USD,2025,Q,,,,0.0
2025-06-30,CB,USD,2025,Q,,,,0.0
2025-03-31,CB,USD,2025,Q,1566000000.0,,,1566000000.0
2024-09-30,CB,USD,2024,Q,,,,0.0
2024-06-30,CB,USD,2024,Q,,,,0.0
2024-03-31,CB,USD,2024,Q,3220000000.0,,,3220000000.0
2023-09-30,CB,USD,2023,Q,,,,0.0
2023-06-30,CB,USD,2023,Q,,,,0.0
2023-03-31,CB,USD,2023,Q,2251000000.0,,,2251000000.0
2022-09-30,CB,USD,2022,Q,,,,0.0
2022-06-30,CB,USD,2022,Q,,,,0.0
2022-03-31,CB,USD,2022,Q,2440000000.0,,,2440000000.0
