label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Net premiums written,us-gaap_PremiumsWrittenNet,51468000000.0,47361000000.0,41755000000.0,37868000000.0,33820000000.0,32275000000.0
Increase in unearned premiums,us-gaap_IncreaseDecreaseInUnearnedPremiumsNet,-1622000000.0,-1649000000.0,-1366000000.0,-1513000000.0,-703000000.0,-985000000.0
Net premiums earned,us-gaap_PremiumsEarnedNet,49846000000.0,45712000000.0,40389000000.0,36355000000.0,33117000000.0,31290000000.0
Net investment income,us-gaap_NetInvestmentIncome,5930000000.0,4937000000.0,3742000000.0,3456000000.0,3375000000.0,3426000000.0
Net realized gains (losses),us-gaap_RealizedInvestmentGainsLosses,117000000.0,-607000000.0,-965000000.0,,,
Market risk benefits gains (losses),us-gaap_MarketRiskBenefitChangeInFairValueGainLoss,140000000.0,-307000000.0,,,,
Revenue,us-gaap_Revenues,55753000000.0,49735000000.0,43166000000.0,40963000000.0,35994000000.0,34186000000.0
Losses and loss expenses,us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,-26022000000.0,-24100000000.0,-23342000000.0,-21980000000.0,-21710000000.0,18730000000.0
"Policy benefits (includes remeasurement gains (losses) of $(2), $19, and $3)",us-gaap_LiabilityForFuturePolicyBenefitsPeriodExpense,4714000000.0,,,,,
Policy acquisition costs,us-gaap_DeferredPolicyAcquisitionCostAmortizationExpense,-9102000000.0,-8259000000.0,-7392000000.0,-6918000000.0,,
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,4380000000.0,4007000000.0,3395000000.0,3136000000.0,2979000000.0,3030000000.0
Other (income) expense,us-gaap_OtherOperatingIncomeExpenseNet,1023000000.0,836000000.0,-74000000.0,2365000000.0,994000000.0,-596000000.0
Depreciation and Amortization,us-gaap_AmortizationOfIntangibleAssets,-323000000.0,-310000000.0,-285000000.0,-287000000.0,-290000000.0,305000000.0
Integration expenses,us-gaap_BusinessCombinationIntegrationRelatedCosts,39000000.0,,,,,
Total expenses,us-gaap_BenefitsLossesAndExpenses,-44298000000.0,-40209000000.0,-36598000000.0,-31147000000.0,-31832000000.0,28937000000.0
