label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
CB_Par Value Reduction,cb_CB_ParValueReduction,0.0,-9759000000.0,,,,
"Treasury Stock, Retired, Cost Method, Amount",us-gaap_TreasuryStockRetiredCostMethodAmount,6000000.0,346000000.0,639000000.0,79000000.0,-323000000.0,
Common Shares repurchased,us-gaap_TreasuryStockValueAcquiredCostMethod,2024000000.0,2478000000.0,3014000000.0,4861000000.0,516000000.0,1531000000.0
Net shares issued under employee share-based compensation plans,us-gaap_StockGrantedDuringPeriodValueSharebasedCompensation,373000000.0,322000000.0,382000000.0,,,
Net shares redeemed under employee share-based compensation plans,us-gaap_StockGrantedDuringPeriodValueSharebasedCompensation,,,,-179000000.0,303000000.0,-178000000.0
"Stock Issued During Period, Value, Stock Options Exercised",us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,23000000.0,20000000.0,43000000.0,52000000.0,50000000.0,-82000000.0
Share-based compensation expense,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,361000000.0,322000000.0,283000000.0,286000000.0,255000000.0,266000000.0
"Noncontrolling Interest, Increase from Business Combination",us-gaap_NoncontrollingInterestIncreaseFromBusinessCombination,-31000000.0,31000000.0,,,,
FundingDividendsDeclaredToRetainedEarnings,cb_FundingDividendsDeclaredToRetainedEarnings,-1455000000.0,-1401000000.0,-1379000000.0,-1392000000.0,-1398000000.0,-1360000000.0
Net Income,us-gaap_NetIncomeLoss,9272000000.0,9028000000.0,5313000000.0,8539000000.0,3533000000.0,4454000000.0
"Change in year, before reclassification from AOCI, net of income tax (expense) benefit of $527, $(426), and $(647)",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,-2408000000.0,,
"Amounts reclassified from AOCI, net of income tax (expense) of $(6), $(36), and nil",us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,,,,-9000000.0,,
"Change in year, net of income tax (expense) benefit of $521, $(462), and $(647)",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,-2417000000.0,,
"Change in year, net of income tax (expense) benefit of $21, $(4), and $24",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-509000000.0,,
"Change in year, net of income tax (expense) benefit of $(115), $50, and $18",us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,407000000.0,,
"Change in year, before reclassification from AOCI, net of income tax (expense) benefit of $(426), $(647), and $338",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,,1885000000.0,
