label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Profit or Loss,us-gaap_ProfitLoss,3107000000.0,2999000000.0,1343000000.0,2490000000.0,2216000000.0,2294000000.0,2040000000.0,,,,,
Net realized (gains) losses,us-gaap_RealizedInvestmentGainsLosses,-283000000.0,-160000000.0,116000000.0,198000000.0,104000000.0,-101000000.0,-103000000.0,-304000000.0,-77000000.0,,,-101000000.0
Market risk benefits (gains) losses,us-gaap_MarketRiskBenefitChangeInFairValueGainLoss,142000000.0,17000000.0,92000000.0,-230000000.0,-29000000.0,21000000.0,,,,,,
Amortization of premiums (discounts) on fixed maturities,us-gaap_AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-100000000.0,,,,,,,,,
Amortization of purchased intangibles,us-gaap_PresentValueOfFutureInsuranceProfitsAmortizationExpense1,,,75000000.0,,,80000000.0,,,72000000.0,,,71000000.0
Equity in net income (loss) of partially-owned entities,us-gaap_IncomeLossFromEquityMethodInvestments,40000000.0,657000000.0,82000000.0,343000000.0,94000000.0,,,,,,,
Deferred income taxes,us-gaap_IncreaseDecreaseInDeferredIncomeTaxes,,,-198000000.0,,,-24000000.0,,,9000000.0,,,93000000.0
Unpaid losses and loss expenses,us-gaap_IncreaseDecreaseInLiabilityForClaimsAndClaimsAdjustmentExpenseReserve,,,1182000000.0,,,175000000.0,,,-14000000.0,,,957000000.0
Unearned premiums,us-gaap_IncreaseDecreaseInUnearnedPremiums,,,868000000.0,,,633000000.0,,,591000000.0,,,502000000.0
Future policy benefits,us-gaap_IncreaseDecreaseInFuturePolicyBenefitReserves,,,440000000.0,,,445000000.0,,,136000000.0,,,36000000.0
Insurance and reinsurance balances payable,us-gaap_IncreaseDecreaseInReinsurancePayables,,,305000000.0,,,155000000.0,,,-9000000.0,,,147000000.0
"Accounts payable, accrued expenses, and other liabilities",us-gaap_IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,-567000000.0,,,-267000000.0,,,-390000000.0,,,-338000000.0
Income taxes,us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,,,203000000.0,,,257000000.0,,,,,,
Insurance and reinsurance balances receivable,us-gaap_IncreaseDecreaseInPremiumsReceivable,,,-874000000.0,,,-586000000.0,,,-402000000.0,,,-125000000.0
Reinsurance recoverable,us-gaap_IncreaseDecreaseInReinsuranceRecoverable,,,-127000000.0,,,852000000.0,,,622000000.0,,,-456000000.0
Deferred policy acquisition costs,us-gaap_IncreaseDecreaseInDeferredPolicyAcquisitionCosts,,,-428000000.0,,,-390000000.0,,,-254000000.0,,,-96000000.0
Net sales (purchases) of investments by consolidated investment products,cb_SalesPurchaseOfInvestmentsByConsolidatedInvestmentsProducts,,,-435000000.0,,,,,,,,,
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,,,1566000000.0,,,3220000000.0,,,2251000000.0,,,2440000000.0
Other,us-gaap_IncreaseDecreaseInOtherOperatingCapitalNet,,,-112000000.0,,,-109000000.0,,,-172000000.0,,,-120000000.0
Purchases of fixed maturities available-for-sale,us-gaap_PaymentsToAcquireAvailableForSaleSecuritiesDebt,,,-5894000000.0,,,-8617000000.0,,,,,,
Purchases of fixed maturities held-to-maturity,us-gaap_PaymentsToAcquireHeldToMaturitySecurities,,,,,,-0.0,,,,,,
Purchases of equity securities,us-gaap_PaymentsToAcquireEquitySecuritiesFvNi,,,-783000000.0,,,-752000000.0,,,-135000000.0,,,-380000000.0
"Proceeds from Sale of Debt Securities, ",us-gaap_ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,,,2660000000.0,,,4368000000.0,,,3854000000.0,,,1838000000.0
Sales of equity securities,us-gaap_ProceedsFromSaleOfEquitySecuritiesFvNi,,,637000000.0,,,520000000.0,,,43000000.0,,,1110000000.0
"Proceeds from Maturities, Prepayments and Calls of Securities",us-gaap_ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,,2902000000.0,,,2149000000.0,,,1541000000.0,,,3003000000.0
Maturities and redemptions of fixed maturities held-to-maturity,us-gaap_ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,,,,,,0.0,,,,,,
Net change in short-term investments,us-gaap_PaymentsForProceedsFromShortTermInvestments,,,773000000.0,,,-708000000.0,,,1256000000.0,,,-267000000.0
Net derivative instruments settlements,us-gaap_PaymentsForProceedsFromDerivativeInstrumentInvestingActivities,,,-21000000.0,,,-17000000.0,,,-38000000.0,,,74000000.0
Private equity contributions,us-gaap_PaymentsToAcquireLimitedPartnershipInterests,,,-879000000.0,,,-248000000.0,,,,,,
Private equity distributions,us-gaap_ProceedsFromLimitedPartnershipInvestments,,,222000000.0,,,177000000.0,,,,,,
Payments to Acquire Businesses,us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,,,-0.0,,,-236000000.0,,,-23000000.0,,,
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,,,-798000000.0,,,-3746000000.0,,,-570000000.0,,,-995000000.0
Proceeds from Issuance of Long-Term Debt,us-gaap_ProceedsFromIssuanceOfLongTermDebt,,,0.0,,,996000000.0,,,,,,
Dividends paid on Common Shares,us-gaap_PaymentsOfDividendsCommonStock,,,-366000000.0,,,-349000000.0,,,-345000000.0,,,-341000000.0
Common Shares repurchased,us-gaap_PaymentsForRepurchaseOfCommonStock,,,-691000000.0,,,-404000000.0,,,-545000000.0,,,-1001000000.0
Repayment of long-term debt,us-gaap_RepaymentsOfLongTermDebt,,,-800000000.0,,,-0.0,,,-475000000.0,,,
Proceeds from share-based compensation plans,us-gaap_ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,,98000000.0,,,163000000.0,,,55000000.0,,,114000000.0
Policyholder contract deposits,us-gaap_AdditionsToContractHoldersFunds,,,242000000.0,,,336000000.0,,,95000000.0,,,
Policyholder contract withdrawals,us-gaap_WithdrawalFromContractHoldersFunds,,,-176000000.0,,,-245000000.0,,,-101000000.0,,,
Third-party capital invested into consolidated investment products,cb_ThirdPartyCapitalInvestedIntoConsolidatedInvestmentProducts,,,559000000.0,,,509000000.0,,,,,,
Third-party capital distributed by consolidated investment products,cb_ThirdPartyCapitalDistributedByConsolidatedInvestmentProducts,,,-242000000.0,,,-413000000.0,,,,,,
Proceeds from issuance of repurchase agreements,us-gaap_ProceedsFromShortTermDebt,,,810000000.0,,,1062000000.0,,,1308000000.0,,,146000000.0
Repayment of repurchase agreements,us-gaap_RepaymentsOfShortTermDebt,,,-447000000.0,,,-984000000.0,,,-1307000000.0,,,-146000000.0
Tax Withholding for Share-Based Compensation,us-gaap_PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,-76000000.0,,,-81000000.0
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,,,-1125000000.0,,,562000000.0,,,-1424000000.0,,,-1302000000.0
Effect of foreign currency rate changes on cash and restricted cash,us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,,,58000000.0,,,-6000000.0,,,-2000000.0,,,-40000000.0
Net Change in Cash,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,,,-299000000.0,,,30000000.0,,,255000000.0,,,103000000.0
Net Income,us-gaap_NetIncomeLoss,,,,,,,,1793000000.0,1892000000.0,812000000.0,1215000000.0,1974000000.0
Purchases of fixed maturities available for sale,us-gaap_PaymentsToAcquireAvailableForSaleSecuritiesDebt,,,,,,,,,-7169000000.0,,,-5933000000.0
