date,symbol,reportedCurrency,fiscalYear,period,revenue,grossProfit,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,weightedAverageShsOut,weightedAverageShsOutDil,ebitda
2025-09-30,CB,USD,2025,Q,16148000000.0,,3894000000.0,3894000000.0,-787000000.0,2801000000.0,,,3894000000.0
2025-06-30,CB,USD,2025,Q,14836000000.0,,3716000000.0,3716000000.0,-717000000.0,2968000000.0,,,3716000000.0
2025-03-31,CB,USD,2025,Q,13353000000.0,,1664000000.0,1664000000.0,-321000000.0,1331000000.0,,,1664000000.0
2024-09-30,CB,USD,2024,Q,14849000000.0,,2994000000.0,2994000000.0,-504000000.0,2324000000.0,,,2994000000.0
2024-06-30,CB,USD,2024,Q,13835000000.0,,2706000000.0,2706000000.0,-490000000.0,2230000000.0,,,2706000000.0
2024-03-31,CB,USD,2024,Q,12894000000.0,,2636000000.0,2636000000.0,-342000000.0,2143000000.0,,,2636000000.0
2023-09-30,CB,USD,2023,Q,13853000000.0,,2453000000.0,2453000000.0,-413000000.0,2043000000.0,,,2453000000.0
2023-06-30,CB,USD,2023,Q,11833000000.0,,2185000000.0,2185000000.0,-392000000.0,1793000000.0,,,2185000000.0
2023-03-31,CB,USD,2023,Q,11057000000.0,,2276000000.0,2276000000.0,-384000000.0,1892000000.0,,,2276000000.0
2022-09-30,CB,USD,2022,Q,12130000000.0,,1077000000.0,1077000000.0,-265000000.0,812000000.0,,,1077000000.0
2022-06-30,CB,USD,2022,Q,9941000000.0,,1508000000.0,1508000000.0,-293000000.0,1215000000.0,,,1508000000.0
2022-03-31,CB,USD,2022,Q,9669000000.0,,2329000000.0,2329000000.0,-355000000.0,1974000000.0,,,2329000000.0
