label,concept,2025-08-31,2024-08-31,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Net Income,us-gaap_NetIncomeLoss,3068000.0,23402000.0,17781000.0,18430000.0,13623000.0,-9435000.0
Depreciation and amortization,fc_DepreciationAndAmortization1,8458000.0,8153000.0,8613000.0,10169000.0,11196000.0,11270000.0
Amortization of capitalized curriculum development costs,fc_AmortizationOfCapitalizedCurriculumCosts,4440000.0,3172000.0,3084000.0,3354000.0,3445000.0,3949000.0
Deferred income taxes,us-gaap_IncreaseDecreaseInDeferredIncomeTaxes,1468000.0,1885000.0,4748000.0,121000.0,-9790000.0,9094000.0
Stock-based compensation expense,us-gaap_ShareBasedCompensation,5805000.0,-10142000.0,-12520000.0,-8286000.0,-8617000.0,573000.0
Impaired asset,us-gaap_AssetImpairmentCharges,,-928000.0,,,,
Change in the fair value of contingent consideration liabilities,us-gaap_BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,-7000.0,-68000.0,,49000.0
Amortization of right-of-use operating lease assets,us-gaap_OperatingLeaseRightOfUseAssetAmortizationExpense,610000.0,760000.0,834000.0,913000.0,1003000.0,331000.0
"Decrease (increase) in accounts receivable, net",us-gaap_IncreaseDecreaseInAccountsReceivable,17464000.0,,,-2406000.0,-14266000.0,17142000.0
Decrease (increase) in inventories,us-gaap_IncreaseDecreaseInInventories,-1161000.0,228000.0,-692000.0,-1048000.0,,552000.0
Increase in prepaid expenses and other assets,us-gaap_IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1447000.0,-1414000.0,-88000.0,-2692000.0,,
Increase (decrease) in accounts payable and accrued liabilities,us-gaap_IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-5770000.0,403000.0,-9541000.0,4358000.0,14372000.0,-5464000.0
Increase in deferred revenue and customer deposits,us-gaap_IncreaseDecreaseInContractWithCustomerLiability,3151000.0,13458000.0,,,,
Increase (decrease) in income taxes payable/receivable,us-gaap_IncreaseDecreaseInIncomeTaxes,-5942000.0,,-195000.0,138000.0,273000.0,-794000.0
Decrease in other liabilities,us-gaap_IncreaseDecreaseInOtherNoncurrentLiabilities,-1167000.0,-554000.0,-687000.0,-1682000.0,,-525000.0
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,28977000.0,60257000.0,35738000.0,52254000.0,46177000.0,27563000.0
"Payments for Property, Plant and Equipment",us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,-8253000.0,-3694000.0,-4515000.0,-3177000.0,-1602000.0,-4183000.0
Capitalized curriculum development costs,fc_PaymentsForCurriculumDevelopmentCosts,-7561000.0,-6866000.0,-9035000.0,-2154000.0,-2504000.0,-5082000.0
Acquisition of license/content rights,us-gaap_PaymentsToAcquireIntangibleAssets,-1074000.0,,,,,
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,-16888000.0,-11310000.0,-13550000.0,-5331000.0,-14315000.0,-11865000.0
Proceeds from term notes payable financing,us-gaap_ProceedsFromNotesPayable,,,7500000.0,,,5000000.0
Principal payments on notes payable,us-gaap_RepaymentsOfNotesPayable,-835000.0,-5835000.0,-13335000.0,-5835000.0,-5000000.0,
Principal payments on financing obligation,us-gaap_RepaymentsOfLongTermDebt,-3112000.0,-3538000.0,-3199000.0,-2887000.0,-2600000.0,-2335000.0
Purchases of common stock for treasury,us-gaap_PaymentsForRepurchaseOfCommonStock,-26374000.0,-30749000.0,-35555000.0,-23850000.0,-2971000.0,-13971000.0
Payment of contingent consideration liabilities,fc_PaymentOfContingentConsiderationLiability,,,-736000.0,-1434000.0,-1981000.0,-1297000.0
Proceeds from sales of common stock held in treasury,us-gaap_ProceedsFromSaleOfTreasuryStock,1540000.0,1467000.0,1539000.0,1336000.0,1073000.0,1046000.0
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,-28781000.0,-38655000.0,-44179000.0,-32670000.0,-11479000.0,-16557000.0
Effect of foreign currency exchange rates on cash and cash equivalents,us-gaap_EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,-273000.0,141000.0,-296000.0,-1153000.0,-103000.0,297000.0
Net Change in Cash,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-16965000.0,10433000.0,-22287000.0,13100000.0,20280000.0,-562000.0
Payments to Acquire Businesses,us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,-10209000.0,
