label,concept,2025-09-30,2025-06-30
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,274173000.0,249640000.0
Less: net income attributable to participating securities,us-gaap_UndistributedEarningsLossAllocatedToParticipatingSecuritiesBasic,-0.0,-27381000.0
Basic Net Income Available to Common Shareholders,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,-1097015000.0,846000.0
Total Cost of Revenue,us-gaap_CostOfRevenue,-83884000.0,-27889000.0
Gross Profit,us-gaap_GrossProfit,190289000.0,221751000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,680885000.0,83052000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,371425000.0,38922000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,274759000.0,97701000.0
Operating Expenses,us-gaap_OperatingExpenses,-1327069000.0,-219675000.0
Operating Income,us-gaap_OperatingIncomeLoss,-1136780000.0,2076000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,29305000.0,36978000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-1107475000.0,39054000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,10460000.0,-10827000.0
Net Income,us-gaap_NetIncomeLoss,-1097015000.0,28227000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,-2.72,0.0
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,-2.72,0.0
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,403212000.0,215062000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,403212000.0,231702000.0
