label,concept,2025-12-27,2024-12-28,2023-12-30,2022-12-31,2021-12-25,2020-12-26
Profit or Loss,us-gaap_ProfitLoss,26000000.0,-19233000000.0,1675000000.0,8017000000.0,,
Net unrealized holding gains (losses) on derivatives,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,743000000.0,-555000000.0,272000000.0,-510000000.0,-520000000.0,677000000.0
"Actuarial valuation and other pension benefits (expenses), net",us-gaap_OtherComprehensiveIncomeDefinedBenefitPlansNetUnamortizedGainLossArisingDuringPeriodNetOfTax,78000000.0,60000000.0,66000000.0,855000000.0,451000000.0,-183000000.0
Translation adjustments and other,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,3000000.0,-1000000.0,9000000.0,-27000000.0,-60000000.0,35000000.0
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTax,824000000.0,-496000000.0,347000000.0,318000000.0,-129000000.0,529000000.0
Total comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,850000000.0,-19729000000.0,,,,
Less: comprehensive income (loss) attributable to non-controlling interests,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-293000000.0,477000000.0,14000000.0,,,
Total comprehensive income (loss) attributable to Intel,us-gaap_ComprehensiveIncomeNetOfTax,557000000.0,-19252000000.0,,,,
Total comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,2022000000.0,8335000000.0,19739000000.0,21428000000.0
Total comprehensive income attributable to Intel,us-gaap_ComprehensiveIncomeNetOfTax,,,2036000000.0,8332000000.0,,
Less: Comprehensive income attributable to non-controlling interests,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,-3000000.0,,
Net Income,us-gaap_NetIncomeLoss,,,,,19868000000.0,20899000000.0
