label,concept,2025-12-27,2024-12-28,2023-12-30,2022-12-31,2021-12-25,2020-12-26
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,52853000000.0,53101000000.0,54228000000.0,63054000000.0,79024000000.0,77867000000.0
Restructuring and other charges,us-gaap_RestructuringSettlementAndImpairmentProvisions,2191000000.0,6970000000.0,-62000000.0,2000000.0,2626000000.0,198000000.0
"Gains (losses) on equity investments, net",intc_GainsLossesOnEquityInvestments,514000000.0,242000000.0,40000000.0,4268000000.0,2729000000.0,1904000000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-34478000000.0,-35756000000.0,-32517000000.0,-36188000000.0,-35209000000.0,-34255000000.0
Gross Profit,us-gaap_GrossProfit,18375000000.0,17345000000.0,21711000000.0,26866000000.0,43815000000.0,43612000000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,13774000000.0,16546000000.0,16046000000.0,17528000000.0,15190000000.0,13556000000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,4624000000.0,5507000000.0,5634000000.0,7002000000.0,6543000000.0,6180000000.0
Operating Expenses,us-gaap_OperatingExpenses,-20589000000.0,-29023000000.0,-21618000000.0,-24532000000.0,-24359000000.0,-19934000000.0
Operating Income,us-gaap_OperatingIncomeLoss,-2214000000.0,-11678000000.0,93000000.0,2334000000.0,19456000000.0,23678000000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,3257000000.0,226000000.0,629000000.0,1166000000.0,-482000000.0,-504000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1557000000.0,-11210000000.0,762000000.0,7768000000.0,21703000000.0,25078000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,1531000000.0,8023000000.0,-913000000.0,-249000000.0,1835000000.0,4179000000.0
Net Income,us-gaap_NetIncomeLoss,-267000000.0,-18756000000.0,1689000000.0,8014000000.0,19868000000.0,20899000000.0
Profit or Loss,us-gaap_ProfitLoss,26000000.0,-19233000000.0,1675000000.0,8017000000.0,,
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-293000000.0,477000000.0,14000000.0,-3000000.0,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,-0.06,-4.38,0.4,1.95,4.89,4.98
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,-0.06,-4.38,0.4,1.94,4.86,4.94
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,4530000000.0,4280000000.0,4190000000.0,4108000000.0,4059000000.0,4199000000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,4530000000.0,4280000000.0,4212000000.0,4123000000.0,4090000000.0,4232000000.0
