label,concept,2025-12-27,2024-12-28,2023-12-30,2022-12-31,2021-12-25,2020-12-26
Reclassifications of Temporary to Permanent Equity,us-gaap_ReclassificationsOfTemporaryToPermanentEquity,,,,,0.0,155000000.0
Profit or Loss,us-gaap_ProfitLoss,26000000.0,-19233000000.0,1675000000.0,8017000000.0,,
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTax,824000000.0,-496000000.0,347000000.0,318000000.0,-129000000.0,529000000.0
Total comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,2022000000.0,8335000000.0,19739000000.0,21428000000.0
Net proceeds from stock issuances and warrants (in shares),intc_StockAndWarrantsIssuedDuringPeriodSharesNewIssues,580000000.0,,,,,
Net proceeds from stock issuances and warrants,intc_StockAndWarrantsIssuedDuringPeriodValueNewIssues,11835000000.0,,,,,
Net proceeds from sales of subsidiary shares and partner contributions,intc_NoncontrollingInterestIncreaseFromSaleOfParentEquityInterestAndContributionsFromNoncontrollingInterestHolders,6029000000.0,,,,,
Net proceeds from partner contributions,intc_NoncontrollingInterestIncreaseFromSaleOfParentEquityInterestAndContributionsFromNoncontrollingInterestHolders,,12714000000.0,,,,
Proceeds from sales of subsidiary shares and partner contributions,intc_NoncontrollingInterestIncreaseFromSaleOfParentEquityInterestAndSubsidiaryEquityIssuance,,,4005000000.0,,,
Net proceeds received from IPO and partner contributions,us-gaap_NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,,,,1906000000.0,,
Partner distributions,us-gaap_MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,217000000.0,43000000.0,,,,
"Employee equity incentive plans and other, shares",us-gaap_StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,101000000.0,123000000.0,,,,
"Stock Issued During Period, Shares, Employee Stock Purchase Plans",us-gaap_StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,,,107000000.0,79000000.0,54000000.0,55000000.0
"Temporary Equity, Carrying Amount, Period Increase (Decrease)",us-gaap_TemporaryEquityIssuePeriodIncreaseOrDecrease,,,,,0.0,-750000000.0
Employee equity incentive plans and other,us-gaap_AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,771000000.0,988000000.0,,,,
Share-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2434000000.0,3367000000.0,3229000000.0,3128000000.0,2036000000.0,1854000000.0
Repurchase of common stock,us-gaap_StockRepurchasedDuringPeriodValue,,,,,2415000000.0,14109000000.0
"Repurchase of common stock, shares",us-gaap_StockRepurchasedDuringPeriodShares,,,,,40000000.0,275000000.0
"Restricted stock unit withholdings, shares",us-gaap_SharesPaidForTaxWithholdingForShareBasedCompensation,17000000.0,21000000.0,16000000.0,12000000.0,6000000.0,8000000.0
Restricted stock unit withholdings,us-gaap_AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,423000000.0,631000000.0,533000000.0,486000000.0,420000000.0,494000000.0
Cash dividends declared,us-gaap_DividendsCommonStock,,1599000000.0,3088000000.0,5997000000.0,5644000000.0,5568000000.0
"APIC, Share-based Payment Arrangement, ESPP, Increase for Cost Recognition",us-gaap_AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,,,1044000000.0,1009000000.0,1022000000.0,1018000000.0
Net Income,us-gaap_NetIncomeLoss,,,,8014000000.0,19868000000.0,20899000000.0
