label,concept,2025-09-27,2025-06-28,2025-03-29,2024-09-28,2024-06-29,2024-03-30,2023-09-30,2023-07-01,2023-04-01,2022-10-01,2022-07-02,2022-04-02
Profit or Loss,us-gaap_ProfitLoss,4270000000.0,-3024000000.0,-887000000.0,-16989000000.0,-1654000000.0,-437000000.0,310000000.0,1473000000.0,-2768000000.0,,,
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTax,-46000000.0,551000000.0,225000000.0,511000000.0,-154000000.0,-327000000.0,-317000000.0,-125000000.0,143000000.0,-426000000.0,-623000000.0,-122000000.0
Net proceeds from stock issuances and warrants (in shares),intc_StockAndWarrantsIssuedDuringPeriodSharesNewIssues,362000000.0,,,,,,,,,,,
Net proceeds from stock issuances and warrants,intc_StockAndWarrantsIssuedDuringPeriodValueNewIssues,3758000000.0,,,,,,,,,,,
Net proceeds from sales of subsidiary shares and partner contributions,intc_NoncontrollingInterestIncreaseFromSaleOfParentEquityInterestAndSubsidiaryEquityIssuance,2336000000.0,,,,,,759000000.0,1958000000.0,,,,
Net proceeds from partner contributions,intc_NoncontrollingInterestIncreaseFromSaleOfParentEquityInterestAndSubsidiaryEquityIssuance,,1283000000.0,955000000.0,417000000.0,11438000000.0,423000000.0,,,,,,
Partner distributions,us-gaap_MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,68000000.0,33000000.0,58000000.0,,,,,,,,,
Employee equity incentive plans and other (in shares),us-gaap_StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,32000000.0,20000000.0,36000000.0,38000000.0,26000000.0,32000000.0,33000000.0,22000000.0,36000000.0,,,
Employee equity incentive plans and other,us-gaap_AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,286000000.0,0.0,491000000.0,355000000.0,5000000.0,626000000.0,372000000.0,6000000.0,659000000.0,399000000.0,12000000.0,589000000.0
Share-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,548000000.0,664000000.0,684000000.0,800000000.0,780000000.0,1179000000.0,772000000.0,922000000.0,739000000.0,793000000.0,892000000.0,707000000.0
Restricted stock unit withholdings (in shares),us-gaap_SharesPaidForTaxWithholdingForShareBasedCompensation,5000000.0,5000000.0,4000000.0,5000000.0,7000000.0,3000000.0,5000000.0,5000000.0,2000000.0,3000000.0,5000000.0,1000000.0
Restricted stock unit withholdings,us-gaap_AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,105000000.0,103000000.0,78000000.0,128000000.0,203000000.0,144000000.0,156000000.0,166000000.0,69000000.0,106000000.0,246000000.0,55000000.0
Cash dividends declared,us-gaap_DividendsCommonStock,,,,536000000.0,534000000.0,529000000.0,525000000.0,,2036000000.0,3012000000.0,1499000000.0,1487000000.0
Cash dividends declared (in dollars per share),us-gaap_CommonStockDividendsPerShareDeclared,,,,0.13,,,,,,,,
Net proceeds received from partner contributions,us-gaap_NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,,,,,,,,,449000000.0,,,
Employee equity incentive plans (in shares),intc_AdjustmentstoAdditionalPaidinCapitalSharebasedCompensationOtherLongtermIncentivePlansRequisiteServicePeriodRecognitionShares,,,,,,,,,,24000000.0,22000000.0,20000000.0
Repurchase of common stock,us-gaap_StockRepurchasedDuringPeriodValue,,,,,,,,,,,,0.0
Repurchase of common stock (in shares),us-gaap_StockRepurchasedDuringPeriodShares,,,,,,,,,,,,0.0
Net Income,us-gaap_NetIncomeLoss,,,,,,,,,,1019000000.0,-454000000.0,8113000000.0
