date,symbol,reportedCurrency,fiscalYear,period,cashAndCashEquivalents,totalAssets,totalEquity,totalDebt,netDebt
2025-08-31,LEVI,USD,2025,Q,612800000.0,6656400000.0,2162700000.0,1042800000.0,430000000.0
2025-06-01,LEVI,USD,2025,Q,653600000.0,6533200000.0,2090000000.0,1033700000.0,380100000.0
2025-03-02,LEVI,USD,2025,Q,574400000.0,6198200000.0,2034500000.0,987400000.0,413000000.0
2024-08-25,LEVI,USD,2024,Q,577100000.0,6253500000.0,1873100000.0,1020500000.0,443400000.0
2024-05-26,LEVI,USD,2024,Q,641400000.0,6185900000.0,1953700000.0,1006000000.0,364600000.0
2024-02-25,LEVI,USD,2024,Q,516700000.0,5961500000.0,1976100000.0,1006000000.0,489300000.0
2023-08-27,LEVI,USD,2023,Q,294500000.0,5874200000.0,1941400000.0,1004600000.0,710100000.0
2023-05-28,LEVI,USD,2023,Q,471600000.0,5891800000.0,1937700000.0,1000200000.0,528600000.0
2023-02-26,LEVI,USD,2023,Q,321800000.0,5873900000.0,1967500000.0,993600000.0,671800000.0
2022-08-28,LEVI,USD,2022,Q,498887000.0,5899198000.0,1828999000.0,963505000.0,464618000.0
2022-05-29,LEVI,USD,2022,Q,601870000.0,5737757000.0,1728332000.0,998484000.0,396614000.0
2022-02-27,LEVI,USD,2022,Q,678306000.0,5751751000.0,1723589000.0,1020499000.0,342193000.0
