label,concept,2025-11-30,2024-12-01,2023-11-26,2022-11-27,2021-11-28,2020-11-29
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,757900000.0,690000000.0,398800000.0,429600000.0,810266000.0,1497155000.0
Inventory,us-gaap_InventoryNet,1237700000.0,1239400000.0,1290100000.0,1416800000.0,897950000.0,817692000.0
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,681800000.0,698700000.0,680700000.0,622800000.0,502562000.0,454532000.0
Goodwill,us-gaap_Goodwill,280600000.0,277600000.0,303700000.0,365700000.0,386880000.0,264768000.0
Intangible Assets,us-gaap_IntangibleAssetsNetExcludingGoodwill,194400000.0,196600000.0,267600000.0,286700000.0,291332000.0,47426000.0
Accounts Payable,us-gaap_AccountsPayableCurrent,597600000.0,663400000.0,567900000.0,657200000.0,524838000.0,375450000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,774700000.0,710000000.0,752700000.0,697000000.0,707625000.0,540227000.0
Other Non Current Liabilities,us-gaap_OtherLiabilitiesNoncurrent,240200000.0,186400000.0,50300000.0,54600000.0,59407000.0,64267000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,538700000.0,464400000.0,400600000.0,339700000.0,332575000.0,261917000.0
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,238500000.0,211700000.0,196000000.0,213900000.0,202510000.0,174636000.0
Total Current Assets,us-gaap_AssetsCurrent,3153700000.0,2851100000.0,2637600000.0,2827900000.0,2709901000.0,3126241000.0
Short-term investments in marketable securities,us-gaap_ShortTermInvestments,90900000.0,,0.0,70600000.0,91550000.0,96531000.0
Current assets held for sale,us-gaap_AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,54000000.0,,,,,
Total Assets,us-gaap_Assets,6848800000.0,6375500000.0,6053600000.0,6037800000.0,5900069000.0,5641241000.0
"Operating lease right-of-use assets, net",us-gaap_OperatingLeaseRightOfUseAsset,1148200000.0,1088600000.0,1033900000.0,970000000.0,1103705000.0,988801000.0
Non-current assets held for sale,us-gaap_DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,21300000.0,,,,,
Deferred Tax Assets,us-gaap_DeferredIncomeTaxAssetsNet,830100000.0,798500000.0,729500000.0,625000000.0,573114000.0,
Total Current Liabilities,us-gaap_LiabilitiesCurrent,2032500000.0,2010500000.0,1787500000.0,1981600000.0,1869618000.0,1548882000.0
Accrued Liabilities,us-gaap_EmployeeRelatedLiabilitiesCurrent,703400000.0,666200000.0,569400000.0,662000000.0,575902000.0,477001000.0
Accrued sales returns and allowances,us-gaap_AccruedSalesCommissionCurrentAndNoncurrent,226100000.0,193400000.0,189800000.0,180000000.0,209364000.0,185868000.0
Short-term operating lease liabilities,us-gaap_OperatingLeaseLiabilityCurrent,260700000.0,253300000.0,245500000.0,235700000.0,245369000.0,237142000.0
Total Liabilities,us-gaap_Liabilities,4570200000.0,4405000000.0,4007200000.0,4134100000.0,4234408000.0,4341766000.0
Long-term operating lease liabilities,us-gaap_OperatingLeaseLiabilityNoncurrent,1005600000.0,960500000.0,913100000.0,859100000.0,969482000.0,858293000.0
Long-term employee related benefits,lvis_EmployeeRelatedLiabilitiesNoncurrent,252700000.0,110000000.0,102200000.0,104900000.0,108544000.0,94654000.0
Commitments and contingencies,us-gaap_CommitmentsAndContingencies,,,,,,
Postretirement medical benefits,us-gaap_OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,,30800000.0,33600000.0,36300000.0,51439000.0,60249000.0
Long Term Debt,us-gaap_LongTermDebtNoncurrent,1039200000.0,994000000.0,1009400000.0,984500000.0,1020700000.0,1546700000.0
Pension liabilities,us-gaap_DefinedBenefitPensionPlanLiabilitiesNoncurrent,,112800000.0,111100000.0,113100000.0,155218000.0,168721000.0
Accrued income taxes,us-gaap_AccruedIncomeTaxesCurrent,,,,,14477000.0,21986000.0
Short Term Debt,us-gaap_ShortTermBorrowings,,,,,5862000.0,17631000.0
Restructuring liabilities,us-gaap_RestructuringReserveCurrent,,,,,19106000.0,54723000.0
Minority Interest,us-gaap_MinorityInterest,,,,,,0.0
"Deferred tax assets, net",us-gaap_DeferredTaxAssetsNetNoncurrent,,,,,,497556000.0
Total Liabilities and Stockholders' Equity,us-gaap_LiabilitiesAndStockholdersEquity,6848800000.0,6375500000.0,6053600000.0,6037800000.0,5900069000.0,5641241000.0
Common Stock,us-gaap_CommonStockValue,400000.0,400000.0,400000.0,400000.0,400000.0,398000.0
Additional paid-in capital,us-gaap_AdditionalPaidInCapitalCommonStock,788100000.0,732600000.0,686700000.0,625600000.0,584774000.0,626243000.0
Retained Earnings,us-gaap_RetainedEarningsAccumulatedDeficit,1897300000.0,1672000000.0,1750200000.0,1699400000.0,1474874000.0,1114280000.0
Accumulated other comprehensive loss,lvis_AccumulatedOtherComprehensiveIncomeLossNetOfTaxAttributableToParent,-407200000.0,-434500000.0,-390900000.0,-421700000.0,-394387000.0,-441446000.0
Total Stockholders' Equity,us-gaap_StockholdersEquity,2278600000.0,1970500000.0,2046400000.0,1903700000.0,1665661000.0,1299475000.0
