label,concept,2025-11-30,2024-12-01,2023-11-26,2022-11-27,2021-11-28,2020-11-29
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,6282000000.0,6355300000.0,6179000000.0,6168600000.0,5763936000.0,4452609000.0
"Restructuring charges, net",us-gaap_RestructuringCharges,-24500000.0,-188700000.0,,,,
Restructuring Costs,us-gaap_RestructuringCosts,,,,-9100000.0,-8287000.0,90415000.0
Goodwill and other intangible asset impairment charges,us-gaap_GoodwillAndIntangibleAssetImpairment,2500000.0,116900000.0,90200000.0,,,
"Net income (loss) from discontinued operations, net of taxes",us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTax,76100000.0,,,,,
Loss on early extinguishment of debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,,,0.0,0.0,-36521000.0,
,,,,,,,
Continuing operations - Basic (usd per share),us-gaap_IncomeLossFromContinuingOperationsPerBasicShare,1.27,,,,,
Discontinued operations - Basic (usd per share),us-gaap_DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,0.19,,,,,
Continuing operations - Diluted (usd per share),us-gaap_IncomeLossFromContinuingOperationsPerDilutedShare,1.26,,,,,
Discontinued operations - Diluted (usd per share),us-gaap_DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,0.19,,,,,
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-2404200000.0,-2539400000.0,-2663300000.0,-2619800000.0,-2417225000.0,-2099685000.0
Gross Profit,us-gaap_GrossProfit,3877800000.0,3815900000.0,3515700000.0,3548800000.0,3346711000.0,2352924000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-3173200000.0,-3246200000.0,-3072200000.0,-2893200000.0,-2652213000.0,-2347628000.0
Operating Income,us-gaap_OperatingIncomeLoss,677600000.0,264100000.0,353300000.0,646500000.0,686211000.0,-85119000.0
Interest Expense,us-gaap_InterestExpense,,,-45900000.0,-25700000.0,-72902000.0,-82190000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-48600000.0,-41800000.0,,,,
"Other income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,5000000.0,,,28800000.0,3452000.0,
"Other (expense) income, net",us-gaap_OtherNonoperatingIncomeExpense,,-3300000.0,-42200000.0,,,-22474000.0
Underwriter commission paid on behalf of selling stockholders,us-gaap_ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,,,,,-0.0,-0.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,634000000.0,219000000.0,265200000.0,649600000.0,580240000.0,-189783000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,132000000.0,8400000.0,15600000.0,80500000.0,26699000.0,-62642000.0
Net Income from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,502000000.0,,,,,
Net Income,us-gaap_NetIncomeLoss,,,,,553541000.0,-127141000.0
Profit or Loss,us-gaap_ProfitLoss,578100000.0,210600000.0,249600000.0,569100000.0,553541000.0,-127141000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,,,,,-0.0,-0.0
,,,,,,,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,1.46,0.53,0.63,1.43,1.38,-0.32
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,1.45,0.52,0.62,1.41,1.35,-0.32
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,395524593.0,398233739.0,397208535.0,397341137.0,401634760.0,397315117.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,399749260.0,402368603.0,401723167.0,403844782.0,409778169.0,397315117.0
