label,concept,2025-08-31,2025-06-01,2025-03-02,2024-08-25,2024-05-26,2024-02-25,2023-08-27,2023-05-28,2023-02-26,2022-08-28,2022-05-29,2022-02-27
Profit or Loss,us-gaap_ProfitLoss,218100000.0,67000000.0,,20700000.0,18000000.0,-10600000.0,9600000.0,-1600000.0,114700000.0,172957000.0,49742000.0,195843000.0
Pension and postretirement benefits,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,1900000.0,1900000.0,1800000.0,2300000.0,2000000.0,2000000.0,18600000.0,2300000.0,2300000.0,2140000.0,2041000.0,2185000.0
Derivative instruments gains (losses),us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,-26600000.0,-79300000.0,,,,,,,,,,
Foreign currency translation gains (losses),us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,29000000.0,93100000.0,-6800000.0,,4500000.0,,14500000.0,19300000.0,28100000.0,,,
Unrealized gains (losses) on marketable securities,us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,200000.0,,,,,,100000.0,,700000.0,,,
"Total other comprehensive income (loss), before related income taxes",us-gaap_OtherComprehensiveIncomeLossBeforeTax,4500000.0,,9500000.0,,10500000.0,,18600000.0,,6300000.0,,17607000.0,
"Total other comprehensive loss, before related income taxes",us-gaap_OtherComprehensiveIncomeLossBeforeTax,,,,,,,,,,,,-19066000.0
Foreign currency translation (losses) gains,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-34300000.0,,-6300000.0,,,,,-14049000.0,-11089000.0
Unrealized gains on marketable securities,us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,,,0.0,0.0,0.0,,,,,,
"Total other comprehensive (loss) income, before related income taxes",us-gaap_OtherComprehensiveIncomeLossBeforeTax,,,,-44700000.0,,,,-5100000.0,,-7608000.0,,
Income tax benefit (expense) related to items of other comprehensive income,us-gaap_OtherComprehensiveIncomeLossTax,3300000.0,,,,,,,,,,,
Income tax expense related to items of other comprehensive income,us-gaap_OtherComprehensiveIncomeLossTax,,-1600000.0,,,,,,,,,,
Income tax benefit (expense) related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,,,-2200000.0,,,,,,,,,
Income tax benefit (expense) related to items of other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossTax,,,,900000.0,,,5000000.0,1900000.0,,,,
Income tax (expense) benefit related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,,,,,,,,,-3100000.0,,,
Income tax expense related to items of other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossTax,,,,,-1900000.0,,,,,,,
Income tax expense related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,,,,,,-1900000.0,,,,,,
Unrealized (losses) gains on marketable securities,us-gaap_OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,,,,,,,0.0,,-2938000.0,-4415000.0,-5994000.0
Income tax benefit related to items of other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossTax,,,,,,,,,,-7503000.0,,
Income tax expense related to items of other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossTax,,,,,,,,,,,,2079000.0
Income tax (benefit) expense related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,,,,,,,,,,,-415000.0,
"Comprehensive income (loss), net of taxes",us-gaap_ComprehensiveIncomeNetOfTax,225900000.0,,142300000.0,,26600000.0,,,,,,,
"Total other comprehensive income, before related income taxes",us-gaap_OtherComprehensiveIncomeLossBeforeTax,,15700000.0,,,,9500000.0,,,,,,
"Comprehensive income, net of taxes",us-gaap_ComprehensiveIncomeNetOfTax,,81100000.0,,,,,33200000.0,,,,,
"Comprehensive (loss) income, net of taxes",us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,-23100000.0,,-3000000.0,,,,,,
"Comprehensive income, net of income taxes",us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,117900000.0,157846000.0,66934000.0,178856000.0
Foreign currency translation losses,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,,-52441000.0,,
"Comprehensive (loss) income, net of income taxes",us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,-4800000.0,,,,
Net Income,us-gaap_NetIncomeLoss,,,135000000.0,,,,,,,,,
Derivative instruments,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,,,14500000.0,-12700000.0,4000000.0,13800000.0,-14600000.0,-26700000.0,-24800000.0,45631000.0,34030000.0,-4168000.0
