label,concept,2025-08-31,2025-06-01,2025-03-02,2024-08-25,2024-05-26,2024-02-25,2023-08-27,2023-05-28,2023-02-26,2022-08-28,2022-05-29,2022-02-27
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,1543400000.0,1446000000.0,1526800000.0,1516800000.0,1441200000.0,1557600000.0,1511000000.0,1336800000.0,1688900000.0,1517150000.0,1471149000.0,1591562000.0
"Restructuring charges, net",us-gaap_RestructuringCharges,-8600000.0,-6800000.0,-6700000.0,-3400000.0,-55100000.0,-116200000.0,,,,,,
Goodwill and other intangible asset impairment charges,us-gaap_GoodwillAndIntangibleAssetImpairment,0.0,,,,,,90200000.0,,,,,
"Net income (loss) from discontinued operations, net of taxes",us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTax,96100000.0,-12600000.0,-5200000.0,,,,,,,,,
Continuing operations - Basic (usd per share),us-gaap_IncomeLossFromContinuingOperationsPerBasicShare,0.31,0.2,0.35,,,,,,,,,
Discontinued operations - Basic (usd per share),us-gaap_DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,0.24,-0.03,-0.01,,,,,,,,,
Continuing operations - Diluted (usd per share),us-gaap_IncomeLossFromContinuingOperationsPerDilutedShare,0.31,0.2,0.35,,,,,,,,,
Discontinued operations - Diluted (usd per share),us-gaap_DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,0.24,-0.03,-0.01,,,,,,,,,
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-591800000.0,-540200000.0,-579200000.0,-606100000.0,-569500000.0,-651100000.0,-671500000.0,-552600000.0,-746600000.0,-654269000.0,-616126000.0,-647954000.0
Gross Profit,us-gaap_GrossProfit,951600000.0,905800000.0,947600000.0,910700000.0,871700000.0,906500000.0,839500000.0,784200000.0,942300000.0,862881000.0,855023000.0,943608000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-775600000.0,-791000000.0,-749300000.0,-765600000.0,-794700000.0,-790700000.0,-714500000.0,-774300000.0,-784900000.0,-663753000.0,-778857000.0,-709376000.0
Operating Income,us-gaap_OperatingIncomeLoss,167400000.0,108000000.0,191600000.0,30300000.0,21900000.0,-400000.0,34800000.0,9900000.0,157400000.0,199128000.0,76166000.0,234232000.0
Interest Expense,us-gaap_InterestExpense,-12500000.0,-11800000.0,-10900000.0,-10100000.0,-10300000.0,-10000000.0,-11500000.0,-13200000.0,-10700000.0,-7654000.0,-4360000.0,-4248000.0
"Other income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,1300000.0,6300000.0,,,400000.0,,,,,,6004000.0,
"Other income, net",us-gaap_OtherNonoperatingIncomeExpense,,,,,,,,,,,,15897000.0
"Other (expense) income, net",us-gaap_OtherNonoperatingIncomeExpense,,,,,,,-26700000.0,-3900000.0,-7500000.0,-5178000.0,,
"Other expense, net",us-gaap_OtherNonoperatingIncomeExpense,,,-4100000.0,-400000.0,,-2300000.0,,,,,,
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,156200000.0,102500000.0,176600000.0,19800000.0,12000000.0,-12700000.0,-3400000.0,-7200000.0,139200000.0,186296000.0,77810000.0,245881000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-34200000.0,-22900000.0,-36400000.0,900000.0,6000000.0,2100000.0,13000000.0,5600000.0,-24500000.0,-13339000.0,-28068000.0,-50038000.0
Net Income from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,122000000.0,79600000.0,140200000.0,,,,,,,,,
Net Income,us-gaap_NetIncomeLoss,,,135000000.0,,,,,,,,,
Profit or Loss,us-gaap_ProfitLoss,218100000.0,67000000.0,,20700000.0,18000000.0,-10600000.0,9600000.0,-1600000.0,114700000.0,172957000.0,49742000.0,195843000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.55,0.17,0.34,0.05,0.05,-0.03,0.02,0.0,0.29,0.44,0.13,0.49
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.55,0.17,0.34,0.05,0.04,-0.03,0.02,-0.0,0.29,0.43,0.12,0.48
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,395659040.0,396411904.0,396576662.0,398187049.0,398799458.0,398941172.0,397767394.0,397455261.0,395956182.0,397114612.0,397882576.0,399445106.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,399529649.0,399048949.0,400046382.0,402398064.0,402907212.0,398941172.0,400992735.0,397455261.0,400360529.0,402917852.0,403782416.0,407017092.0
Loss on early extinguishment of debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,-0.0,-0.0,
