label,concept,2025-08-31,2025-06-01,2025-03-02,2024-08-25,2024-05-26,2024-02-25,2023-08-27,2023-05-28,2023-02-26,2022-08-28,2022-05-29,2022-02-27
Profit or Loss,us-gaap_ProfitLoss,218100000.0,67000000.0,135000000.0,20700000.0,18000000.0,-10600000.0,9600000.0,-1600000.0,114700000.0,172957000.0,49742000.0,195843000.0
"Other comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,7800000.0,14100000.0,7300000.0,-43800000.0,8600000.0,,,,,,,
"Other comprehensive income/loss, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,,7600000.0,23600000.0,-3200000.0,3200000.0,-15111000.0,17192000.0,-16987000.0
"Stock-based compensation and dividends, net (in shares)",us-gaap_StockIssuedDuringPeriodSharesShareBasedCompensation,100000.0,200000.0,1400000.0,100000.0,100000.0,2100000.0,,,,,,
"Stock-based compensation and dividends, net",us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,23600000.0,24900000.0,19300000.0,12500000.0,16900000.0,18600000.0,18000000.0,20800000.0,17600000.0,15117000.0,16653000.0,14090000.0
Employee stock purchase plan (in shares),us-gaap_StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,,,,,
Employee stock purchase plan,us-gaap_StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,1900000.0,1600000.0,2100000.0,2000000.0,1900000.0,2300000.0,2400000.0,2200000.0,2600000.0,2473000.0,2200000.0,2273000.0
Shares repurchased and retired aggregate cost,us-gaap_StockRepurchasedAndRetiredDuringPeriodValue,120900000.0,,,,,,,,,,,
Shares repurchased and retired (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,5000000.0,,,,,,,,,,,
Shares repurchased (in shares),us-gaap_StockRepurchasedDuringPeriodShares,,0.0,1600000.0,1000000.0,800000.0,1500000.0,,,,,,
Repurchase of common stock,us-gaap_TreasuryStockValueAcquiredParValueMethod,,500000.0,30000000.0,17800000.0,17000000.0,25000000.0,,,8100000.0,26420000.0,40040000.0,71602000.0
Tax withholdings on equity awards,us-gaap_AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2400000.0,200000.0,18300000.0,2700000.0,3100000.0,15300000.0,2200000.0,400000.0,18600000.0,850000.0,1336000.0,25825000.0
Cash dividends declared (in usd per share),us-gaap_DividendsCommonStockCash,55400000.0,51400000.0,51400000.0,51500000.0,47700000.0,47900000.0,47700000.0,47600000.0,47600000.0,47499000.0,39668000.0,39864000.0
