date,symbol,reportedCurrency,fiscalYear,period,revenue,grossProfit,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,weightedAverageShsOut,weightedAverageShsOutDil,ebitda
2025-08-31,LEVI,USD,2025,Q,1543400000.0,951600000.0,167400000.0,156200000.0,-34200000.0,,395659040.0,399529649.0,167400000.0
2025-06-01,LEVI,USD,2025,Q,1446000000.0,905800000.0,108000000.0,102500000.0,-22900000.0,,396411904.0,399048949.0,108000000.0
2025-03-02,LEVI,USD,2025,Q,1526800000.0,947600000.0,191600000.0,176600000.0,-36400000.0,135000000.0,396576662.0,400046382.0,240800000.0
2024-08-25,LEVI,USD,2024,Q,1516800000.0,910700000.0,30300000.0,19800000.0,900000.0,,398187049.0,402398064.0,30300000.0
2024-05-26,LEVI,USD,2024,Q,1441200000.0,871700000.0,21900000.0,12000000.0,6000000.0,,398799458.0,402907212.0,21900000.0
2024-02-25,LEVI,USD,2024,Q,1557600000.0,906500000.0,-400000.0,-12700000.0,2100000.0,,398941172.0,398941172.0,44200000.0
2023-08-27,LEVI,USD,2023,Q,1511000000.0,839500000.0,34800000.0,-3400000.0,13000000.0,,397767394.0,400992735.0,34800000.0
2023-05-28,LEVI,USD,2023,Q,1336800000.0,784200000.0,9900000.0,-7200000.0,5600000.0,,397455261.0,397455261.0,9900000.0
2023-02-26,LEVI,USD,2023,Q,1688900000.0,942300000.0,157400000.0,139200000.0,-24500000.0,,395956182.0,400360529.0,197000000.0
2022-08-28,LEVI,USD,2022,Q,1517150000.0,862881000.0,199128000.0,186296000.0,-13339000.0,,397114612.0,402917852.0,199128000.0
2022-05-29,LEVI,USD,2022,Q,1471149000.0,855023000.0,76166000.0,77810000.0,-28068000.0,,397882576.0,403782416.0,76166000.0
2022-02-27,LEVI,USD,2022,Q,1591562000.0,943608000.0,234232000.0,245881000.0,-50038000.0,,399445106.0,407017092.0,273165000.0
