date,symbol,reportedCurrency,fiscalYear,period,operatingCashFlow,capitalExpenditure,depreciationAndAmortization,freeCashFlow
2025-09-30,NFLX,USD,2025,Q,2825174000.0,-164719000.0,87326000.0,2660455000.0
2025-06-30,NFLX,USD,2025,Q,2423258000.0,-155889000.0,80013000.0,2267369000.0
2025-03-31,NFLX,USD,2025,Q,2789199000.0,-128277000.0,80067000.0,2660922000.0
2024-09-30,NFLX,USD,2024,Q,2321101000.0,-126863000.0,80914000.0,2194238000.0
2024-06-30,NFLX,USD,2024,Q,1290847000.0,-78287000.0,81227000.0,1212560000.0
2024-03-31,NFLX,USD,2024,Q,2212522000.0,-75714000.0,87234000.0,2136808000.0
2023-09-30,NFLX,USD,2023,Q,1992315000.0,-103929000.0,90660000.0,1888386000.0
2023-06-30,NFLX,USD,2023,Q,1440232000.0,-100972000.0,89385000.0,1339260000.0
2023-03-31,NFLX,USD,2023,Q,2178740000.0,-62019000.0,90335000.0,2116721000.0
2022-09-30,NFLX,USD,2022,Q,556810000.0,-84960000.0,85188000.0,471850000.0
2022-06-30,NFLX,USD,2022,Q,102750000.0,-90018000.0,83505000.0,12732000.0
2022-03-31,NFLX,USD,2022,Q,922839000.0,-121158000.0,74602000.0,801681000.0
