label,concept,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Net Income,us-gaap_NetIncomeLoss,10981201000.0,8711631000.0,5407990000.0,4491924000.0,5116228000.0,2761395000.0
"Foreign currency translation adjustments, net of income tax benefit (expense) of $33 million, $(7) million, and $0, respectively",us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,72011000.0,,,,,
"Net change in unrealized gains (losses) on available-for-sale securities, net of income tax benefit (expense) of $1 million, $(1) million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,-2511000.0,,,,,
Net unrealized gains (losses),us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,-1071168000.0,921227000.0,,,,
Reclassification of net (gains) losses included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,68962000.0,,,,,
"Net change, net of income tax benefit (expense) of $301 million, $(246) million, and $36 million, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,-1002206000.0,,,,,
"Net change in unrealized gains (losses) excluded from the assessment of effectiveness, net of income tax benefit (expense) of $3 million, $(2) million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossFinancialLiabilityFairValueOptionAfterTaxAndReclassificationAdjustmentAttributableToParent,-9838000.0,,,,,
Total other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-942544000.0,586107000.0,,,,
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,10038657000.0,9297738000.0,5401351000.0,4315113000.0,5031335000.0,2829314000.0
"Change in unrealized gains on available-for-sale securities, net of income tax (expense) benefit of $(1) million, $0, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,2511000.0,,,,
Reclassification of net gains included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,,-96795000.0,,,,
"Net change, net of income tax (expense) benefit of $(246) million, $36 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,824432000.0,,,,
"Net unrealized gains excluded from the assessment of effectiveness, net of income tax (expense) benefit of $(2) million, $0, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossFinancialLiabilityFairValueOptionAfterTaxAndReclassificationAdjustmentAttributableToParent,,7113000.0,,,,
Total other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-6639000.0,,,
Foreign currency translation adjustments,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,113384000.0,-176811000.0,-84893000.0,67919000.0
"Net unrealized gains (losses), net of tax benefit (expense) of $36 million, $0, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,,-120023000.0,,,
"Foreign currency translation adjustments, net of income tax (expense) benefit of $(7) million, $0, and $0, respectively",us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,-247949000.0,,,,
