label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Net Income,us-gaap_NetIncomeLoss,2546916000.0,3125413000.0,2890351000.0,2363509000.0,2147306000.0,2332209000.0,1677422000.0,1487610000.0,1305120000.0,1398242000.0,1440951000.0,1597447000.0
"Foreign currency translation adjustments, net of income tax benefit of $0.5 million, $10 million, $32 million, and $10 million, respectively",us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-51361000.0,,,,,,,,,,,
"Net change in unrealized gains (losses) on available-for-sale securities, net of income tax benefit (expense) of $0 million, $(1) million, $1 million, and $(1) million, respectively",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,0.0,,,,,,,,,,,
Net unrealized gains (losses),us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,141622000.0,-941572000.0,-375172000.0,-285013000.0,,,,,,,,
Reclassification of net (gains) losses included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,98391000.0,28537000.0,-125161000.0,,,,,,,,,
"Net change, net of income tax benefit (expense) of $(72) million, $96 million, $350 million, and $12 million, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,240013000.0,,,,,,,,,,,
"Net change in unrealized gains (losses) excluded from the assessment of effectiveness, net of income tax benefit of $1 million, $0.3 million, $3 million, and $0.3 million, respectively",us-gaap_OtherComprehensiveIncomeLossFinancialLiabilityFairValueOptionAfterTaxAndReclassificationAdjustmentAttributableToParent,-3240000.0,,,,,,,,,,,
Total other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,185412000.0,-818933000.0,-447897000.0,-255508000.0,,,-16305000.0,,,,,
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,2732328000.0,2306480000.0,2442454000.0,2108001000.0,2170071000.0,2444275000.0,1661117000.0,1540039000.0,1330731000.0,1295075000.0,1370645000.0,1563772000.0
"Foreign currency translation adjustments, net of income tax benefit of $21 million, $1 million, $32 million, and $1 million, respectively",us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,97341000.0,,,,,,,,,,
"Foreign currency translation adjustments, net of income tax benefit of $10 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,56915000.0,,,,,,,,,
"Foreign currency translation adjustments, net of income tax benefit of $10 million, $0, $10 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,63432000.0,,,,,,,,
"Change in unrealized gains on available-for-sale securities, net of income tax expense of $1 million, $0, $1 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,4290000.0,,,,,,,,
Reclassification of net gains included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,,,,-37365000.0,-25722000.0,,,,,,,
"Net change, net of income tax benefit (expense) of $96 million, $(23) million, $12 million, and $(23) million, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,,,-322378000.0,,,,,,,,
"Net unrealized losses excluded from the assessment of effectiveness, net of income tax benefit of $0.3 million, $0, $0.3 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossFinancialLiabilityFairValueOptionAfterTaxAndReclassificationAdjustmentAttributableToParent,,,,-852000.0,,,,,,,,
"Net change in unrealized gains (losses) on available-for-sale securities, net of income tax benefit of $1 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,-1812000.0,,,,,,,,,
"Net change, net of income tax benefit (expense) of $149 million, and $(55) million, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,,-500333000.0,,,,,,,,,
"Net change in unrealized gains (losses) excluded from the assessment of effectiveness, net of income tax benefit of $1 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossFinancialLiabilityFairValueOptionAfterTaxAndReclassificationAdjustmentAttributableToParent,,,-2667000.0,,,,,,,,,
"Net change in unrealized gains (losses) on available-for-sale securities, net of income tax benefit of $0.2 million, $0, $1 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,-699000.0,,,,,,,,,,
"Net change, net of income tax benefit (expense) of $272 million, $(29) million, $421 million, and $(84) million, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,-913035000.0,,,,,,,,,,
"Net change in unrealized gains (losses) excluded from the assessment of effectiveness, net of income tax benefit of $1 million, $0, $2 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossFinancialLiabilityFairValueOptionAfterTaxAndReclassificationAdjustmentAttributableToParent,,-2540000.0,,,,,,,,,,
"Net change, net of income tax expense of $29 million, $0, $84 million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,,,,98011000.0,,,,,,,
Reclassification of net losses included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationAfterTax,,,,,,8514000.0,,,,,,
"Net change, net of income tax expense of $55 million and $0, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,,,,,185118000.0,,,,,,
"Net unrealized gains (losses), net of tax effect of $(23) million, $0, $(23) million, and $0, respectively",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTaxParent,,,,,,,77852000.0,,,,,
Foreign currency translation adjustments,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,,-75246000.0,-73052000.0,-94157000.0,52429000.0,25611000.0,-103167000.0,-70306000.0,-33675000.0
Net unrealized gains,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAfterTax,,,,,123733000.0,176604000.0,,,,,,
Total other comprehensive income,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,22765000.0,112066000.0,,,,,,
