label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Revenue,us-gaap_Revenues,11510307000.0,11079166000.0,10542801000.0,9824703000.0,9559310000.0,9370440000.0,8541668000.0,8187301000.0,8161503000.0,7925589000.0,7970141000.0,7867767000.0
Total Cost of Revenue,us-gaap_CostOfRevenue,-6164250000.0,-5325311000.0,-5263147000.0,-5119884000.0,-5174143000.0,-4977073000.0,-4930788000.0,-4673470000.0,-4803625000.0,-4788665000.0,-4690755000.0,-4284705000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,-853584000.0,-824683000.0,-822823000.0,-735063000.0,-711254000.0,-702473000.0,-657159000.0,-657983000.0,-687275000.0,-662739000.0,-716846000.0,-657530000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,-457931000.0,-441213000.0,-421462000.0,-417353000.0,-426992000.0,-404020000.0,-478591000.0,-401497000.0,-400924000.0,-373213000.0,-409297000.0,-397928000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,-786295000.0,-713265000.0,-688370000.0,,,,,,,,,
Marketing Expense,us-gaap_MarketingExpense,,,,-642926000.0,-644084000.0,-654340000.0,-558736000.0,-627168000.0,-555362000.0,-567954000.0,-574960000.0,-555978000.0
Operating Income,us-gaap_OperatingIncomeLoss,3248247000.0,3774694000.0,3346999000.0,2909477000.0,2602837000.0,2632534000.0,1916394000.0,1827183000.0,1714317000.0,1533018000.0,1578283000.0,1971626000.0
Interest Expense,us-gaap_InterestExpense,,,,-184830000.0,-167986000.0,-173314000.0,-175563000.0,-174812000.0,-174239000.0,-172575000.0,-175455000.0,-187579000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-175294000.0,-182649000.0,-184172000.0,,,,,,,,,
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,36457000.0,39630000.0,50899000.0,-21693000.0,79005000.0,155359000.0,168218000.0,26961000.0,-71204000.0,261404000.0,220226000.0,195645000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,3109410000.0,3631675000.0,3213726000.0,2702954000.0,2513856000.0,2614579000.0,1909049000.0,1679332000.0,1468874000.0,1621847000.0,1623054000.0,1979692000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-562494000.0,-506262000.0,-323375000.0,-339445000.0,-366550000.0,-282370000.0,-231627000.0,-191722000.0,-163754000.0,-223605000.0,-182103000.0,-382245000.0
Net Income,us-gaap_NetIncomeLoss,2546916000.0,3125413000.0,2890351000.0,2363509000.0,2147306000.0,2332209000.0,1677422000.0,1487610000.0,1305120000.0,1398242000.0,1440951000.0,1597447000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,6.0,7.35,6.76,5.52,4.99,5.4,3.8,3.35,2.93,3.14,3.24,3.6
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,5.87,7.19,6.61,5.4,4.88,5.28,3.73,3.29,2.88,3.1,3.2,3.53
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,424455000.0,425211000.0,427270000.0,428239000.0,430065000.0,432090000.0,441537000.0,443881000.0,445244000.0,444878000.0,444557000.0,444146000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,434039000.0,434883000.0,436962000.0,437898000.0,439739000.0,441654000.0,450011000.0,451572000.0,452417000.0,450344000.0,450169000.0,452984000.0
