date,symbol,reportedCurrency,fiscalYear,period,revenue,grossProfit,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,weightedAverageShsOut,weightedAverageShsOutDil,ebitda
2025-09-30,NFLX,USD,2025,Q,11510307000.0,,3248247000.0,3109410000.0,-562494000.0,2546916000.0,424455000.0,434039000.0,3335573000.0
2025-06-30,NFLX,USD,2025,Q,11079166000.0,,3774694000.0,3631675000.0,-506262000.0,3125413000.0,425211000.0,434883000.0,3854707000.0
2025-03-31,NFLX,USD,2025,Q,10542801000.0,,3346999000.0,3213726000.0,-323375000.0,2890351000.0,427270000.0,436962000.0,3427066000.0
2024-09-30,NFLX,USD,2024,Q,9824703000.0,,2909477000.0,2702954000.0,-339445000.0,2363509000.0,428239000.0,437898000.0,2990391000.0
2024-06-30,NFLX,USD,2024,Q,9559310000.0,,2602837000.0,2513856000.0,-366550000.0,2147306000.0,430065000.0,439739000.0,2684064000.0
2024-03-31,NFLX,USD,2024,Q,9370440000.0,,2632534000.0,2614579000.0,-282370000.0,2332209000.0,432090000.0,441654000.0,2719768000.0
2023-09-30,NFLX,USD,2023,Q,8541668000.0,,1916394000.0,1909049000.0,-231627000.0,1677422000.0,441537000.0,450011000.0,2007054000.0
2023-06-30,NFLX,USD,2023,Q,8187301000.0,,1827183000.0,1679332000.0,-191722000.0,1487610000.0,443881000.0,451572000.0,1916568000.0
2023-03-31,NFLX,USD,2023,Q,8161503000.0,,1714317000.0,1468874000.0,-163754000.0,1305120000.0,445244000.0,452417000.0,1804652000.0
2022-09-30,NFLX,USD,2022,Q,7925589000.0,,1533018000.0,1621847000.0,-223605000.0,1398242000.0,444878000.0,450344000.0,1618206000.0
2022-06-30,NFLX,USD,2022,Q,7970141000.0,,1578283000.0,1623054000.0,-182103000.0,1440951000.0,444557000.0,450169000.0,1661788000.0
2022-03-31,NFLX,USD,2022,Q,7867767000.0,,1971626000.0,1979692000.0,-382245000.0,1597447000.0,444146000.0,452984000.0,2046228000.0
