,concept,label,2025-12-27,2024-12-28,level,abstract,dimension
0,us-gaap_AssetsAbstract,ASSETS,,,3,False,False
1,us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and Cash Equivalents,9159000000.0,8505000000.0,4,False,False
2,us-gaap_ShortTermInvestments,Short-term Investments,371000000.0,761000000.0,4,False,False
3,us-gaap_AccountsNotesAndLoansReceivableNetCurrent,"Accounts and notes receivable, net",11506000000.0,10333000000.0,4,False,False
4,us-gaap_InventoryNet,Inventory,5845000000.0,5306000000.0,4,False,False
5,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,Prepaid Expenses,1068000000.0,921000000.0,4,False,False
6,us-gaap_AssetsCurrent,Total Current Assets,27949000000.0,25826000000.0,4,False,False
7,us-gaap_PropertyPlantAndEquipmentNet,"Property, Plant and Equipment",29905000000.0,28008000000.0,4,False,False
8,us-gaap_FiniteLivedIntangibleAssetsNet,Intangible Assets,1219000000.0,1102000000.0,4,False,False
9,us-gaap_Goodwill,Goodwill,18916000000.0,17534000000.0,4,False,False
10,us-gaap_IndefiniteLivedIntangibleAssetsExcludingGoodwill,Indefinite-lived Intangible Assets (Excluding Goodwill),13847000000.0,13699000000.0,4,False,False
11,us-gaap_EquityMethodInvestments,Equity Method Investments,2038000000.0,1985000000.0,4,False,False
12,us-gaap_DeferredIncomeTaxAssetsNet,Deferred Tax Assets,4541000000.0,4362000000.0,4,False,False
13,us-gaap_OtherAssetsNoncurrent,Other Non Current Assets,8984000000.0,6951000000.0,4,False,False
14,us-gaap_Assets,Total Assets,107399000000.0,99467000000.0,4,False,False
15,us-gaap_LiabilitiesAndStockholdersEquityAbstract,LIABILITIES AND EQUITY,,,3,False,False
16,us-gaap_DebtCurrent,Short Term Debt,6861000000.0,7082000000.0,4,False,False
17,us-gaap_AccountsPayableAndAccruedLiabilitiesCurrent,Accounts payable and other current liabilities,25903000000.0,24454000000.0,4,False,False
18,us-gaap_LiabilitiesCurrent,Total Current Liabilities,32764000000.0,31536000000.0,4,False,False
19,us-gaap_LongTermDebtNoncurrent,Long Term Debt,42321000000.0,37224000000.0,4,False,False
20,us-gaap_DeferredIncomeTaxLiabilitiesNet,"Deferred Income Tax Liabilities, Net",3802000000.0,3484000000.0,4,False,False
21,us-gaap_OtherLiabilitiesNoncurrent,Other Non Current Liabilities,7965000000.0,9052000000.0,4,False,False
22,us-gaap_Liabilities,Total Liabilities,86852000000.0,81296000000.0,4,False,False
23,us-gaap_CommitmentsAndContingencies,Commitments and contingencies,,,4,False,False
24,us-gaap_CommonStockSharesAuthorized,"Common stock, authorized",3600000000.0,3600000000.0,4,False,False
25,us-gaap_CommonStockSharesIssued,Common Stock Shares Issued,1367000000.0,1372000000.0,4,False,False
26,us-gaap_StockholdersEquityAbstract,PepsiCo Common Shareholders’ Equity,,,4,False,False
27,us-gaap_CommonStockValue,Common Stock,23000000.0,23000000.0,5,False,False
28,us-gaap_AdditionalPaidInCapitalCommonStock,"Additional Paid in Capital, Common Stock",4451000000.0,4385000000.0,5,False,False
29,us-gaap_RetainedEarningsAccumulatedDeficit,Retained Earnings,72788000000.0,72266000000.0,5,False,False
30,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,Accumulated Other Comprehensive Income/Loss,-15024000000.0,-17612000000.0,5,False,False
31,us-gaap_TreasuryStockCommonShares,"Treasury Stock, Common, Shares",500000000.0,495000000.0,5,False,False
32,us-gaap_TreasuryStockValue,Treasury Stock Common Value,-41832000000.0,-41021000000.0,5,False,False
33,us-gaap_StockholdersEquity,Total Stockholders' Equity,20406000000.0,18041000000.0,5,False,False
34,us-gaap_MinorityInterest,Minority Interest,141000000.0,130000000.0,5,False,False
35,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Total Stockholders' Equity,20547000000.0,18171000000.0,5,False,False
36,us-gaap_LiabilitiesAndStockholdersEquity,Total Liabilities and Stockholders' Equity,107399000000.0,99467000000.0,3,False,False
37,us-gaap_OtherInvestments,Other Investments,2526000000.0,1346000000.0,3,False,False
38,us-gaap_OperatingLeaseRightOfUseAssetStatementOfFinancialPositionExtensibleList,"Operating Lease, Right-of-Use Asset, Statement of Financial Position [Extensible Enumeration]",http://fasb.org/us-gaap/2025#OtherAssetsNoncurrent,http://fasb.org/us-gaap/2025#OtherAssetsNoncurrent,3,False,False
39,us-gaap_AllowanceForDoubtfulAccountsReceivableCurrent,"Accounts Receivable, Allowance for Credit Loss, Current",-230000000.0,-356000000.0,3,False,False
