label,concept,2025-09-06,2025-06-14,2025-03-22,2024-09-07,2024-06-15,2024-03-23,2023-09-09,2023-06-17,2023-03-25,2022-09-03,2022-06-11,2022-03-19
Profit or Loss,us-gaap_ProfitLoss,2618000000.0,1279000000.0,1843000000.0,2945000000.0,3094000000.0,2053000000.0,3116000000.0,2771000000.0,1944000000.0,2724000000.0,1446000000.0,4273000000.0
Net currency translation adjustment,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,39000000.0,961000000.0,436000000.0,-512000000.0,-267000000.0,-182000000.0,2000000.0,-198000000.0,-235000000.0,-324000000.0,1274000000.0,-560000000.0
Net change on cash flow hedges,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,23000000.0,-18000000.0,22000000.0,-24000000.0,42000000.0,3000000.0,-11000000.0,24000000.0,-59000000.0,-113000000.0,-102000000.0,106000000.0
Net pension and retiree medical adjustments,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,21000000.0,-19000000.0,10000000.0,21000000.0,9000000.0,11000000.0,-8000000.0,-6000000.0,-4000000.0,108000000.0,-250000000.0,13000000.0
Net change on available-for-sale debt securities and other,us-gaap_OtherComprehensiveIncomeOtherNetOfTax,410000000.0,64000000.0,66000000.0,-351000000.0,-391000000.0,523000000.0,,,,,,
"Other comprehensive income/(loss), net of taxes:",us-gaap_OtherComprehensiveIncomeLossNetOfTax,493000000.0,988000000.0,,,,355000000.0,,,,,,
"Other comprehensive loss, net of taxes:",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,-866000000.0,-607000000.0,,,,-299000000.0,,,
"Other comprehensive (loss)/income, net of taxes:",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,,,-14000000.0,-179000000.0,,-327000000.0,,-445000000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,3111000000.0,2267000000.0,2377000000.0,2079000000.0,2487000000.0,2408000000.0,3102000000.0,2592000000.0,1645000000.0,2397000000.0,2373000000.0,3828000000.0
"Other comprehensive income, net of taxes:",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,534000000.0,,,,,,,,927000000.0,
Less: Comprehensive income attributable to noncontrolling interests,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-15000000.0,-16000000.0,-9000000.0,-15000000.0,-11000000.0,-11000000.0,-24000000.0,-23000000.0,-12000000.0,-22000000.0,-17000000.0,-12000000.0
Comprehensive Income Attributable to PepsiCo,us-gaap_ComprehensiveIncomeNetOfTax,3096000000.0,2251000000.0,2368000000.0,2064000000.0,2476000000.0,2397000000.0,3078000000.0,2569000000.0,1633000000.0,2375000000.0,2356000000.0,3816000000.0
Other,us-gaap_OtherComprehensiveIncomeOtherNetOfTax,,,,,,,3000000.0,1000000.0,-1000000.0,2000000.0,5000000.0,-4000000.0
