label,concept,2025-09-06,2025-06-14,2025-03-22,2024-09-07,2024-06-15,2024-03-23,2023-09-09,2023-06-17,2023-03-25,2022-09-03,2022-06-11,2022-03-19
Revenue,us-gaap_Revenues,23937000000.0,22726000000.0,17919000000.0,23319000000.0,22501000000.0,18250000000.0,23453000000.0,22322000000.0,17846000000.0,21971000000.0,20225000000.0,16200000000.0
Impairment of Intangible Assets (Excluding Goodwill),us-gaap_ImpairmentOfIntangibleAssetsExcludingGoodwill,-133000000.0,-1860000000.0,,,,,-6000000.0,-0.0,-0.0,-1000000.0,-1359000000.0,
Other pension and retiree medical benefits income,us-gaap_NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,26000000.0,,23000000.0,41000000.0,56000000.0,58000000.0,62000000.0,,61000000.0,36000000.0,,134000000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-11113000000.0,-10304000000.0,-7926000000.0,-10396000000.0,-9919000000.0,-8248000000.0,-10675000000.0,-10121000000.0,-7988000000.0,-10308000000.0,-9415000000.0,-7433000000.0
Gross Profit,us-gaap_GrossProfit,12824000000.0,12422000000.0,9993000000.0,12923000000.0,12582000000.0,10002000000.0,12778000000.0,12201000000.0,9858000000.0,11663000000.0,10810000000.0,8767000000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,-9122000000.0,-8773000000.0,-7410000000.0,-9051000000.0,-8534000000.0,-7285000000.0,-8757000000.0,-8542000000.0,-7229000000.0,-8295000000.0,-7387000000.0,-6822000000.0
Operating Income,us-gaap_OperatingIncomeLoss,3569000000.0,1789000000.0,2583000000.0,3872000000.0,4048000000.0,2717000000.0,4015000000.0,3659000000.0,2629000000.0,3353000000.0,2077000000.0,5267000000.0
Interest Expense,us-gaap_InterestExpense,-264000000.0,-260000000.0,-264000000.0,-219000000.0,-234000000.0,-202000000.0,-201000000.0,-201000000.0,-200000000.0,-190000000.0,-236000000.0,-240000000.0
Other pension and retiree medical benefits (expense)/income,us-gaap_NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,,,,,,,,,,,-2000000.0,
Other pension and retiree medical benefits income/(expense),us-gaap_NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,,,,,,,,60000000.0,,,,
"Net Periodic Defined Benefits Expense (Reversal of Expense), Excluding Service Cost Component",us-gaap_NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,,42000000.0,,,,,,,,,,
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,3331000000.0,1571000000.0,2342000000.0,3694000000.0,3870000000.0,2573000000.0,3876000000.0,3518000000.0,2490000000.0,3199000000.0,1839000000.0,5161000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-713000000.0,-292000000.0,-499000000.0,-749000000.0,-776000000.0,-520000000.0,-760000000.0,-747000000.0,-546000000.0,-475000000.0,-393000000.0,-888000000.0
Net Income,us-gaap_NetIncomeLoss,2603000000.0,1263000000.0,1834000000.0,2930000000.0,3083000000.0,2042000000.0,3092000000.0,2748000000.0,1932000000.0,2702000000.0,1429000000.0,4261000000.0
Profit or Loss,us-gaap_ProfitLoss,2618000000.0,1279000000.0,1843000000.0,2945000000.0,3094000000.0,2053000000.0,3116000000.0,2771000000.0,1944000000.0,2724000000.0,1446000000.0,4273000000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-15000000.0,-16000000.0,-9000000.0,-15000000.0,-11000000.0,-11000000.0,-24000000.0,-23000000.0,-12000000.0,-22000000.0,-17000000.0,-12000000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,1.9,0.92,1.34,2.13,2.24,1.49,2.25,1.99,1.4,1.96,1.03,3.08
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,1.9,0.92,1.33,2.13,2.23,1.48,2.24,1.99,1.4,1.95,1.03,3.06
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,1369000000.0,1371000000.0,1372000000.0,1373000000.0,1375000000.0,1375000000.0,1376000000.0,1378000000.0,1378000000.0,1380000000.0,1382000000.0,1383000000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,1372000000.0,1373000000.0,1376000000.0,1378000000.0,1379000000.0,1380000000.0,1383000000.0,1384000000.0,1384000000.0,1387000000.0,1389000000.0,1391000000.0
Gain associated with the Juice Transaction,us-gaap_GainLossOnSaleOfBusiness,,,,,,,-0.0,-0.0,-0.0,14000000.0,-13000000.0,-3322000000.0
