date,symbol,reportedCurrency,fiscalYear,period,revenue,grossProfit,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,weightedAverageShsOut,weightedAverageShsOutDil,ebitda
2025-09-06,PEP,USD,2025,Q,23937000000.0,12824000000.0,3569000000.0,3331000000.0,-713000000.0,2603000000.0,1369000000.0,1372000000.0,3569000000.0
2025-06-14,PEP,USD,2025,Q,22726000000.0,12422000000.0,1789000000.0,1571000000.0,-292000000.0,1263000000.0,1371000000.0,1373000000.0,1789000000.0
2025-03-22,PEP,USD,2025,Q,17919000000.0,9993000000.0,2583000000.0,2342000000.0,-499000000.0,1834000000.0,1372000000.0,1376000000.0,3267000000.0
2024-09-07,PEP,USD,2024,Q,23319000000.0,12923000000.0,3872000000.0,3694000000.0,-749000000.0,2930000000.0,1373000000.0,1378000000.0,3872000000.0
2024-06-15,PEP,USD,2024,Q,22501000000.0,12582000000.0,4048000000.0,3870000000.0,-776000000.0,3083000000.0,1375000000.0,1379000000.0,4048000000.0
2024-03-23,PEP,USD,2024,Q,18250000000.0,10002000000.0,2717000000.0,2573000000.0,-520000000.0,2042000000.0,1375000000.0,1380000000.0,3358000000.0
2023-09-09,PEP,USD,2023,Q,23453000000.0,12778000000.0,4015000000.0,3876000000.0,-760000000.0,3092000000.0,1376000000.0,1383000000.0,4015000000.0
2023-06-17,PEP,USD,2023,Q,22322000000.0,12201000000.0,3659000000.0,3518000000.0,-747000000.0,2748000000.0,1378000000.0,1384000000.0,3659000000.0
2023-03-25,PEP,USD,2023,Q,17846000000.0,9858000000.0,2629000000.0,2490000000.0,-546000000.0,1932000000.0,1378000000.0,1384000000.0,3219000000.0
2022-09-03,PEP,USD,2022,Q,21971000000.0,11663000000.0,3353000000.0,3199000000.0,-475000000.0,2702000000.0,1380000000.0,1387000000.0,3353000000.0
2022-06-11,PEP,USD,2022,Q,20225000000.0,10810000000.0,2077000000.0,1839000000.0,-393000000.0,1429000000.0,1382000000.0,1389000000.0,2077000000.0
2022-03-19,PEP,USD,2022,Q,16200000000.0,8767000000.0,5267000000.0,5161000000.0,-888000000.0,4261000000.0,1383000000.0,1391000000.0,5822000000.0
