label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,225253000.0,193983000.0,290671000.0,235430000.0,281205000.0,273783000.0,208724000.0,186145000.0,193854000.0,193902000.0,120965000.0,166287000.0
"Restricted Cash and Cash Equivalents, Current",us-gaap_RestrictedCashCurrent,,,,,,,1500000.0,,,,,
Short-term marketable securities,us-gaap_DebtSecuritiesAvailableForSaleExcludingAccruedInterestCurrent,193321000.0,176048000.0,150206000.0,150913000.0,112004000.0,,,,,,,
Long-term marketable securities,us-gaap_DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLossNoncurrent,244984000.0,251179000.0,198990000.0,186680000.0,162058000.0,89693000.0,33648000.0,38838000.0,44587000.0,70997000.0,80122000.0,82360000.0
Current Marketable Securities,us-gaap_AvailableForSaleSecuritiesDebtSecuritiesCurrent,,,,,,179887000.0,218690000.0,163107000.0,139925000.0,191378000.0,298124000.0,290851000.0
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,24792000.0,26162000.0,28250000.0,27343000.0,27758000.0,30191000.0,36160000.0,40350000.0,45161000.0,53935000.0,57830000.0,63377000.0
Goodwill,us-gaap_Goodwill,7447000.0,7447000.0,7447000.0,7447000.0,7447000.0,7447000.0,7447000.0,7447000.0,7447000.0,7447000.0,7447000.0,7447000.0
Intangible Assets,us-gaap_IntangibleAssetsNetExcludingGoodwill,4894000.0,5533000.0,6172000.0,7451000.0,8172000.0,8943000.0,10486000.0,11258000.0,12030000.0,2019000.0,3365000.0,4839000.0
Accounts Payable,us-gaap_AccountsPayableCurrent,1823000.0,1977000.0,1292000.0,1422000.0,1277000.0,645000.0,1165000.0,2160000.0,1740000.0,1308000.0,2132000.0,2477000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,128418000.0,128675000.0,121563000.0,114967000.0,109584000.0,115629000.0,103428000.0,124912000.0,101786000.0,98717000.0,97692000.0,89294000.0
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,49720000.0,44266000.0,39506000.0,35307000.0,31266000.0,36112000.0,29836000.0,34017000.0,29183000.0,38736000.0,34959000.0,26752000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,27743000.0,24783000.0,25078000.0,22561000.0,21373000.0,20961000.0,18360000.0,17927000.0,18478000.0,18044000.0,18430000.0,17588000.0
Total Current Assets,us-gaap_AssetsCurrent,596712000.0,542972000.0,601946000.0,536617000.0,534059000.0,605411000.0,562178000.0,508181000.0,464748000.0,522733000.0,551740000.0,573184000.0
Total Assets,us-gaap_Assets,1031989000.0,999505000.0,996471000.0,908323000.0,876600000.0,861782000.0,751861000.0,709584000.0,675753000.0,747631000.0,789011000.0,814550000.0
Operating leases - right of use asset,us-gaap_OperatingLeaseRightOfUseAsset,47959000.0,48678000.0,41329000.0,41294000.0,44100000.0,31371000.0,25211000.0,27992000.0,30737000.0,31454000.0,33451000.0,34569000.0
Noncurrent restricted cash,us-gaap_RestrictedCashAndCashEquivalentsNoncurrent,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,,,,,
Deferred Tax Assets,us-gaap_DeferredIncomeTaxAssetsNet,76258000.0,91551000.0,86059000.0,77730000.0,70433000.0,66565000.0,57171000.0,54891000.0,49865000.0,39802000.0,35426000.0,29986000.0
Other Non Current Liabilities,us-gaap_OtherLiabilitiesNoncurrent,7206000.0,7046000.0,6683000.0,8810000.0,7727000.0,7420000.0,6511000.0,5800000.0,7129000.0,5322000.0,5091000.0,4976000.0
Total Current Liabilities,us-gaap_LiabilitiesCurrent,431780000.0,416815000.0,432028000.0,388536000.0,371829000.0,391065000.0,370491000.0,369120000.0,352958000.0,334030000.0,327389000.0,318538000.0
Accrued Liabilities,us-gaap_AccruedLiabilitiesCurrent,51136000.0,52768000.0,52921000.0,39960000.0,36095000.0,48246000.0,49838000.0,52637000.0,41777000.0,42816000.0,37987000.0,37083000.0
