label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,169882000.0,164062000.0,159899000.0,153867000.0,148708000.0,145805000.0,141996000.0,137209000.0,130683000.0,125561000.0,119893000.0,113420000.0
Total Cost of Revenue,us-gaap_CostOfRevenue,-27798000.0,-28877000.0,-28926000.0,-28832000.0,-26415000.0,-27198000.0,-26739000.0,-26662000.0,-26954000.0,-25992000.0,-25046000.0,-24002000.0
Gross Profit,us-gaap_GrossProfit,142084000.0,135185000.0,130973000.0,125035000.0,122293000.0,118607000.0,115257000.0,110547000.0,103729000.0,99569000.0,94847000.0,89418000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,28927000.0,30249000.0,29154000.0,28901000.0,27119000.0,-27530000.0,-27782000.0,27424000.0,27795000.0,25478000.0,24791000.0,23107000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,17922000.0,17719000.0,17404000.0,18494000.0,14960000.0,-16908000.0,-15999000.0,14055000.0,15128000.0,15698000.0,13333000.0,12634000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,35280000.0,35810000.0,32660000.0,32686000.0,32146000.0,-29408000.0,-27881000.0,26241000.0,25628000.0,25047000.0,23730000.0,20142000.0
Operating Expenses,us-gaap_OperatingExpenses,-82129000.0,-83778000.0,-79218000.0,-80081000.0,-74225000.0,-73846000.0,-71662000.0,-67720000.0,-68551000.0,-66223000.0,-61854000.0,-55883000.0
Operating Income,us-gaap_OperatingIncomeLoss,59955000.0,51407000.0,51755000.0,44954000.0,48068000.0,44761000.0,43595000.0,42827000.0,35178000.0,33346000.0,32993000.0,33535000.0
Interest Expense,us-gaap_InterestExpense,,,,,,,,,,0.0,0.0,0.0
Interest income,us-gaap_InvestmentIncomeInterest,6264000.0,6407000.0,6235000.0,6764000.0,6703000.0,6123000.0,5136000.0,3809000.0,2397000.0,1568000.0,839000.0,518000.0
"Other income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,-937000.0,999000.0,317000.0,605000.0,,,-708000.0,-959000.0,-216000.0,-1076000.0,-1710000.0,-710000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,5327000.0,7406000.0,6552000.0,7369000.0,6116000.0,4724000.0,4428000.0,2850000.0,2181000.0,492000.0,-871000.0,-192000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,65282000.0,58813000.0,58307000.0,52323000.0,54184000.0,49485000.0,48023000.0,45677000.0,37359000.0,33838000.0,32122000.0,33343000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-14936000.0,-11523000.0,-10773000.0,-6111000.0,-10412000.0,-9754000.0,-1508000.0,-10295000.0,-8254000.0,-6178000.0,-5526000.0,-7933000.0
Net Income,us-gaap_NetIncomeLoss,50346000.0,47290000.0,47534000.0,46212000.0,43772000.0,39731000.0,46515000.0,35382000.0,29105000.0,27660000.0,26596000.0,25410000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,1.4,1.3,1.3,1.26,1.19,1.08,1.27,0.96,0.79,0.72,0.69,0.65
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,1.39,1.29,1.29,1.24,1.17,1.05,1.24,0.95,0.77,0.71,0.67,0.64
"Other expense, net",us-gaap_OtherNonoperatingIncomeExpense,,,,,-587000.0,-1399000.0,,,,,,
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,36037000.0,36253000.0,36466000.0,36762000.0,36915000.0,36955000.0,36766000.0,36842000.0,37068000.0,38317000.0,38738000.0,38992000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,36293000.0,36519000.0,36784000.0,37136000.0,37464000.0,37723000.0,37448000.0,37435000.0,37669000.0,39220000.0,39689000.0,40001000.0
