label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerIncludingAssessedTax,2671285000.0,2363889000.0,3345906000.0,2597915000.0,1126188000.0,1585750000.0
Revenue,us-gaap_Revenues,2690259000.0,2373886000.0,3358647000.0,2622894000.0,1126673000.0,1590105000.0
"Other operating income, net",us-gaap_OtherOperatingIncome,18974000.0,,,,,
Cost of Goods and Services Excluding Depreciation,us-gaap_CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,-636971000.0,563543000.0,620912000.0,505416000.0,391217000.0,
"Depletion, depreciation, and amortization",us-gaap_ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,-809305000.0,,,,,
Exploration,us-gaap_ExplorationExpense,-64121000.0,59480000.0,54943000.0,39296000.0,40997000.0,51500000.0
Net derivative (gain) loss,us-gaap_GainLossOnDerivativeInstrumentsNetPretax,49958000.0,-68154000.0,374012000.0,901659000.0,-161576000.0,97539000.0
"Other operating expense, net",us-gaap_OtherOperatingIncomeExpenseNet,-15781000.0,20567000.0,3493000.0,46069000.0,24825000.0,
Costs and Expenses,us-gaap_CostsAndExpenses,-1614564000.0,-1386980000.0,-1779166000.0,-2413771000.0,-2195623000.0,-1660073000.0
Other operating revenues,us-gaap_OtherOperatingIncome,,,,,394000.0,3493000.0
Interest income,us-gaap_InterestAndOtherIncome,31903000.0,19854000.0,,,,
Loss on extinguishment of debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,-483000.0,-0.0,,,,0.0
Net gain (loss) on extinguishment of debt,us-gaap_GainsLossesOnExtinguishmentOfDebt,,,67605000.0,2139000.0,-280081000.0,
Impairment of oil and gas properties,us-gaap_ImpairmentOfOilAndGasProperties,,,,,,33842000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,,,,,,500709000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,-138344000.0,121063000.0,114558000.0,111945000.0,99160000.0,132797000.0
Operating Income,us-gaap_OperatingIncomeLoss,1075695000.0,986906000.0,1579481000.0,209123000.0,-1068950000.0,-69968000.0
Interest Expense,us-gaap_InterestExpense,-140659000.0,-91630000.0,-120346000.0,-160353000.0,-163892000.0,-159102000.0
Other non-operating income,us-gaap_OtherNonoperatingIncomeExpense,-233000.0,,,,,
"Other non-operating income (expense), net",us-gaap_OtherNonoperatingIncomeExpense,,,4240000.0,,-3944000.0,-1974000.0
Other non-operating expense,us-gaap_OtherNonoperatingIncomeExpense,,-928000.0,,,,
"Other non-operating expense, net",us-gaap_OtherNonoperatingIncomeExpense,,,,-464000.0,,
"Other operating expenses, net",us-gaap_OtherOperatingIncomeExpenseNet,,,,,,19888000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,966223000.0,914202000.0,1395770000.0,46167000.0,-956705000.0,-231044000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-195930000.0,96322000.0,283818000.0,9938000.0,-192091000.0,-44043000.0
Net Income,us-gaap_NetIncomeLoss,770293000.0,817880000.0,1111952000.0,36229000.0,-764614000.0,-187001000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,6.71,6.89,9.09,0.3,-6.72,-1.66
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,6.67,6.86,8.96,0.29,-6.72,-1.66
"Depletion, depreciation, amortization, and asset retirement obligation liability accretion",us-gaap_ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,,690481000.0,603780000.0,774386000.0,784987000.0,823798000.0
Other operating income,us-gaap_OtherOperatingIncome,,9997000.0,12741000.0,24979000.0,,
Impairment,us-gaap_ImpairmentOfOilAndGasProperties,,0.0,7468000.0,35000000.0,1016013000.0,
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,114757000.0,118678000.0,122351000.0,119043000.0,113730000.0,112544000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,115533000.0,119240000.0,124084000.0,123690000.0,113730000.0,112544000.0
Net gain on divestiture activity,us-gaap_GainLossOnSaleOfOilAndGasProperty,,,,,-91000.0,
Net gain (loss) on divestiture activity,us-gaap_GainLossOnSaleOfOilAndGasProperty,,,,,,862000.0
