label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,1369463000.0,895129000.0,1030506000.0,754154000.0,437353000.0,130876000.0
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,209332000.0,161422000.0,173759000.0,135856000.0,115863000.0,64012000.0
Short-term investments,us-gaap_ShortTermInvestments,,,,,,124112000.0
"Short-term investments, net",us-gaap_ShortTermInvestments,552026000.0,485159000.0,416080000.0,204625000.0,186685000.0,
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,3330343000.0,2870313000.0,2347195000.0,2020720000.0,1584109000.0,1166376000.0
Accounts Payable,us-gaap_AccountsPayableCurrent,2631213000.0,2317318000.0,1871419000.0,1655684000.0,1348480000.0,868618000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,72186000.0,60730000.0,46879000.0,47500000.0,29154000.0,23129000.0
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,84626000.0,63353000.0,51836000.0,112150000.0,102170000.0,27857000.0
Total Current Assets,us-gaap_AssetsCurrent,5336458000.0,4313954000.0,3845617000.0,3091649000.0,2310317000.0,1449221000.0
Total Assets,us-gaap_Assets,6111951000.0,4888687000.0,4380679000.0,3577340000.0,2753645000.0,1728761000.0
Operating lease assets,us-gaap_OperatingLeaseRightOfUseAsset,263761000.0,197732000.0,220396000.0,234091000.0,248143000.0,173449000.0
Deferred Tax Assets,us-gaap_DeferredIncomeTaxAssetsNet,230214000.0,154849000.0,94028000.0,68244000.0,50168000.0,18950000.0
Other Non Current Liabilities,us-gaap_OtherLiabilitiesNoncurrent,41618000.0,33261000.0,27490000.0,8280000.0,11255000.0,10998000.0
Total Current Liabilities,us-gaap_LiabilitiesCurrent,2873465000.0,2510838000.0,2029323000.0,1803305000.0,1474683000.0,930373000.0
Accrued Liabilities,us-gaap_AccruedLiabilitiesCurrent,177760000.0,137996000.0,105474000.0,101472000.0,88335000.0,47178000.0
Operating lease liabilities,us-gaap_OperatingLeaseLiabilityCurrent,64492000.0,55524000.0,52430000.0,46149000.0,37868000.0,14577000.0
Total Liabilities,us-gaap_Liabilities,3162806000.0,2724468000.0,2265340000.0,2050034000.0,1740500000.0,1116244000.0
"Operating lease liabilities, non-current",us-gaap_OperatingLeaseLiabilityNoncurrent,247723000.0,180369000.0,208527000.0,238449000.0,254562000.0,174873000.0
Commitments and contingencies (Note 13),us-gaap_CommitmentsAndContingencies,0.0,0.0,0.0,,,
Preferred Stock,us-gaap_PreferredStockValue,0.0,0.0,0.0,,,
Common Stock,us-gaap_CommonStockValue,0.0,0.0,0.0,0.0,0.0,0.0
Additional paid-in capital,us-gaap_AdditionalPaidInCapitalCommonStock,2594896000.0,1967265000.0,1449825000.0,915177000.0,538778000.0,380079000.0
Retained Earnings,us-gaap_RetainedEarningsAccumulatedDeficit,354249000.0,196954000.0,665514000.0,612129000.0,474367000.0,232438000.0
Total Stockholders' Equity,us-gaap_StockholdersEquity,2949145000.0,2164219000.0,2115339000.0,1527306000.0,1013145000.0,612517000.0
Total Liabilities and Stockholders' Equity,us-gaap_LiabilitiesAndStockholdersEquity,6111951000.0,4888687000.0,4380679000.0,3577340000.0,2753645000.0,1728761000.0
