label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,653134000.0,896387000.0,1118545000.0,1221475000.0,1009363000.0,918200000.0,1071764000.0,965831000.0,892702000.0,994656000.0,932683000.0,844223000.0
"Short-term investments, net",us-gaap_ShortTermInvestments,792313000.0,790874000.0,621826000.0,510290000.0,497168000.0,501360000.0,450117000.0,465113000.0,437730000.0,326745000.0,280459000.0,260347000.0
"Property, Plant and Equipment",us-gaap_PropertyPlantAndEquipmentNet,322507000.0,309975000.0,251019000.0,197973000.0,191912000.0,150551000.0,152863000.0,159805000.0,170454000.0,166078000.0,139214000.0,130640000.0
Accounts Receivable,us-gaap_AccountsReceivableNetCurrent,3478338000.0,3254908000.0,3051928000.0,2989387000.0,2905533000.0,2619280000.0,2434047000.0,2346070000.0,2086332000.0,2026929000.0,1902504000.0,1760985000.0
Accounts Payable,us-gaap_AccountsPayableCurrent,2761261000.0,2724093000.0,2398948000.0,2409773000.0,2336589000.0,2094855000.0,1967649000.0,1892906000.0,1677154000.0,1651447000.0,1537448000.0,1405673000.0
Prepaid Expenses,us-gaap_PrepaidExpenseAndOtherAssetsCurrent,196501000.0,111546000.0,64036000.0,117221000.0,110776000.0,57579000.0,57878000.0,54749000.0,59101000.0,67033000.0,80531000.0,89784000.0
Other Non Current Assets,us-gaap_OtherAssetsNoncurrent,99990000.0,95862000.0,90100000.0,71699000.0,60910000.0,60119000.0,51152000.0,49284000.0,47249000.0,43956000.0,45286000.0,44203000.0
Total Current Assets,us-gaap_AssetsCurrent,5120286000.0,5053715000.0,4856335000.0,4838373000.0,4522840000.0,4096419000.0,4013806000.0,3831763000.0,3475865000.0,3415363000.0,3196177000.0,2955339000.0
Total Assets,us-gaap_Assets,5940401000.0,5957809000.0,5705441000.0,5505325000.0,5159922000.0,4663797000.0,4520432000.0,4346968000.0,3999638000.0,3923954000.0,3672746000.0,3432721000.0
Operating lease assets,us-gaap_OperatingLeaseRightOfUseAsset,287104000.0,269309000.0,279039000.0,242431000.0,229411000.0,201859000.0,208583000.0,212088000.0,212042000.0,230917000.0,225380000.0,228991000.0
Deferred Tax Assets,us-gaap_DeferredIncomeTaxAssetsNet,110514000.0,228948000.0,228948000.0,154849000.0,154849000.0,154849000.0,94028000.0,94028000.0,94028000.0,67640000.0,66689000.0,73548000.0
Other Non Current Liabilities,us-gaap_OtherLiabilitiesNoncurrent,41996000.0,41857000.0,44028000.0,34130000.0,33361000.0,33436000.0,27544000.0,26499000.0,27749000.0,8698000.0,8500000.0,8327000.0
Total Current Liabilities,us-gaap_LiabilitiesCurrent,2994771000.0,2948984000.0,2682062000.0,2615090000.0,2518386000.0,2283350000.0,2147155000.0,2050984000.0,1830354000.0,1785240000.0,1665074000.0,1545802000.0
Accrued Liabilities,us-gaap_AccruedLiabilitiesCurrent,160381000.0,152477000.0,210813000.0,142459000.0,120218000.0,131287000.0,121616000.0,103285000.0,100146000.0,82768000.0,79339000.0,92903000.0
Operating lease liabilities,us-gaap_OperatingLeaseLiabilityCurrent,73129000.0,72414000.0,72301000.0,62858000.0,61579000.0,57208000.0,57890000.0,54793000.0,53054000.0,51025000.0,48287000.0,47226000.0
Total Liabilities,us-gaap_Liabilities,3339615000.0,3261976000.0,2988757000.0,2879575000.0,2754516000.0,2497242000.0,2364906000.0,2275558000.0,2058831000.0,2009666000.0,1892915000.0,1783618000.0
"Operating lease liabilities, non-current",us-gaap_OperatingLeaseLiabilityNoncurrent,302848000.0,271135000.0,262667000.0,230355000.0,202769000.0,180456000.0,190207000.0,198075000.0,200728000.0,215728000.0,219341000.0,229489000.0
Commitments and contingencies (Note 11),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
Commitments and contingencies (Note 10),us-gaap_CommitmentsAndContingencies,,,,,,,,,,,,
Preferred Stock,us-gaap_PreferredStockValue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Common Stock,us-gaap_CommonStockValue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Additional paid-in capital,us-gaap_AdditionalPaidInCapitalCommonStock,2965231000.0,2858189000.0,2712166000.0,2397100000.0,2217043000.0,2063311000.0,1835107000.0,1700498000.0,1558830000.0,1319961000.0,1201373000.0,1051572000.0
Retained Earnings,us-gaap_RetainedEarningsAccumulatedDeficit,-364445000.0,-162356000.0,4518000.0,228650000.0,188363000.0,103244000.0,320419000.0,370912000.0,381977000.0,594327000.0,578458000.0,597531000.0
Total Stockholders' Equity,us-gaap_StockholdersEquity,2600786000.0,2695833000.0,2716684000.0,2625750000.0,2405406000.0,2166555000.0,2155526000.0,2071410000.0,1940807000.0,1914288000.0,1779831000.0,1649103000.0
Total Liabilities and Stockholders' Equity,us-gaap_LiabilitiesAndStockholdersEquity,5940401000.0,5957809000.0,5705441000.0,5505325000.0,5159922000.0,4663797000.0,4520432000.0,4346968000.0,3999638000.0,3923954000.0,3672746000.0,3432721000.0
