label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,739433000.0,694039000.0,616021000.0,628016000.0,584550000.0,491253000.0,493266000.0,464254000.0,382803000.0,394773000.0,376962000.0,315323000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,162154000.0,150980000.0,142839000.0,122656000.0,110459000.0,103630000.0,93382000.0,86654000.0,84867000.0,70124000.0,67490000.0,63890000.0
Costs and Expenses,us-gaap_CostsAndExpenses,-578214000.0,-577262000.0,-561569000.0,-519535000.0,-489830000.0,-462596000.0,-455589000.0,-422581000.0,-406111000.0,-365969000.0,-375219000.0,-332376000.0
"Foreign currency exchange loss (gain), net",us-gaap_ForeignCurrencyTransactionGainLossBeforeTax,1810000.0,-1611000.0,,-711000.0,-45000.0,715000.0,1697000.0,747000.0,-723000.0,-43000.0,-317000.0,795000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,127893000.0,134251000.0,132402000.0,117705000.0,110035000.0,107686000.0,117772000.0,98308000.0,93710000.0,79915000.0,83483000.0,71999000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,131337000.0,130900000.0,133585000.0,138878000.0,135469000.0,129555000.0,131969000.0,126130000.0,130312000.0,130892000.0,134826000.0,125799000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,156830000.0,161131000.0,152743000.0,140296000.0,133867000.0,121725000.0,112466000.0,111489000.0,97222000.0,85038000.0,89420000.0,70688000.0
Operating Income,us-gaap_OperatingIncomeLoss,161219000.0,116777000.0,54452000.0,108481000.0,94720000.0,28657000.0,37677000.0,41673000.0,-23308000.0,28804000.0,1743000.0,-17053000.0
Interest Expense,us-gaap_InterestIncomeExpenseNet,16490000.0,18035000.0,20132000.0,19408000.0,17817000.0,16661000.0,17626000.0,17507000.0,14423000.0,1741000.0,656000.0,-1076000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,18300000.0,16424000.0,21317000.0,18697000.0,17772000.0,17376000.0,19323000.0,18254000.0,13700000.0,1698000.0,339000.0,-281000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,179519000.0,133201000.0,75769000.0,127178000.0,112492000.0,46033000.0,57000000.0,59927000.0,-9608000.0,30502000.0,2082000.0,-17334000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-63972000.0,-43072000.0,-25091000.0,-33020000.0,-27463000.0,-14373000.0,-17648000.0,-26988000.0,18934000.0,-14633000.0,-21155000.0,2736000.0
Net Income,us-gaap_NetIncomeLoss,115547000.0,90129000.0,50678000.0,94158000.0,85029000.0,31660000.0,39352000.0,32939000.0,9326000.0,15869000.0,-19073000.0,-14598000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.24,0.18,0.1,0.19,0.17,0.06,0.08,0.07,0.02,0.03,-0.04,-0.03
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.23,0.18,0.1,0.19,0.17,0.06,0.08,0.07,0.02,0.03,-0.04,-0.03
"Foreign currency exchange gain, net",us-gaap_ForeignCurrencyTransactionGainLossBeforeTax,,,1185000.0,,,,,,,,,
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,487729000.0,490631000.0,494927000.0,491614000.0,489353000.0,488551000.0,489447000.0,488431000.0,489712000.0,487963000.0,486310000.0,484190000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,492984000.0,495776000.0,502944000.0,502563000.0,500040000.0,498192000.0,501880000.0,499349000.0,499795000.0,500300000.0,486310000.0,484190000.0
