label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Exercise of common stock options (in shares),us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,251000.0,410000.0,597000.0,1810000.0,1167000.0,719000.0,889000.0,1074000.0,2451000.0,918000.0,657000.0,2395000.0
Exercise of common stock options,us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,6239000.0,8261000.0,6478000.0,89526000.0,27360000.0,10804000.0,17591000.0,17407000.0,10365000.0,10917000.0,7387000.0,24408000.0
"Issuance of restricted stock, net of forfeitures and shares withheld for taxes (in shares)",ttd_StockIssuedDuringPeriodSharesRestrictedStockNetOfForfeituresAndSharesWithheldForTaxes,785000.0,1292000.0,782000.0,554000.0,1007000.0,620000.0,500000.0,879000.0,414000.0,246000.0,661000.0,190000.0
"Issuance of restricted stock, net of forfeitures and shares withheld for taxes",ttd_StockIssuedDuringPeriodValueRestrictedStockNetOfForfeituresAndSharesWithheldForTaxes,-22678000.0,-27591000.0,-29457000.0,-39394000.0,-31563000.0,-26806000.0,-24343000.0,-15459000.0,-15595000.0,-14058000.0,-9768000.0,-13428000.0
Issuance of common stock under employee stock purchase plan (in shares),us-gaap_StockIssuedDuringPeriodSharesEmployeeStockPurchasePlans,,625000.0,,,698000.0,,,497000.0,,,946000.0,
Issuance of common stock under employee stock purchase plan,us-gaap_StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,,34531000.0,,,30122000.0,,,21316000.0,,,25547000.0,
Issuance of common stock relating to business acquisition (in shares),us-gaap_StockIssuedDuringPeriodSharesAcquisitions,,,127000.0,,,,,,,,,
Issuance of common stock relating to business acquisition,us-gaap_StockIssuedDuringPeriodValueAcquisitions,,,10299000.0,,,,,,,,,
Repurchases of Class A common stock (in shares),us-gaap_StockRepurchasedAndRetiredDuringPeriodShares,6205000.0,3748000.0,6288000.0,517000.0,0.0,1527000.0,1194000.0,595000.0,5139000.0,,,
Repurchases of Class A common stock,us-gaap_StockRepurchasedAndRetiredDuringPeriodValue,317636000.0,257003000.0,400409000.0,53871000.0,90000.0,125370000.0,89845000.0,44004000.0,292863000.0,,,
Stock-based compensation,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,123481000.0,130822000.0,129950000.0,129925000.0,127813000.0,112048000.0,141361000.0,118404000.0,114235000.0,121729000.0,126635000.0,125415000.0
Net Income,us-gaap_NetIncomeLoss,115547000.0,90129000.0,50678000.0,94158000.0,85029000.0,31660000.0,39352000.0,32939000.0,9326000.0,15869000.0,-19073000.0,-14598000.0
