label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,201730000.0,194939000.0,192706000.0,193776000.0,193129000.0,190937000.0,175733000.0,168611000.0,160858000.0,158641000.0,156898000.0,141337000.0
Provision for transaction losses,upwk_ProvisionForTransactionLosses,-2393000.0,-1769000.0,-2259000.0,1795000.0,1774000.0,927000.0,1615000.0,2547000.0,6701000.0,10137000.0,6652000.0,2129000.0
"Net unrealized holding gain on marketable securities, net",us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,143000.0,,,1751000.0,,,,,,,,
"Net unrealized holding (loss) gain on marketable securities, net",us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,-143000.0,-591000.0,,,,,,
Total comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,29478000.0,32902000.0,38014000.0,29509000.0,,17851000.0,,,,,,
"Net unrealized holding gain (loss) on marketable securities, net",us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,176000.0,284000.0,,,,472000.0,297000.0,1923000.0,166000.0,,
Total comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTax,,,,,22077000.0,,16809000.0,-3694000.0,19090000.0,,,
Total comprehensive loss,us-gaap_ComprehensiveIncomeNetOfTax,,,,,,,,,,-24661000.0,-25225000.0,-27588000.0
"Net unrealized holding loss on marketable securities, net",us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,,-1405000.0,-2850000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-45843000.0,-43432000.0,-41806000.0,-43408000.0,-43852000.0,-44193000.0,-43273000.0,-40882000.0,-40427000.0,-40470000.0,-40857000.0,-37916000.0
Gross Profit,us-gaap_GrossProfit,155887000.0,151507000.0,150900000.0,150368000.0,149277000.0,146744000.0,132460000.0,127729000.0,120431000.0,118171000.0,116041000.0,103421000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,-47494000.0,-44843000.0,-46152000.0,50411000.0,52465000.0,52916000.0,43419000.0,43246000.0,44481000.0,38898000.0,35830000.0,38161000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,-41257000.0,-35659000.0,-28048000.0,31276000.0,29924000.0,32001000.0,28652000.0,28983000.0,29287000.0,31407000.0,33324000.0,29141000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,-34985000.0,-36671000.0,-35751000.0,46093000.0,47333000.0,47851000.0,47308000.0,59069000.0,65000000.0,63171000.0,63283000.0,57642000.0
Operating Expenses,us-gaap_OperatingExpenses,-126129000.0,-118942000.0,-112210000.0,-129575000.0,-131496000.0,-133695000.0,-120994000.0,-133845000.0,-145469000.0,-143613000.0,-139089000.0,-127073000.0
Operating Income,us-gaap_OperatingIncomeLoss,29758000.0,32565000.0,38690000.0,20793000.0,17781000.0,13049000.0,11466000.0,-6116000.0,-25038000.0,-25442000.0,-23048000.0,-23652000.0
Interest Expense,us-gaap_InterestExpense,,,,,,,-711000.0,-713000.0,-1101000.0,-1117000.0,-1120000.0,-1125000.0
"Other income, net",us-gaap_OtherNonoperatingIncomeExpense,5917000.0,5878000.0,6317000.0,8091000.0,5620000.0,6722000.0,6477000.0,4695000.0,44101000.0,,,68000.0
"Other (income) expense, net",us-gaap_OtherNonoperatingIncomeExpense,,,,,,,,,,1772000.0,375000.0,
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,35675000.0,38443000.0,45007000.0,28884000.0,23401000.0,19771000.0,17232000.0,-2134000.0,17962000.0,-24787000.0,-23793000.0,-24709000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-6340000.0,-5717000.0,-7277000.0,-1126000.0,-1181000.0,-1329000.0,-895000.0,-1857000.0,-795000.0,-40000.0,-27000.0,-29000.0
Net Income,us-gaap_NetIncomeLoss,29335000.0,32726000.0,37730000.0,27758000.0,22220000.0,18442000.0,16337000.0,-3991000.0,17167000.0,-24827000.0,-23820000.0,-24738000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.22,0.25,0.28,0.21,0.17,0.14,0.12,-0.03,0.13,-0.19,-0.18,-0.19
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.21,0.24,0.27,0.2,0.17,0.13,0.12,-0.03,-0.15,-0.19,-0.18,-0.19
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,131987000.0,132183000.0,135208000.0,132603000.0,131436000.0,136357000.0,135450000.0,134142000.0,132836000.0,130830000.0,130061000.0,129359000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,139666000.0,140198000.0,142777000.0,139294000.0,138266000.0,143657000.0,137291000.0,134142000.0,135966000.0,130830000.0,130061000.0,129359000.0
