label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,1594288000.0,1452579000.0,1421901000.0,1370598000.0,1294322000.0,1258294000.0
Research and development,us-gaap_ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,146677000.0,140758000.0,146311000.0,144310000.0,139293000.0,146573000.0
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,110962000.0,122373000.0,126678000.0,127180000.0,131791000.0,111532000.0
Total Cost of Revenue,us-gaap_CostOfRevenue,791783000.0,719211000.0,696071000.0,638871000.0,622459000.0,617453000.0
Costs and Expenses,us-gaap_CostsAndExpenses,-1286153000.0,-1232171000.0,-1218066000.0,-1160701000.0,-1149578000.0,-1134538000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,118379000.0,117190000.0,114194000.0,123801000.0,152468000.0,135296000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,118352000.0,132639000.0,134812000.0,126539000.0,103567000.0,123684000.0
Operating Income,us-gaap_OperatingIncomeLoss,308135000.0,220408000.0,203835000.0,209897000.0,144744000.0,123756000.0
Interest Expense,us-gaap_InterestExpense,,-78486000.0,-53193000.0,-45060000.0,-56630000.0,-64033000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-72471000.0,,,,,
Interest income,us-gaap_InvestmentIncomeInterest,15926000.0,14215000.0,12547000.0,11522000.0,11628000.0,11967000.0
"Other, net",us-gaap_OtherNonoperatingIncomeExpense,-1181000.0,-8510000.0,43446000.0,-1294000.0,-1116000.0,520000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,-57726000.0,-72781000.0,2800000.0,-34832000.0,-46118000.0,-51546000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,250409000.0,147627000.0,206635000.0,175065000.0,98626000.0,72210000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,47291000.0,26118000.0,64458000.0,47274000.0,25966000.0,5148000.0
Net Income,us-gaap_NetIncomeLoss,203118000.0,121509000.0,142177000.0,127791000.0,72660000.0,67062000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,1.93,1.12,1.25,1.09,0.62,0.58
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,1.91,1.12,1.24,1.08,0.62,0.57
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,105491000.0,108497000.0,113700000.0,117407000.0,116397000.0,116175000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,106493000.0,108857000.0,114238000.0,118647000.0,118079000.0,118571000.0
