label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,482359000.0,401258000.0,394565000.0,451752000.0,373479000.0,316019000.0,363015000.0,323325000.0,289676000.0,306591000.0,340425000.0,323080000.0
Research and development,us-gaap_ResearchAndDevelopmentExpenseSoftwareExcludingAcquiredInProcessCost,42567000.0,41107000.0,38908000.0,37660000.0,35410000.0,34993000.0,33739000.0,35265000.0,37118000.0,35899000.0,40642000.0,37807000.0
Depreciation and Amortization,us-gaap_DepreciationAndAmortization,24140000.0,24101000.0,23985000.0,31515000.0,27586000.0,27609000.0,30464000.0,31436000.0,31539000.0,32140000.0,32240000.0,30838000.0
Total Cost of Revenue,us-gaap_CostOfRevenue,223138000.0,234800000.0,213378000.0,197351000.0,203238000.0,191107000.0,177625000.0,181343000.0,178554000.0,171753000.0,179333000.0,166286000.0
Costs and Expenses,us-gaap_CostsAndExpenses,-354653000.0,-366400000.0,-336049000.0,-329166000.0,-319778000.0,-306459000.0,-301091000.0,-312805000.0,-314028000.0,-303102000.0,-315968000.0,-295414000.0
General and Administrative Expense,us-gaap_GeneralAndAdministrativeExpense,34098000.0,37651000.0,27592000.0,33949000.0,24993000.0,26000000.0,29821000.0,31472000.0,31382000.0,30516000.0,28362000.0,25875000.0
Selling Expense,us-gaap_SellingAndMarketingExpense,30710000.0,28741000.0,32186000.0,28691000.0,28551000.0,26750000.0,29442000.0,33289000.0,35435000.0,32794000.0,35391000.0,34608000.0
Operating Income,us-gaap_OperatingIncomeLoss,127706000.0,34858000.0,58516000.0,122586000.0,53701000.0,9560000.0,61924000.0,10520000.0,-24352000.0,3489000.0,24457000.0,27666000.0
Interest Expense,us-gaap_InterestExpense,,,,,-18471000.0,-19010000.0,-19840000.0,-19909000.0,-18892000.0,-14336000.0,-11784000.0,-10894000.0
Interest Expense (non-operating),us-gaap_InterestExpenseNonoperating,-14811000.0,-14527000.0,-14683000.0,-18356000.0,,,,,,,,
Interest income,us-gaap_InvestmentIncomeInterest,3676000.0,3934000.0,4064000.0,3871000.0,3953000.0,4009000.0,3495000.0,3458000.0,3505000.0,2995000.0,3051000.0,3159000.0
"Other, net",us-gaap_OtherNonoperatingIncomeExpense,1551000.0,-6393000.0,23740000.0,-823000.0,1156000.0,-2025000.0,1084000.0,-4092000.0,-3395000.0,41545000.0,2006000.0,2250000.0
Nonoperating Income/Expense,us-gaap_NonoperatingIncomeExpense,-9584000.0,-16986000.0,13121000.0,-15308000.0,-13362000.0,-17026000.0,-15261000.0,-20543000.0,-18782000.0,30204000.0,-6727000.0,-5485000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,118122000.0,17872000.0,71637000.0,107278000.0,40339000.0,-7466000.0,46663000.0,-10023000.0,-43134000.0,33693000.0,17730000.0,22181000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-26872000.0,-5670000.0,-12767000.0,-25851000.0,-9452000.0,-285000.0,-8752000.0,3313000.0,10826000.0,-10576000.0,-4388000.0,-6691000.0
Net Income,us-gaap_NetIncomeLoss,91250000.0,12202000.0,58870000.0,81427000.0,30887000.0,-7751000.0,37911000.0,-6710000.0,-32308000.0,23117000.0,13342000.0,15490000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,0.88,0.12,0.56,0.78,0.29,-0.07,0.35,-0.06,-0.3,0.2,0.12,0.13
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,0.88,0.12,0.55,0.77,0.29,-0.07,0.35,-0.06,-0.3,0.2,0.12,0.13
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,103245000.0,104376000.0,105350000.0,104770000.0,105395000.0,106799000.0,108667000.0,108455000.0,108156000.0,113812000.0,114669000.0,115287000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,103895000.0,105103000.0,106827000.0,106018000.0,106166000.0,106799000.0,108933000.0,108455000.0,108156000.0,114348000.0,115205000.0,116098000.0
