label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Profit or Loss,us-gaap_ProfitLoss,3744000000.0,2099000000.0,596000000.0,1164000000.0,347000000.0,1198000000.0,-4000000.0,-1375000000.0,-321000000.0,-683000000.0,-1024000000.0,646000000.0
"Other comprehensive income, after-tax",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,355000000.0,,,,,,,,,,,
,,,,,,,,,,,,,
Unrealized net capital gains and losses,all_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesIncludingOtherThanTemporaryImpairmentLossesAdjustmentNetOfTax,315000000.0,387000000.0,420000000.0,1299000000.0,-119000000.0,-215000000.0,-667000000.0,-272000000.0,682000000.0,-789000000.0,-1143000000.0,-1593000000.0
Unrealized foreign currency translation adjustments,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,40000000.0,84000000.0,-45000000.0,14000000.0,-23000000.0,8000000.0,-14000000.0,28000000.0,50000000.0,-88000000.0,-47000000.0,0.0
Unamortized pension and other postretirement prior service credit,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,-1000000.0,-0.0,-0.0,-0.0,-0.0,-1000000.0,-5000000.0,-5000000.0,-4000000.0,-8000000.0,-15000000.0,-15000000.0
Discount rate for reserve for future policy benefits,us-gaap_OciLiabilityForFuturePolicyBenefitGainLossAfterReclassificationAdjustmentAndTax,1000000.0,-19000000.0,5000000.0,-36000000.0,-1000000.0,25000000.0,30000000.0,8000000.0,,,,
"Other comprehensive (loss) income, after-tax",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,,,,,-143000000.0,-183000000.0,,-241000000.0,,,-1205000000.0,
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,4099000000.0,2551000000.0,976000000.0,,,1015000000.0,,,,,,
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,2441000000.0,204000000.0,,,,398000000.0,,,
Comprehensive loss,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,-660000000.0,-1616000000.0,,,,-962000000.0
Comprehensive (loss) income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,-1568000000.0,-2229000000.0,
"Other comprehensive income (loss), after-tax",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,,452000000.0,380000000.0,1277000000.0,,,,,719000000.0,,,
Less: Comprehensive (loss) income attributable to noncontrolling interest,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,11000000.0,,,,19000000.0,,,,,17000000.0,
Less: Comprehensive income (loss) attributable to noncontrolling interest,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,-5000000.0,,-16000000.0,,,,-4000000.0,,,
"Other comprehensive loss, after-tax",us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,,,,,,,-656000000.0,,,-885000000.0,,-1608000000.0
Comprehensive loss attributable to Allstate,us-gaap_ComprehensiveIncomeNetOfTax,,,,,,,-659000000.0,-1592000000.0,,,,-940000000.0
Change in discount rate for reserve for future policy benefits,us-gaap_OciLiabilityForFuturePolicyBenefitGainLossAfterReclassificationAdjustmentAndTax,,,,,,,,,-9000000.0,,,
Less: Comprehensive loss attributable to noncontrolling interest,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,2000000.0,,,19000000.0,,,1000000.0,24000000.0,,21000000.0,,22000000.0
Comprehensive income attributable to Allstate,us-gaap_ComprehensiveIncomeNetOfTax,4101000000.0,2562000000.0,971000000.0,,,1034000000.0,,,,,,
Comprehensive income (loss) attributable to Allstate,us-gaap_ComprehensiveIncomeNetOfTax,,,,2460000000.0,188000000.0,,,,394000000.0,,,
Comprehensive (loss) income attributable to Allstate,us-gaap_ComprehensiveIncomeNetOfTax,,,,,,,,,,-1547000000.0,-2212000000.0,
