label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Property and casualty insurance premiums,us-gaap_PropertyLiabilityAndCasualtyInsuranceSegmentMember,,,,,,,,,,0.0,0.0,10981000000.0
Revenue,us-gaap_Revenues,17255000000.0,16633000000.0,16452000000.0,16627000000.0,15714000000.0,15259000000.0,14497000000.0,13979000000.0,13786000000.0,13208000000.0,12220000000.0,12337000000.0
Insurance premiums and contract charges,us-gaap_PremiumsEarnedNet,110000000.0,235000000.0,487000000.0,487000000.0,474000000.0,478000000.0,463000000.0,453000000.0,12173000000.0,,,
Other revenue,us-gaap_OtherIncome,691000000.0,747000000.0,762000000.0,781000000.0,679000000.0,669000000.0,592000000.0,597000000.0,561000000.0,,,
Net investment income,us-gaap_NetInvestmentIncome,949000000.0,754000000.0,854000000.0,783000000.0,712000000.0,764000000.0,689000000.0,610000000.0,575000000.0,690000000.0,562000000.0,594000000.0
Net gains (losses) on investments and derivatives,us-gaap_RealizedInvestmentGainsLosses,-252000000.0,144000000.0,349000000.0,243000000.0,-103000000.0,-164000000.0,-86000000.0,-151000000.0,14000000.0,-167000000.0,-733000000.0,-267000000.0
Property and casualty insurance claims and claims expense,us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,8654000000.0,10249000000.0,10815000000.0,10409000000.0,10801000000.0,9501000000.0,10237000000.0,11727000000.0,10326000000.0,10073000000.0,9367000000.0,7822000000.0
"Accident, health and other policy benefits",all_AccidentAndHealthInsuranceContractBenefitsNetOfReinsuranceRecoveries,67000000.0,188000000.0,333000000.0,,291000000.0,296000000.0,,258000000.0,265000000.0,263000000.0,269000000.0,269000000.0
Amortization of deferred policy acquisition costs,us-gaap_DeferredPolicyAcquisitionCostAmortizationExpense,2101000000.0,2076000000.0,2087000000.0,2037000000.0,2001000000.0,1939000000.0,1841000000.0,1789000000.0,1744000000.0,1682000000.0,1619000000.0,1612000000.0
Operating costs and expenses,us-gaap_OtherCostAndExpenseOperating,2265000000.0,2135000000.0,2245000000.0,2217000000.0,2019000000.0,1885000000.0,1771000000.0,1786000000.0,1716000000.0,1842000000.0,1850000000.0,1902000000.0
