label,concept,2025-11-01,2025-08-02,2025-05-03,2024-11-02,2024-08-03,2024-05-04,2023-10-28,2023-07-29,2023-04-29,2022-10-29,2022-07-30,2022-04-30
Revenue,us-gaap_Revenues,1290619000.0,1208560000.0,1097311000.0,1208966000.0,1133974000.0,1020730000.0,1056431000.0,935345000.0,835994000.0,880084000.0,805091000.0,812762000.0
"Other operating (income) loss, net",us-gaap_OtherOperatingIncomeExpenseNet,1022000.0,369000.0,,1586000.0,,,,2694000.0,,,,
Interest Expense (operating),us-gaap_InterestExpenseOperating,-550000.0,-620000.0,-661000.0,-569000.0,,,,,,,,
Other comprehensive income,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,4798000.0,3201000.0,,1545000.0,,,,,,,,
"Foreign currency translation adjustments, net of tax",us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-620000.0,2153000.0,10662000.0,84000.0,3441000.0,-1837000.0,-5042000.0,-3836000.0,311000.0,-11021000.0,-4914000.0,-10403000.0
"Other Comprehensive Income (Loss), Cash Flow Hedge, Gain (Loss), after Reclassification and Tax",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,5418000.0,1048000.0,-12540000.0,1461000.0,-1150000.0,523000.0,7259000.0,2242000.0,405000.0,-1206000.0,-1729000.0,1712000.0
Other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,,,-1878000.0,,,,,-1594000.0,,,,
Other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,,,,,2291000.0,,2217000.0,,716000.0,,,
Other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,,,,,,-1314000.0,,,,-12227000.0,-6643000.0,-8691000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,119898000.0,146589000.0,79861000.0,135409000.0,137670000.0,113764000.0,,,,,,
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,99949000.0,57137000.0,18563000.0,,,
Comprehensive (loss) income,us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,-12945000.0,-21385000.0,-23537000.0
Less: Comprehensive income attributable to noncontrolling interests,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,-2105000.0,-2005000.0,-1326000.0,-1885000.0,-2211000.0,-1228000.0,-1521000.0,-1837000.0,-1276000.0,-1496000.0,-2092000.0,-1623000.0
