label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Cash and cash equivalents,us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,5045000000.0,3851000000.0,4115000000.0,,,
Cash and Cash Equivalents,us-gaap_CashAndCashEquivalentsAtCarryingValue,,,,4474000000.0,4108000000.0,2877000000.0
Other Assets,us-gaap_OtherAssets,370000000.0,370000000.0,442000000.0,482000000.0,516000000.0,584000000.0
Total Assets,us-gaap_Assets,238537000000.0,236340000000.0,225580000000.0,259840000000.0,247869000000.0,227259000000.0
Total investments,us-gaap_Investments,117387000000.0,115456000000.0,108592000000.0,118225000000.0,109531000000.0,95782000000.0
"Fixed maturity securities available-for-sale, at estimated fair value (amortized cost: $87,603 and $87,131, respectively; allowance for credit losses of $81 and $21, respectively)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,80055000000.0,,,,,
"Equity securities, at estimated fair value",us-gaap_EquitySecuritiesFvNiCurrentAndNoncurrent,77000000.0,102000000.0,89000000.0,101000000.0,138000000.0,147000000.0
"Mortgage loans (net of allowance for credit losses of $178 and $137, respectively)",us-gaap_MortgageLoansOnRealEstateCommercialAndConsumerNet,23286000000.0,,,,,
Policy loans,us-gaap_LoansInsurancePolicy,2024000000.0,1331000000.0,1282000000.0,1264000000.0,1291000000.0,1292000000.0
Limited partnerships and limited liability companies,us-gaap_RealEstateInvestments,4827000000.0,4946000000.0,4775000000.0,4271000000.0,2810000000.0,2380000000.0
"Short-term investments, principally at estimated fair value",us-gaap_ShortTermInvestments,1868000000.0,1169000000.0,1081000000.0,1841000000.0,3242000000.0,1958000000.0
"Other invested assets, principally at estimated fair value (net of allowance for credit losses of $0 and $13, respectively)",us-gaap_OtherInvestments,5250000000.0,,,,,
Accrued investment income,us-gaap_AccruedInvestmentIncomeReceivable,1277000000.0,1183000000.0,885000000.0,724000000.0,676000000.0,684000000.0
"Premiums, reinsurance and other receivables (net of allowance for credit losses of $3 and $3, respectively)",us-gaap_PremiumsAndOtherReceivablesNet,21126000000.0,,,,,
Deferred policy acquisition costs and value of business acquired,us-gaap_DeferredPolicyAcquisitionCostsAndValueOfBusinessAcquired,4710000000.0,4872000000.0,5659000000.0,5377000000.0,4911000000.0,5448000000.0
Current income tax recoverable,us-gaap_IncomeTaxReceivable,19000000.0,27000000.0,38000000.0,,0.0,17000000.0
Market risk benefit assets,us-gaap_MarketRiskBenefitAssetAmount,1092000000.0,656000000.0,,,,
Separate account assets,us-gaap_SeparateAccountAssets,85636000000.0,88271000000.0,84965000000.0,114464000000.0,111969000000.0,107107000000.0
"Contingencies, Commitments and Guarantees (Note 17)",us-gaap_CommitmentsAndContingencies,,,,,,
Preferred Stock,us-gaap_PreferredStockValue,0.0,0.0,0.0,0.0,0.0,0.0
Treasury Stock Common Value,us-gaap_TreasuryStockValue,-2572000000.0,-2309000000.0,-2042000000.0,-1543000000.0,-1038000000.0,-562000000.0
Minority Interest,us-gaap_MinorityInterest,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0,65000000.0
"Fixed maturity securities available-for-sale, at estimated fair value (amortized cost: $87,131 and $84,344, respectively; allowance for credit losses of $21 and $7, respectively)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,,80991000000.0,,,,
"Mortgage loans (net of allowance for credit losses of $137 and $119, respectively)",us-gaap_MortgageLoansOnRealEstateCommercialAndConsumerNet,,22508000000.0,,,,
"Premiums, reinsurance and other receivables (net of allowance for credit losses of $3 and $10, respectively)",us-gaap_PremiumsAndOtherReceivablesNet,,19761000000.0,,,,
"Contingencies, Commitments and Guarantees (Note 18)",us-gaap_CommitmentsAndContingencies,,,,,,
"Fixed maturity securities available-for-sale, at estimated fair value (amortized cost: $84,344 and $79,246, respectively; allowance for credit losses of $7 and $11, respectively)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,,,75577000000.0,,,
"Mortgage loans (net of allowance for credit losses of $119 and $123, respectively)",us-gaap_MortgageLoansOnRealEstateCommercialAndConsumerNet,,,22936000000.0,,,
"Premiums, reinsurance and other receivables (net of allowance for credit losses of $10 and $10, respectively)",us-gaap_PremiumsAndOtherReceivablesNet,,,19266000000.0,16094000000.0,,
Current income tax payable,us-gaap_AccruedIncomeTaxes,,,0.0,62000000.0,126000000.0,0.0
"Contingencies, Commitments and Guarantees (Note 15)",us-gaap_CommitmentsAndContingencies,,,,,,
"Fixed maturity securities available-for-sale, at estimated fair value (amortized cost: $79,246 and $70,529, respectively; allowance for credit losses of $11 and $2, respectively)",us-gaap_AvailableForSaleSecuritiesDebtSecurities,,,,87582000000.0,,
"Mortgage loans (net of allowance for credit losses of $123 and $94, respectively)",us-gaap_MortgageLoansOnRealEstateCommercialAndConsumerNet,,,,19850000000.0,,
"Premiums, reinsurance and other receivables (net of allowance for credit losses of $10 and $0, respectively)",us-gaap_PremiumsAndOtherReceivablesNet,,,,,16158000000.0,
Future policy benefits,us-gaap_LiabilityForFuturePolicyBenefitAfterReinsurance,31475000000.0,32569000000.0,41569000000.0,43807000000.0,,
Policyholder account balances,us-gaap_PolicyholderContractDeposits,87989000000.0,81068000000.0,74836000000.0,66851000000.0,54508000000.0,45771000000.0
Market risk benefit liabilities,us-gaap_MarketRiskBenefitLiabilityAmount,8329000000.0,10323000000.0,,,,
Other policy-related balances,us-gaap_OtherPolicyholderFunds,3878000000.0,3836000000.0,3400000000.0,3457000000.0,3411000000.0,3111000000.0
