label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Profit or Loss,us-gaap_ProfitLoss,393000000.0,-1107000000.0,10000000.0,-103000000.0,-1056000000.0,-735000000.0
"Amortization of premiums and accretion of discounts associated with investments, net",us-gaap_AccretionAmortizationOfDiscountsAndPremiumsInvestments,-330000000.0,-282000000.0,-233000000.0,-254000000.0,-260000000.0,-283000000.0
"(Gains) losses on investments, net",us-gaap_GainLossOnInvestments,264000000.0,232000000.0,248000000.0,59000000.0,278000000.0,112000000.0
"(Gains) losses on derivatives, net",bhf_GainsLossesOnDerivativesNet,1436000000.0,2620000000.0,-153000000.0,2120000000.0,424000000.0,2547000000.0
"(Income) loss from equity method investments, net of dividends and distributions",us-gaap_IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,41000000.0,83000000.0,110000000.0,-987000000.0,-54000000.0,70000000.0
Interest credited to policyholder account balances,us-gaap_InterestCreditedToPolicyholdersAccountBalances,2136000000.0,1825000000.0,1439000000.0,1312000000.0,1092000000.0,1063000000.0
Universal life and investment-type product policy fees,us-gaap_InsuranceCommissionsAndFees,2116000000.0,2295000000.0,3141000000.0,3636000000.0,3463000000.0,3580000000.0
"Change in market risk benefits, net",bhf_MarketRiskBenefitChangeInFairValueGainLossNet,-2073000000.0,-875000000.0,,,,
Change in accrued investment income,us-gaap_IncreaseDecreaseInAccruedInvestmentIncomeReceivable,-113000000.0,-215000000.0,-113000000.0,-44000000.0,-9000000.0,84000000.0
"Change in premiums, reinsurance and other receivables",us-gaap_IncreaseDecreaseInAccountsAndOtherReceivables,-1451000000.0,-1280000000.0,-3106000000.0,56000000.0,-1346000000.0,-629000000.0
"Change in deferred policy acquisition costs and value of business acquired, net",us-gaap_IncreaseDecreaseInDeferredPolicyAcquisitionCosts,162000000.0,211000000.0,531000000.0,-349000000.0,358000000.0,8000000.0
Change in income tax,us-gaap_IncreaseDecreaseInAccruedIncomeTaxesPayable,30000000.0,-371000000.0,-234000000.0,-210000000.0,-243000000.0,-316000000.0
Change in other assets,us-gaap_IncreaseDecreaseInOtherOperatingAssets,1180000000.0,1132000000.0,1780000000.0,2086000000.0,1968000000.0,1974000000.0
Change in future policy benefits and other policy-related balances,us-gaap_IncreaseDecreaseInInsuranceLiabilities,-281000000.0,51000000.0,1501000000.0,741000000.0,3395000000.0,1688000000.0
Change in other liabilities,us-gaap_IncreaseDecreaseInOtherOperatingLiabilities,402000000.0,95000000.0,178000000.0,-153000000.0,285000000.0,-26000000.0
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,-290000000.0,-137000000.0,-1151000000.0,746000000.0,888000000.0,1828000000.0
"Other, net",us-gaap_OtherOperatingActivitiesCashFlowStatement,-17000000.0,-19000000.0,-16000000.0,-86000000.0,-46000000.0,-56000000.0
"Sales, maturities and repayments of fixed maturity securities",us-gaap_ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,11721000000.0,6028000000.0,10728000000.0,12616000000.0,8459000000.0,14146000000.0
"Sales, maturities and repayments of equity securities",us-gaap_ProceedsFromSaleOfEquitySecuritiesFvNi,46000000.0,33000000.0,53000000.0,129000000.0,68000000.0,57000000.0
"Sales, maturities and repayments of mortgage loans",us-gaap_ProceedsFromSaleAndCollectionOfMortgageNotesReceivable,1523000000.0,1232000000.0,2079000000.0,2900000000.0,1935000000.0,1538000000.0
"Sales, maturities and repayments of limited partnerships and limited liability companies",us-gaap_ProceedsFromLimitedPartnershipInvestments,337000000.0,205000000.0,252000000.0,271000000.0,177000000.0,302000000.0
Purchases of fixed maturity securities,us-gaap_PaymentsToAcquireAvailableForSaleSecuritiesDebt,-11998000000.0,-8866000000.0,-15799000000.0,-21158000000.0,-14401000000.0,-16915000000.0
Purchases of equity securities,us-gaap_PaymentsToAcquireEquitySecuritiesFvNi,-7000000.0,-14000000.0,-37000000.0,-18000000.0,-23000000.0,-22000000.0
Purchases of mortgage loans,us-gaap_PaymentsToAcquireMortgageNotesReceivable,-2377000000.0,-813000000.0,-5321000000.0,-6913000000.0,-2076000000.0,-3610000000.0
Purchases of limited partnerships and limited liability companies,us-gaap_PaymentsToAcquireLimitedPartnershipInterests,-299000000.0,-453000000.0,-814000000.0,-837000000.0,-581000000.0,-463000000.0
Cash received in connection with freestanding derivatives,bhf_Cashreceivedinconnectionwithfreestandingderivatives,12468000000.0,5079000000.0,4480000000.0,3965000000.0,6356000000.0,2041000000.0
Cash paid in connection with freestanding derivatives,bhf_CashPaidInConnectionWithFreestandingDerivatives,-11865000000.0,-5428000000.0,-4275000000.0,-4592000000.0,-4515000000.0,-2639000000.0
Net change in policy loans,us-gaap_PaymentsForProceedsFromPolicyLoans,-692000000.0,-49000000.0,-18000000.0,27000000.0,1000000.0,129000000.0
Net change in short-term investments,us-gaap_PaymentsForProceedsFromShortTermInvestments,-675000000.0,-38000000.0,772000000.0,1397000000.0,-1271000000.0,-1942000000.0
Net change in other invested assets,bhf_NetChangeInOtherInvestedAssets,-372000000.0,-112000000.0,-376000000.0,-25000000.0,28000000.0,37000000.0
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,-2194000000.0,-3196000000.0,-8276000000.0,-12238000000.0,-5843000000.0,-7341000000.0
Policyholder account balances: Deposits,us-gaap_ProceedsFromAnnuitiesAndInvestmentCertificates,30410000000.0,21989000000.0,31623000000.0,16059000000.0,10095000000.0,7672000000.0
Policyholder account balances: Withdrawals,us-gaap_RepaymentsOfAnnuitiesAndInvestmentCertificates,-26378000000.0,-17747000000.0,-20050000000.0,-4235000000.0,-3270000000.0,-2849000000.0
Net change in payables for collateral under securities loaned and other transactions,bhf_NetChangeInPayablesForCollateralUnderSecuritiesLoanedAndOtherTransactions,221000000.0,-890000000.0,-1709000000.0,1017000000.0,861000000.0,-666000000.0
Long-term debt repaid,us-gaap_RepaymentsOfLongTermDebt,-2000000.0,-2000000.0,-3000000.0,-680000000.0,-1552000000.0,-602000000.0
Dividends on preferred stock,us-gaap_PaymentsOfDividendsPreferredStockAndPreferenceStock,-102000000.0,-102000000.0,-104000000.0,-89000000.0,-44000000.0,-21000000.0
Treasury stock acquired in connection with share repurchases,us-gaap_PaymentsForRepurchaseOfCommonStock,-250000000.0,-250000000.0,-488000000.0,-499000000.0,-473000000.0,-442000000.0
"Financing element on certain derivative instruments and other derivative related transactions, net",us-gaap_PaymentsForProceedsFromDerivativeInstrumentFinancingActivities,-204000000.0,90000000.0,-185000000.0,-368000000.0,-948000000.0,-203000000.0
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,3678000000.0,3069000000.0,9068000000.0,11858000000.0,6186000000.0,4245000000.0
"Change in cash, cash equivalents and restricted cash",us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,1194000000.0,-264000000.0,-359000000.0,366000000.0,1231000000.0,-1268000000.0
Net cash paid (received) for interest,us-gaap_InterestPaidNet,151000000.0,151000000.0,152000000.0,160000000.0,186000000.0,187000000.0
Income Tax Expense,us-gaap_IncomeTaxesPaidNet,13000000.0,7000000.0,44000000.0,103000000.0,-100000000.0,16000000.0
"Cash paid to MetLife, Inc. in connection with shareholder’s net investment",us-gaap_PaymentsOfCapitalDistribution,,,,,,-0.0
