label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Net income (loss),us-gaap_NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,393000000.0,-1107000000.0,10000000.0,-103000000.0,-1056000000.0,-735000000.0
"Unrealized investment gains (losses), net of related offsets",us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,-1037000000.0,2375000000.0,-12443000000.0,-2107000000.0,3208000000.0,3209000000.0
Unrealized gains (losses) on derivatives,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,118000000.0,-287000000.0,,,-72000000.0,-19000000.0
Changes in instrument-specific credit risk on market risk benefits,us-gaap_OciMarketRiskBenefitInstrumentSpecificCreditRiskGainLossAfterAdjustmentsBeforeTax,352000000.0,-636000000.0,,,,
Changes in discount rates on the liability for future policy benefits,us-gaap_OciLiabilityForFuturePolicyBenefitGainLossAfterReclassificationAdjustmentAndTax,543000000.0,-380000000.0,,,,
Foreign currency translation adjustments,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,-19000000.0,18000000.0,-22000000.0,1000000.0,20000000.0,12000000.0
Defined benefit plans adjustment,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,3000000.0,-2000000.0,8000000.0,-4000000.0,-13000000.0,-10000000.0
"Other comprehensive income (loss), before income tax",us-gaap_OtherComprehensiveIncomeLossBeforeTax,-40000000.0,1088000000.0,12148000000.0,1954000000.0,-3143000000.0,-3192000000.0
Income tax (expense) benefit related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,8000000.0,-228000000.0,-2552000000.0,-410000000.0,667000000.0,668000000.0
"Other comprehensive income (loss), net of income tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,-32000000.0,860000000.0,-9596000000.0,-1544000000.0,2476000000.0,2524000000.0
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,361000000.0,-247000000.0,-9586000000.0,-1647000000.0,1420000000.0,1789000000.0
"Less: Comprehensive income (loss) attributable to noncontrolling interests, net of income tax",us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-5000000.0,-5000000.0,-5000000.0,-5000000.0,-5000000.0,-5000000.0
"Comprehensive income (loss) attributable to Brighthouse Financial, Inc.",us-gaap_ComprehensiveIncomeNetOfTax,356000000.0,-252000000.0,-9591000000.0,-1652000000.0,1415000000.0,1784000000.0
"Other Comprehensive Income (Loss), Cash Flow Hedge, Gain (Loss), after Reclassification, before Tax",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,,,309000000.0,156000000.0,,
