label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
"Dividends, Preferred Stock, Cash",us-gaap_DividendsPreferredStockCash,,,,,44000000.0,
Preferred stock issuance,us-gaap_StockIssuedDuringPeriodValueNewIssues,,,,,,412000000.0
Preferred stock issuances,us-gaap_StockIssuedDuringPeriodValueNewIssues,,,,339000000.0,,
Treasury stock acquired in connection with share repurchases,us-gaap_TreasuryStockValueAcquiredCostMethod,250000000.0,250000000.0,488000000.0,499000000.0,,442000000.0
"Treasury Stock, Value, Acquired, Cost Method",us-gaap_TreasuryStockValueAcquiredCostMethod,,,,,473000000.0,
Share-based compensation,bhf_ShareBasedCompensationTransactionsIncreaseDecrease,12000000.0,14000000.0,14000000.0,20000000.0,19000000.0,21000000.0
Dividends on preferred stock,us-gaap_AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings,102000000.0,102000000.0,104000000.0,89000000.0,,21000000.0
Change in noncontrolling interests,us-gaap_MinorityInterestPeriodIncreaseDecrease,-5000000.0,-5000000.0,-5000000.0,-5000000.0,,-5000000.0
"Noncontrolling Interest, Period Increase (Decrease)",us-gaap_MinorityInterestPeriodIncreaseDecrease,,,,,-5000000.0,
Net Income,us-gaap_NetIncomeLoss,388000000.0,-1112000000.0,,,,
Basic Net Income Available to Common Shareholders,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,,,-99000000.0,-197000000.0,-1105000000.0,-761000000.0
"Other Comprehensive Income (Loss), Net of Tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,2473000000.0,
Profit or Loss,us-gaap_ProfitLoss,393000000.0,-1107000000.0,10000000.0,-103000000.0,-1056000000.0,-735000000.0
"Other comprehensive income (loss), net of income tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,-32000000.0,860000000.0,-9596000000.0,-1544000000.0,,2524000000.0
"Stock Issued During Period, Value, New Issues",us-gaap_StockIssuedDuringPeriodValueNewIssues,,,,,948000000.0,
