label,concept,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Net Cash from Operating Activities,us-gaap_NetCashProvidedByUsedInOperatingActivities,146000000.0,-530000000.0,-500000000.0,-163000000.0
"Sales, maturities and repayments of fixed maturity securities",us-gaap_ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,3140000000.0,2277000000.0,1474000000.0,3715000000.0
"Sales, maturities and repayments of trading securities",us-gaap_ProceedsFromSaleAndMaturityOfTradingSecuritiesHeldforinvestment,6000000.0,,,
"Sales, maturities and repayments of equity securities",us-gaap_ProceedsFromSaleOfEquitySecuritiesFvNi,12000000.0,24000000.0,2000000.0,20000000.0
"Sales, maturities and repayments of mortgage loans",us-gaap_ProceedsFromSaleAndCollectionOfMortgageNotesReceivable,448000000.0,281000000.0,262000000.0,461000000.0
"Sales, maturities and repayments of limited partnerships and limited liability companies",us-gaap_ProceedsFromLimitedPartnershipInvestments,87000000.0,78000000.0,37000000.0,67000000.0
Purchases of fixed maturity securities,us-gaap_PaymentsToAcquireAvailableForSaleSecuritiesDebt,-2821000000.0,-2438000000.0,-1840000000.0,-5532000000.0
Purchases of trading securities,us-gaap_PaymentsToAcquireTradingSecuritiesHeldforinvestment,-18000000.0,,,
Purchases of equity securities,us-gaap_PaymentsToAcquireEquitySecuritiesFvNi,-8000000.0,-1000000.0,-5000000.0,-0.0
Purchases of mortgage loans,us-gaap_PaymentsToAcquireMortgageNotesReceivable,-362000000.0,-448000000.0,-173000000.0,-1972000000.0
Purchases of limited partnerships and limited liability companies,us-gaap_PaymentsToAcquireLimitedPartnershipInterests,-65000000.0,-79000000.0,-121000000.0,-279000000.0
Cash received in connection with freestanding derivatives,bhf_Cashreceivedinconnectionwithfreestandingderivatives,3348000000.0,3564000000.0,1106000000.0,1440000000.0
Cash paid in connection with freestanding derivatives,bhf_CashPaidInConnectionWithFreestandingDerivatives,-4110000000.0,-3174000000.0,-1758000000.0,-1197000000.0
Net change in policy loans,us-gaap_PaymentsForProceedsFromPolicyLoans,588000000.0,-320000000.0,9000000.0,-5000000.0
Net change in short-term investments,us-gaap_PaymentsForProceedsFromShortTermInvestments,318000000.0,-187000000.0,-299000000.0,781000000.0
Net change in other invested assets,bhf_NetChangeInOtherInvestedAssets,-0.0,-202000000.0,-19000000.0,-18000000.0
Net Cash from Investing Activities,us-gaap_NetCashProvidedByUsedInInvestingActivities,563000000.0,-625000000.0,-1325000000.0,-2519000000.0
Policyholder account balances: Deposits,us-gaap_ProceedsFromAnnuitiesAndInvestmentCertificates,5135000000.0,7814000000.0,6864000000.0,6340000000.0
Policyholder account balances: Withdrawals,us-gaap_RepaymentsOfAnnuitiesAndInvestmentCertificates,-5968000000.0,-6447000000.0,-5298000000.0,-3727000000.0
Net change in payables for collateral under securities loaned and other transactions,bhf_NetChangeInPayablesForCollateralUnderSecuritiesLoanedAndOtherTransactions,13000000.0,-17000000.0,-159000000.0,-60000000.0
Dividends on preferred stock,us-gaap_PaymentsOfDividendsPreferredStockAndPreferenceStock,-26000000.0,-26000000.0,-26000000.0,-27000000.0
Treasury stock acquired in connection with share repurchases,us-gaap_PaymentsForRepurchaseOfCommonStock,-59000000.0,-62000000.0,-62000000.0,-127000000.0
"Financing element on certain derivative instruments and other derivative related transactions, net",us-gaap_PaymentsForProceedsFromDerivativeInstrumentFinancingActivities,-167000000.0,-122000000.0,91000000.0,-76000000.0
"Other, net",us-gaap_ProceedsFromPaymentsForOtherFinancingActivities,-15000000.0,-13000000.0,-15000000.0,-13000000.0
Net Cash from Financing Activities,us-gaap_NetCashProvidedByUsedInFinancingActivities,-1087000000.0,1127000000.0,1395000000.0,2309000000.0
"Change in cash, cash equivalents and restricted cash",us-gaap_CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,-378000000.0,-28000000.0,-430000000.0,-373000000.0
Net cash paid (received) for interest,us-gaap_InterestPaidNet,6000000.0,6000000.0,6000000.0,6000000.0
Income Tax Expense,us-gaap_IncomeTaxesPaidNet,7000000.0,4000000.0,-9000000.0,1000000.0
Long-term debt repaid,us-gaap_RepaymentsOfLongTermDebt,,,-0.0,-1000000.0
