label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30,2022-03-31
Premiums,us-gaap_PremiumsEarnedNet,170000000.0,166000000.0,186000000.0,180000000.0,181000000.0,202000000.0,194000000.0,211000000.0,197000000.0,162000000.0,167000000.0,166000000.0
Universal life and investment-type product policy fees,us-gaap_InsuranceCommissionsAndFees,531000000.0,553000000.0,543000000.0,560000000.0,580000000.0,436000000.0,542000000.0,601000000.0,606000000.0,783000000.0,784000000.0,841000000.0
Net Investment Income,us-gaap_NetInvestmentIncome,1334000000.0,1285000000.0,1297000000.0,,,,,,,,,
Other revenues,us-gaap_OtherIncome,143000000.0,143000000.0,136000000.0,143000000.0,141000000.0,145000000.0,125000000.0,130000000.0,93000000.0,121000000.0,118000000.0,137000000.0
Net investment gains (losses),us-gaap_RealizedInvestmentGainsLosses,48000000.0,-39000000.0,-83000000.0,-60000000.0,-120000000.0,-42000000.0,-53000000.0,-64000000.0,-96000000.0,-45000000.0,-66000000.0,-68000000.0
Net derivative gains (losses),us-gaap_GainLossOnDerivativeInstrumentsNetPretax,-410000000.0,-1237000000.0,311000000.0,-93000000.0,-662000000.0,-1921000000.0,-840000000.0,-1811000000.0,-575000000.0,-416000000.0,1733000000.0,513000000.0
Revenue,us-gaap_Revenues,1816000000.0,871000000.0,2390000000.0,2018000000.0,1427000000.0,74000000.0,1170000000.0,263000000.0,1284000000.0,1482000000.0,3797000000.0,2740000000.0
"Policyholder benefits and claims (including liability remeasurement gains (losses) of ($273), ($978), ($273), and ($978), respectively)",us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,-252000000.0,,,,,,,,,,,
Interest credited to policyholder account balances,us-gaap_InterestCreditedToPolicyholdersAccountBalances,561000000.0,537000000.0,561000000.0,556000000.0,509000000.0,502000000.0,426000000.0,452000000.0,422000000.0,430000000.0,319000000.0,290000000.0
Amortization of deferred policy acquisition costs and value of business acquired,us-gaap_DeferredPolicyAcquisitionCostsAndPresentValueOfFutureProfitsAmortization1,153000000.0,149000000.0,148000000.0,150000000.0,150000000.0,151000000.0,155000000.0,157000000.0,156000000.0,179000000.0,566000000.0,227000000.0
Change in market risk benefits,us-gaap_MarketRiskBenefitChangeInFairValueGainLoss,289000000.0,-1101000000.0,893000000.0,610000000.0,-356000000.0,-1440000000.0,-1064000000.0,-1300000000.0,194000000.0,,,
Operating Expenses,us-gaap_OperatingExpenses,480000000.0,482000000.0,493000000.0,492000000.0,468000000.0,507000000.0,473000000.0,502000000.0,478000000.0,495000000.0,591000000.0,510000000.0
Total expenses,us-gaap_BenefitsLossesAndExpenses,-1231000000.0,-778000000.0,-2744000000.0,-1830000000.0,-1413000000.0,-688000000.0,-580000000.0,-500000000.0,-1937000000.0,-2350000000.0,-2584000000.0,-1933000000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,585000000.0,93000000.0,-354000000.0,188000000.0,14000000.0,-614000000.0,590000000.0,-237000000.0,-653000000.0,-868000000.0,1213000000.0,807000000.0
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,-104000000.0,-8000000.0,88000000.0,-10000000.0,20000000.0,123000000.0,-109000000.0,62000000.0,156000000.0,193000000.0,-230000000.0,-165000000.0
Profit or Loss,us-gaap_ProfitLoss,481000000.0,85000000.0,-266000000.0,178000000.0,34000000.0,-491000000.0,481000000.0,-175000000.0,-497000000.0,-675000000.0,983000000.0,642000000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-2000000.0,-0.0,-2000000.0,-2000000.0,-0.0,-2000000.0,-2000000.0,-0.0,-2000000.0,-2000000.0,-0.0,-2000000.0
Net Income,us-gaap_NetIncomeLoss,479000000.0,85000000.0,-268000000.0,176000000.0,34000000.0,-493000000.0,479000000.0,-175000000.0,-499000000.0,-677000000.0,983000000.0,640000000.0
Preferred stock dividends,us-gaap_PreferredStockDividendsIncomeStatementImpact,-26000000.0,-25000000.0,-26000000.0,,,,,,,,,
Less: Preferred stock dividends,us-gaap_PreferredStockDividendsIncomeStatementImpact,,,,-26000000.0,-25000000.0,-26000000.0,-26000000.0,-25000000.0,-26000000.0,-25000000.0,-26000000.0,-27000000.0
Policyholder benefits and claims,us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,,,,,,,,,,1246000000.0,1108000000.0,906000000.0
"Policyholder benefits and claims (including liability remeasurement gains (losses) of $0, $0, $0 and $0, respectively)",us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,,,,,642000000.0,,,,,,,
"Policyholder benefits and claims (including liability remeasurement gains (losses) of ($234), $35, ($234) and $35, respectively)",us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,,,,,,,590000000.0,,,,,
"Policyholder benefits and claims (including liability remeasurement gains (losses) of $0, $0, $0 and $0 respectively)",us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,,,,,,,,689000000.0,,,,
Basic Net Income Available to Common Shareholders,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasic,453000000.0,60000000.0,-294000000.0,150000000.0,9000000.0,-519000000.0,453000000.0,-200000000.0,-525000000.0,-702000000.0,957000000.0,613000000.0
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,718000000.0,498000000.0,342000000.0,1470000000.0,28000000.0,-658000000.0,-754000000.0,-768000000.0,321000000.0,-4221000000.0,-2471000000.0,-3167000000.0
Less: Comprehensive income (loss) attributable to noncontrolling interests,us-gaap_ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-2000000.0,-0.0,-2000000.0,-2000000.0,-0.0,-2000000.0,-2000000.0,-0.0,-2000000.0,-2000000.0,-0.0,-2000000.0
"Comprehensive income (loss) attributable to Brighthouse Financial, Inc.",us-gaap_ComprehensiveIncomeNetOfTax,716000000.0,498000000.0,340000000.0,1468000000.0,28000000.0,-660000000.0,-756000000.0,-768000000.0,319000000.0,-4223000000.0,-2471000000.0,-3169000000.0
"Policyholder benefits and claims (including liability remeasurement gains (losses) of $0, $0, $0, and $0, respectively)",us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,,711000000.0,,,,,,,,,,
"Policyholder benefits and claims (including liability remeasurement gains (losses) of ($978), ($234), ($978) and ($234), respectively)",us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,,,,22000000.0,,,,,,,,
"Policyholder benefits and claims (including liability remeasurement gains (losses) of $0 and $0, respectively)",us-gaap_PolicyholderBenefitsAndClaimsIncurredNet,,,649000000.0,,,968000000.0,,,687000000.0,,,
Net investment income,us-gaap_NetInvestmentIncome,,,,1288000000.0,1307000000.0,1254000000.0,1202000000.0,1196000000.0,1059000000.0,877000000.0,1061000000.0,1151000000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,7.93,1.03,-5.04,2.49,0.12,-8.22,6.92,-3.01,-7.72,-9.82,12.84,7.98
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,7.89,1.02,-5.04,2.47,0.12,-8.22,6.89,-3.01,-7.72,-9.82,12.77,7.91
