label,concept,2025-07-31,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Net Income,us-gaap_NetIncomeLoss,189256000.0,197215000.0,174857000.0,149979000.0,129659000.0,112369000.0
Foreign currency translation adjustments,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,18165000.0,-14477000.0,16009000.0,-53402000.0,10266000.0,6640000.0
Reclassification adjustment for losses (gains) included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,594000.0,,,,,
"Other Comprehensive Income (Loss), Cash Flow Hedge, Gain (Loss), after Reclassification, before Tax, Total",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,-369000.0,-1704000.0,540000.0,373000.0,1052000.0,
Net (loss) gain recognized in other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,15000.0,,465000.0,,,468000.0
Net actuarial gain amortization,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,605000.0,605000.0,417000.0,1043000.0,388000.0,380000.0
"Other Comprehensive (Income) Loss, Pension and other Post-retirement Benefits, after Reclassification Adjustment, before Tax, total",us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,-620000.0,-378000.0,-882000.0,-619000.0,-388000.0,
"Other comprehensive income (loss), before tax",us-gaap_OtherComprehensiveIncomeLossBeforeTax,17176000.0,,15667000.0,,10930000.0,4602000.0
"Other comprehensive (loss) income, before tax",us-gaap_OtherComprehensiveIncomeLossBeforeTax,,-16559000.0,,-53648000.0,,
Net gain recognized in other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,,517000.0,,,,
Reclassification adjustment for gains included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,,-2221000.0,-2140000.0,-909000.0,-399000.0,
Net gain (loss) recognized in other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,,-227000.0,,-424000.0,,
"Other comprehensive (loss) income, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,-16561000.0,,-53124000.0,,
Net gain recognized in other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,,,2680000.0,,,
Income tax benefit (expense) related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,-287000.0,,-349000.0,,,-175000.0
"Other comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,17463000.0,,16016000.0,,10524000.0,4777000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,206719000.0,180654000.0,190873000.0,96855000.0,140183000.0,117146000.0
Income tax (expense) benefit related to items of other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossTax,,2000.0,,,,
Income tax benefit (expense) related to items of other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossTax,,,,-524000.0,,
Net gain (loss) recognized in other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,,,,,1451000.0,
Net loss recognized in other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,,,,,-0.0,
Income tax (expense) benefit related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,,,,,406000.0,
Reclassification adjustment for (gains) losses included in net income,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,,,,,,614000.0
Total cash flow hedges,us-gaap_OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesBeforeTax,,,,,,-1190000.0
Total pension and other post-retirement benefits,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,,,,-848000.0
Net (loss) gain recognized in other comprehensive loss,us-gaap_OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,,,,,,-576000.0
