label,concept,2025-07-31,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Contract Revenue,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,1513605000.0,1341393000.0,1331863000.0,1302062000.0,1144698000.0,
Revenue,us-gaap_Revenues,,,,,,1081299000.0
Income (Loss) From Continuing Operations Before Income (Loss) From Equity Method Investments,brc_IncomeLossFromContinuingOperationsBeforeIncomeLossFromEquityMethodInvestments,,,,,,-112615000.0
Income (Loss) from Equity Method Investments,us-gaap_IncomeLossFromEquityMethodInvestments,,,,,,246000.0
Cost of Goods and Services Sold,us-gaap_CostOfGoodsAndServicesSold,-752783000.0,-653509000.0,-674588000.0,-670510000.0,-583252000.0,-552734000.0
Gross Profit,us-gaap_GrossProfit,760822000.0,687884000.0,657275000.0,631552000.0,561446000.0,528565000.0
Research and Development Expense,us-gaap_ResearchAndDevelopmentExpense,79889000.0,67748000.0,61365000.0,58548000.0,44551000.0,40662000.0
"Selling, General and Administrative Expense",us-gaap_SellingGeneralAndAdministrativeExpense,444295000.0,376722000.0,370697000.0,379992000.0,349768000.0,336059000.0
Operating Expenses,us-gaap_OperatingExpenses,-524184000.0,-444470000.0,-432062000.0,-438540000.0,-394319000.0,-390542000.0
Operating Income,us-gaap_OperatingIncomeLoss,236638000.0,243414000.0,225213000.0,193012000.0,167127000.0,138023000.0
Interest Expense,us-gaap_InterestExpense,-4747000.0,-3126000.0,-3539000.0,-1276000.0,-437000.0,-2166000.0
Investment and other income,us-gaap_OtherNonoperatingIncomeExpense,5206000.0,7553000.0,4022000.0,244000.0,4333000.0,5079000.0
Income Before Tax from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,237097000.0,247841000.0,,,,
Income before income taxes and losses of unconsolidated affiliate,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,225696000.0,191980000.0,171023000.0,140936000.0
Income before losses of unconsolidated affiliate,brc_IncomeLossFromContinuingOperationsBeforeIncomeLossFromEquityMethodInvestments,,,174857000.0,149979000.0,135413000.0,
Equity in losses of unconsolidated affiliate,us-gaap_IncomeLossFromEquityMethodInvestments,,,-0.0,-0.0,5754000.0,
Income Tax Expense,us-gaap_IncomeTaxExpenseBenefit,47841000.0,50626000.0,50839000.0,42001000.0,35610000.0,28321000.0
Net Income,us-gaap_NetIncomeLoss,189256000.0,197215000.0,174857000.0,149979000.0,129659000.0,112369000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,3.97,4.1,3.53,2.92,2.48,2.13
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,3.94,4.07,3.51,2.9,2.46,2.11
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,47641000.0,48119000.0,49591000.0,51321000.0,52039000.0,52763000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,48092000.0,48496000.0,49869000.0,51651000.0,52409000.0,53231000.0
Dividends,us-gaap_CommonStockDividendsPerShareCashPaid,,,,,0.86,0.87
Asset Impairment Charges,us-gaap_AssetImpairmentCharges,,,,,,13821000.0
"Impairment of Intangible Assets, Indefinite-lived (Excluding Goodwill)",us-gaap_ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,,0.0,,
Impairment charges,us-gaap_AssetImpairmentCharges,,,,,-0.0,
