label,concept,2025-07-31,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Net Income,us-gaap_NetIncomeLoss,189256000.0,197215000.0,174857000.0,149979000.0,129659000.0,112369000.0
"Other Comprehensive Income (Loss), Net of Tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,17463000.0,-16561000.0,16016000.0,-53124000.0,10524000.0,
"Other comprehensive loss, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,,,4777000.0
Issuance of shares of Class A Common Stock under stock plan,us-gaap_StockIssuedDuringPeriodValueShareBasedCompensation,6457000.0,5627000.0,1069000.0,434000.0,1748000.0,
Tax benefit and withholdings from deferred compensation distributions,us-gaap_AdjustmentsToAdditionalPaidInCapitalOther,190000.0,149000.0,66000.0,,32000.0,134000.0
"Adjustments to Additional Paid in Capital, Other",us-gaap_AdjustmentsToAdditionalPaidInCapitalOther,,,,115000.0,,
Stock-based compensation expense (Note 7),us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,11882000.0,7361000.0,7508000.0,10504000.0,10098000.0,
Stock-based compensation expense,us-gaap_ShareBasedCompensation,,,,,,8843000.0
"Repurchase of shares of Class A Common Stock, including excise taxes",us-gaap_StockRepurchasedDuringPeriodValue,51184000.0,72754000.0,75472000.0,,,
Repurchase of shares of Class A Common Stock,us-gaap_StockRepurchasedDuringPeriodValue,,,,,3593000.0,
"Stock Repurchased During Period, Value",us-gaap_StockRepurchasedDuringPeriodValue,,,,,,64514000.0
Repurchase of shares of Class A Common Stock,us-gaap_StockRepurchasedDuringPeriodValue,,,,109229000.0,,
"Dividends, Common Stock, Cash",us-gaap_DividendsCommonStockCash,42204000.0,41793000.0,42207000.0,42805000.0,,
"Payment of Ordinary Dividends, Common Stock Class B",brc_PaymentofOrdinaryDividendsCommonStockClassB,,,,,3056000.0,3020000.0
"Payment of Ordinary Dividends, Common Stock Class A",brc_PaymentofOrdinaryDividendsCommonStockClassA,,,,,42690000.0,42736000.0
"Stockholder's equity, other",us-gaap_StockholdersEquityOther,,,,,,0.0
"APIC, Share-based Payment Arrangement, Increase for Cost Recognition",us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,8843000.0
"Stock Issued, Value, Stock Options Exercised and Restricted Stock Vested",brc_StockIssuedValueStockOptionsExercisedAndRestrictedStockVested,,,,,,3630000.0
