label,concept,2025-10-31,2025-04-30,2025-01-31,2024-10-31,2024-04-30,2024-01-31,2023-10-31,2023-04-30,2023-01-31,2022-10-31,2022-04-30,2022-01-31
Net Income,us-gaap_NetIncomeLoss,53936000.0,52263000.0,40334000.0,46783000.0,50890000.0,43628000.0,47241000.0,48052000.0,37986000.0,39441000.0,40054000.0,33815000.0
"Other comprehensive income (loss), net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,38093000.0,,,,15342000.0,,,31144000.0,,,
Foreign currency translation adjustments,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,4743000.0,38161000.0,-21180000.0,-79000.0,-6537000.0,14591000.0,-20364000.0,95000.0,30562000.0,-17672000.0,-20180000.0,-18656000.0
Net gain (loss) recognized in other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,621000.0,,,,,,,,,,,
Reclassification adjustment for losses (gains) included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,296000.0,210000.0,463000.0,,,,,,,,,
"Other Comprehensive (Loss) Income, Cash Flow Hedge, Gain (Loss), after Reclassification, before Tax",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,917000.0,,,-1802000.0,,,,,,,,
Pension and other post-retirement benefits actuarial gain amortization,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,-151000.0,-152000.0,-151000.0,-151000.0,-152000.0,,-151000.0,,,-143000.0,,
"Other comprehensive income (loss), before tax",us-gaap_OtherComprehensiveIncomeLossBeforeTax,5509000.0,37796000.0,,,,15269000.0,,,31148000.0,,,
Income tax (expense) benefit related to items of other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossTax,-77000.0,,-292000.0,,51000.0,,,8000.0,,,105000.0,
"Other comprehensive income, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,5432000.0,,,,,,,,,,,
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,59368000.0,90356000.0,20109000.0,44803000.0,44424000.0,58970000.0,25019000.0,48021000.0,69130000.0,22004000.0,20105000.0,15547000.0
Net (loss) gain recognized in other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,,-423000.0,,,,,,,,,,
"Other Comprehensive Income (Loss), Cash Flow Hedge Gain, after Reclassification, before Tax, Total",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,,-213000.0,1398000.0,,274000.0,829000.0,,33000.0,559000.0,,431000.0,190000.0
Reclassification adjustment for gains included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,,,,-464000.0,-173000.0,-254000.0,-1285000.0,-463000.0,-217000.0,-581000.0,-44000.0,
Net gain recognized in other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,,,,,447000.0,,,496000.0,,,475000.0,225000.0
Net gain recognized in other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,,,,,,1083000.0,,,776000.0,,,
Net loss recognized in other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,,,,-1338000.0,,,,,,,,
"Other comprehensive loss, before tax",us-gaap_OtherComprehensiveIncomeLossBeforeTax,,,,-2032000.0,,,-22094000.0,,,-17503000.0,,
"Other comprehensive loss, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,,-1980000.0,,,-22222000.0,,,-17437000.0,,
Income tax benefit (expense) related to items of other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossTax,,,,52000.0,,,,,,-66000.0,,
Pension and other post-retirement benefits actuarial (gain) loss amortization,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,,,,,,-151000.0,,,,,,
Net (loss) gain recognized in other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,,,,,,,-294000.0,,,,,
Net loss recognized in other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,,,,,,,,-0.0,,,-0.0,85000.0
Net loss recognized in other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,,,,,,,,,-0.0,,,
"Other Comprehensive (Income) Loss, Pension and other Post-retirement Benefits, after Reclassification Adjustment, before Tax",us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,,,,,,-151000.0,27000.0,,-95000.0,-158000.0
Net actuarial gain amortization,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,,,,,,,,151000.0,,,95000.0,73000.0
Net actuarial loss (gain) amortization,us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossBeforeTax,,,,,,,,,-27000.0,,,
"Other Comprehensive Income (Loss), Cash Flow Hedge, Gain (Loss), after Reclassification, before Tax",us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,,,,,,,-1579000.0,,,312000.0,,
Income tax (expense) benefit related to items of other comprehensive loss,us-gaap_OtherComprehensiveIncomeLossTax,,,,,,,-128000.0,,,,,
"Other comprehensive (loss) income, before tax",us-gaap_OtherComprehensiveIncomeLossBeforeTax,,,-19933000.0,,-6415000.0,,,-23000.0,,,-19844000.0,-18624000.0
Net gain (loss) recognized in other comprehensive (loss) income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax,,,935000.0,,,,,,,,,
"Other comprehensive (loss) income, net of tax",us-gaap_OtherComprehensiveIncomeLossNetOfTax,,,-20225000.0,,-6466000.0,,,-31000.0,,,-19949000.0,-18268000.0
Income tax benefit (expense) related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,,297000.0,,,,-73000.0,,,,,,
Income tax (expense) benefit related to items of other comprehensive income (loss),us-gaap_OtherComprehensiveIncomeLossTax,,,,,,,,,4000.0,,,
Reclassification adjustment for (gains) losses included in net income,us-gaap_OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,,,,,,,,,,,,-35000.0
